Aphrika	Африка
242 kñ	242 год до н. э.
248 kñ	248 год до н. э.
Mach'ay	Пещера
258 kñ	258 год до н. э.
257 kñ	257 год до н. э.
Alsi	Лось
Inkawasi-Kañaris	Ламбаекенский кечуа
253 kñ	253 год до н. э.
246 kñ	246 год до н. э.
245 kñ	245 год до н. э.
Chapaq	Полиция
Q'eqchí simi	Кекчи (язык)
249 kñ	249 год до н. э.
252 kñ	252 год до н. э.
Paul Cézanne	Сезанн, Поль
Q'anjob'al simi	Канхобальский язык
240 kñ	240 год до н. э.
254 kñ	254 год до н. э.
256 kñ	256 год до н. э.
Wastika simi	Уастекский язык
Wichol simi	Уичоль (язык)
251 kñ	251 год до н. э.
Hokkaido	Хоккайдо
250 kñ	250 год до н. э.
244 kñ	244 год до н. э.
243 kñ	243 год до н. э.
255 kñ	255 год до н. э.
Awirinri	Имбирь аптечный
Nobel Suñay Qasikaypi	Нобелевская премия мира
Hatun chullunku	Ледник
Uturunku	Ягуар
1930 watakuna	1930-е годы
1960 watakuna	1960-е годы
1920 watakuna	1920-е годы
Rimana huñunakuy	Парламент
Imayay	Материя (физика)
Ōsaka	Осака
247 kñ	247 год до н. э.
Boise (Idaho)	Бойсе (город)
Cambridge Yachay Suntur	Кембриджский университет
Ruraq atiy	Исполнительная власть
Baruch Spinoza	Спиноза, Бенедикт
Uhu	Кашель
Yamt'a	Дрова
259 kñ	259 год до н. э.
Chinantika simi	Чинантекские языки
Achhi	Чиханье
Puñuy	Сон
Bawtisay	Крещение
Qharqayuy	Бронхиальная астма
Wamp'u	Лодка
Waraniyi simi	Гуарани (язык)
Keres simi	Кересские языки
Lamas-Luritu	Ламасский кечуа
Inka qhichwa simi	Классический кечуа
Aral qucha	Аральское море
Yarawisqu	Леуцена светлоголовчатая
Sport Club Corinthians Paulista	Коринтианс
Interlingua	Интерлингва
Pulinisya	Полинезия
İzmir	Измир
Mercedes-Benz	Mercedes-Benz
Ho Chi Minh	Хо Ши Мин
Lwiw	Львов
Sawsi	Ива
Minneapolis (Minnesota)	Миннеаполис
Muwriy simi	Мооре
Charles Bronson	Бронсон, Чарльз
Muhammad Ali	Али, Мохаммед
Allpa	Почва
Igu	Инжир
Tantachisqa	Множество
Qillqaq	Писатель
Siligo	Силиго
Nihunpi pacha kuyuy (2011)	Землетрясение в Японии (2011)
Puerto Montt	Пуэрто-Монт
Lingala simi	Лингала
Sutip rantin	Местоимение
Mishi simi	Языки михе
Masawa simi	Масауа (язык)
Masatika simi	Масатекские языки
Václav Havel	Гавел, Вацлав
Malayalam simi	Малаялам
Hanllalli	Гласные
Karu kay	Длина
Kawsay qillqa	Биография
1950 watakuna	1950-е годы
Salta llaqta	Сальта
Calgary	Калгари
Pakaraw runasimi	Пакараосский кечуа
Paqu ukumari	Бурый медведь
Musquy	Сновидение
Ñañu simi	Отоми (язык)
Mishtika simi	Миштеканские языки
Kurdi simi	Курдские языки
Lothar Matthäus	Маттеус, Лотар
Hatun ukucha	Крысы
Chawpi tuta	Полночь
Aberdeen	Абердин
Shipipu-Qunibu runa	Шипибо-конибо
Porto	Порту
Katharina II	Екатерина II
Mawri simi	Маори (язык)
Hak'u	Мука
Qhapaq Liyun	Король Лев
K'iché simi	Киче (язык)
Iyun	Ион
Waranqawata	Тысячелетие
Francis Drake	Дрейк, Фрэнсис
Ruranakuy	Химическая реакция
P'ukuru	Печь
Qusqu-Qullaw	Кечуа Куско-Кольяо
1940 watakuna	1940-е годы
1900 watakuna	1900-е годы
1910 watakuna	1910-е годы
Den Haag	Гаага
Rikch'aq ñiqi	Отряд
Gurila	Гориллы
Q'itayay	Проституция
Ben Tre	Бенче
Mitan kamaypaq suti	Биноминальная номенклатура
Rikch'a kapchiy	Изобразительное искусство
Yuguslawya	Югославия
Mamut	Мамонты
Rikch'aq suyu	Царство (биология)
Novial simi	Новиаль
Aung San Suu Kyi	Аун Сан Су Чжи
Rapanuy simi	Рапануйский язык
Huwanpa qillqasqan	Евангелие от Иоанна
Punku	Дверь
Taraska simi	Пурепеча (язык)
Urin runasimi	Южный кечуа
Raramuri simi	Тараумара (язык)
Tseltal simi	Цельтальский язык
Tsotsil simi	Цоцильский язык
Tawak'uchu	Четырёхугольник
Takichaq	Композитор
Sillu	Ногти
Tlapanika simi	Тлапанекский язык
Mama simi	Родной язык
Urqu wichay	Альпинизм
Achiksamaytu	Озон
Tsutuhil simi	Цутухильский язык
Waraw simi	Варао (язык)
Salvador (Bahia)	Салвадор
Lliqti unquy	Лепра
Wanka limay	Кечуа-уанка
Shawanti simi	Шаванте (язык)
Chaku	Охота
Yawyu runasimi	Яуйос-чинчанский кечуа
Toshiro Mifune	Мифунэ, Тосиро
Uya	Лицо
Thomas Mann	Манн, Томас
Tallahassee (Florida)	Таллахасси
Kachariy	Независимость
José Saramago	Сарамаго, Жозе
Alexander Fleming	Флеминг, Александр
Bismarck (North Dakota)	Бисмарк (Северная Дакота)
Takarpucha	Гвоздь
Uliw	Олива европейская
Kimsantin Dyus	Троица
Awklanda	Окленд (Новая Зеландия)
Alajuela	Алахуэла (город)
Siwk siq'i	Прямая
331	331 год
365	365 год
Iñuku huk'i	Атомное ядро
Palta	Авокадо
379	379 год
Pillunya	Волна
Luiz Inácio Lula da Silva	Силва, Луис Инасиу Лула да
Puka yawar kawsaykuq	Эритроциты
Robert Koch	Кох, Роберт
Giza hatun chuntu	Пирамида Хеопса
Raqta	Диаметр
Yachachiq	Учитель
Qillqay	Письмо (письменность)
Juan Pawlu I	Иоанн Павел I
Piluta Hayt'ay Pachantin Kupa 2006	Чемпионат мира по футболу 2006
Ch'uya Ispiritu	Святой Дух
Lublin	Люблин
John Michael Talbot	Талбот, Джон Майкл
Arara	Арара (Параиба)
Inchik	Арахис культурный
Francis Bacon	Бэкон, Фрэнсис
Pachak	100 (число)
Qunqur	Коленный сустав
Pacha phuyu	Туман
Qhawana q'ispillu	Очки
Ninachaq	Спичка
Rikch'aq sinri	Класс (биология)
Uwas misk'i	Глюкоза
Ashkamanya (pacha tupuy)	Многоугольник
Chikchi	Град
David Ben-Gurion	Бен-Гурион, Давид
Luciano Pavarotti	Паваротти, Лучано
43 kñ	43 год до н. э.
Qhatu	Рынок
Campora San Giovanni	Кампора-Сан-Джованни
Francisco Solano López	Лопес, Франсиско Солано
Fulgencio Yegros	Йегрос, Фульхенсио
Llipipipiq q'aytu	Шёлк
Paul Gauguin	Гоген, Поль
Awqaq suyu	Армия
Runayupay	Демография
Besançon	Безансон
Charlottep Llikan (kuyuchisqa siq'isqa)	Паутина Шарлотты (мультфильм)
Milwaukee (Wisconsin)	Милуоки
Altay rimaykuna	Алтайские языки
Laqu	Водоросли
Nobel Suñay Simi Kapchiypi	Нобелевская премия по литературе
Chaski unanchana	Почтовая марка
Kumar	Батат
Sapporo	Саппоро
Gregor Mendel	Мендель, Грегор Иоганн
Akihito	Акихито
63 kñ	63 год до н. э.
St. Louis (Missouri)	Сент-Луис
Kunkawaki	Согласные
Paraíba suyu	Параиба
Yawatisuyu	Галапагос (острова)
Nobel Suñay Pachaykamaypi	Нобелевская премия по физике
Leonardo DiCaprio	Ди Каприо, Леонардо
Sach'a kamay	Лесоводство
Daniel Radcliffe	Рэдклифф, Дэниел
31 kñ	31 год до н. э.
Helen Keller	Келлер, Хелен Адамс
Nagasaki	Нагасаки
Yokohama	Иокогама
Rimana yachay	Морфология (лингвистика)
1840 watakuna	1840-е годы
Alexandre Dumas	Дюма, Александр (отец)
Rikch'aq putu	Тип (биология)
Angers	Анже
William Faulkner	Фолкнер, Уильям
Columbia (South Carolina)	Колумбия (Южная Каролина)
Romano Prodi	Проди, Романо
Turku	Турку
Hunu	Миллион
Santa Fe (Musuq Mishiku)	Санта-Фе (Нью-Мексико)
São Paulo Futebol Clube	Сан-Паулу (футбольный клуб)
Diwanaqri siq'i llumpa	Деванагари
1880 watakuna	1880-е годы
Helena (Montana)	Хелена (Монтана)
Bertolt Brecht	Брехт, Бертольт
Bío-Bío Yachay Suntur	Университет Био-Био
Ruhollah Khomeini	Хомейни, Рухолла Мусави
Heavy metal	Метал
Ruphariy	Лихорадка
4 kñ	4 год до н. э.
Teide	Тейде
1890 watakuna	1890-е годы
100 kñ	100 год до н. э.
Minas Gerais suyu	Минас-Жерайс
Leeds	Лидс
8 kñ	8 год до н. э.
Ukucha	Домовые мыши
P'ulin	Объём
Killmu	Оранжевый цвет
Chanpi	Топор
Sochi	Сочи
Ronaldinho	Роналдиньо
1830 watakuna	1830-е годы
Qharastaq	Трактор
Pará suyu	Пара (штат)
Gamal Abdel Nasser	Насер, Гамаль Абдель
Ruwana	Инструмент
Ñit'iy	Давление
Michael Phelps	Фелпс, Майкл
1800 watakuna	1800-е годы
Antoine Lavoisier	Лавуазье, Антуан Лоран
Ayamarka	Кладбище
Hampikamayuq	Врач
Nicolas Appert	Аппер, Николя
14 kñ	14 год до н. э.
27 kñ	27 год до н. э.
Makiduniya	Македония
Des Moines (Iowa)	Де-Мойн
Pharu	Маяк
Qispichiqkuna (kuyuchisqa siq'isqa)	Спасатели (мультфильм)
Aqunqhawaq	Аконкагуа
19 kñ	19 год до н. э.
Mario Vargas Llosa	Варгас Льоса, Марио
Qhichwa	Долина
3 kñ	3 год до н. э.
Runa yupay	Перепись населения
1860 watakuna	1860-е годы
1870 watakuna	1870-е годы
Khallwa	Ласточковые
Pintikustis	День Святой Троицы
Wara	Брюки
Chunkawata	Десятилетие
Almindru	Миндаль
Pierre-Auguste Renoir	Ренуар, Пьер Огюст
Lukaspa qillqasqan	Евангелие от Луки
Veda	Веды
58 kñ	58 год до н. э.
Gela	Джела
Concepción pruwinsya	Консепсьон (провинция, Чили)
Inti micha	Солнечная энергетика
52 kñ	52 год до н. э.
Urin Hatunmayu suyu	Риу-Гранди-ду-Сул
Amarumayu suyu (Brasil)	Амазонас
Upyana	Напиток
Wakichi	Компьютерная программа
Urdun mayu	Иордан
6 kñ	6 год до н. э.
34 kñ	34 год до н. э.
Challaku	Пляж
Kusasqa tika	Кирпич
Will Smith	Смит, Уилл
Lunp'u	Эллипс
Ceará suyu	Сеара
Amapá suyu	Амапа
59 kñ	59 год до н. э.
57 kñ	57 год до н. э.
Pulpu	Осьминоги
Ratata	Лава
Wanqhana	Рычаг
Hobart	Хобарт
1810 watakuna	1810-е годы
Akllanakuy	Выборы
Manaus	Манаус
Porto Alegre	Порту-Алегри
Miray	Умножение
Ñukini	Новая Гвинея
Atuqwan Allquwan (kuyuchisqa siq'isqa)	Лис и пёс
Apustulkunap rurasqankuna	Деяния святых апостолов
Taripay amachaq	Адвокат
Samk'ay wasi	Тюрьма
Sahara Arabya Dimukrata Republika	Сахарская Арабская Демократическая Республика
5 kñ	5 год до н. э.
Kawsaykuq tantalli	Ткань (биология)
23 kñ	23 год до н. э.
Bahia suyu	Баия
Buffalo (New York)	Буффало
Joan Crawford	Джоан Кроуфорд
John Wayne	Джон Уэйн
Q'illay takay	Кузница
Thirty Seconds to Mars	Thirty Seconds to Mars
Kumunista Maniphistu	Манифест коммунистической партии
Édouard Manet	Мане, Эдуард
Rumiyasqa	Фоссилии
Dilma Rousseff	Русеф, Дилма
Pierre (South Dakota)	Пирр (Южная Дакота)
Qichuy	Вычитание
Muru	Семя
65 kñ	65 год до н. э.
Aqri suyu	Акри
Runa kuchuy	Хирургия
29 kñ	29 год до н. э.
Tampere	Тампере
Chakana	Крест
Ruturina	Ножницы
Edward Jenner	Дженнер, Эдвард
Allpa wapsi	Природный газ
Pachar	Мрамор
Miyu	Яд
53 kñ	53 год до н. э.
90 kñ	90 год до н. э.
Q'icha	Диарея
Carson City (Nevada)	Карсон-Сити (Невада)
Alagoas suyu	Алагоас
Dumbo	Дамбо
Werner Heisenberg	Гейзенберг, Вернер
Virginia Woolf	Вулф, Вирджиния
Frank Sinatra	Синатра, Фрэнк
7 kñ	7 год до н. э.
9 kñ	9 год до н. э.
Ispa	Моча
1850 watakuna	1850-е годы
María Eva Duarte	Перон, Эва
Pernambuco suyu	Пернамбуку
Daniel Defoe	Дефо, Даниель
Anhui pruwinsya	Аньхой
32 kñ	32 год до н. э.
91 kñ	91 год до н. э.
Orangutan	Орангутаны
Mat'i	Лоб
Topeka (Kansas)	Топика (Канзас)
Salmukuna	Псалтирь
Mungul suyu ukhupi	Внутренняя Монголия
Wanthi unquy	Сифилис
Raleigh (North Carolina)	Роли (Северная Каролина)
Sulla	Роса
Waq'akay	Шизофрения
Santa Catarina suyu	Санта-Катарина
84 kñ	84 год до н. э.
48 kñ	48 год до н. э.
Táchira suyu	Тачира
26 kñ	26 год до н. э.
Apure suyu	Апуре
70 kñ	70 год до н. э.
55 kñ	55 год до н. э.
11 kñ	11 год до н. э.
Cortina d'Ampezzo	Кортина-д’Ампеццо
Puytu	Ромб
Wasichay	Здание
Alaymuska rumi	Гранит
Hailé Selassié I	Хайле Селассие I
Q'illay kañina	Монета
San Juan (Burinkin)	Сан-Хуан (Пуэрто-Рико)
69 kñ	69 год до н. э.
16 kñ	16 год до н. э.
Emilio Butragueño	Бутрагеньо, Эмилио
35 kñ	35 год до н. э.
13 kñ	13 год до н. э.
Andriy Shevchenko	Шевченко, Андрей Николаевич
Bydgoszcz	Быдгощ
Heinrich Hertz	Герц, Генрих Рудольф
Nottingham	Ноттингем
Henri Becquerel	Беккерель, Антуан Анри
John Dalton	Дальтон, Джон
Riwista	Журнал
Franz Liszt	Лист, Ференц
Bobby Fischer	Фишер, Роберт Джеймс
17 kñ	17 год до н. э.
Linz	Линц
67 kñ	67 год до н. э.
88 kñ	88 год до н. э.
96 kñ	96 год до н. э.
54 kñ	54 год до н. э.
87 kñ	87 год до н. э.
Mama aqha	Уксус
24 kñ	24 год до н. э.
77 kñ	77 год до н. э.
José Luis Rodríguez Zapatero	Родригес Сапатеро, Хосе Луис
Federico García Lorca	Гарсиа Лорка, Федерико
Chupi	Суп
Borussia Dortmund	Боруссия (футбольный клуб, Дортмунд)
Michael Jordan	Джордан, Майкл
Rio de Janeiro suyu	Рио-де-Жанейро (штат)
Uquti unquy	Геморрой
Taripay suntur	Суд
Moysespa kimsa ñiqin qillqasqan	Книга Левит
Saphi	Корень
Stanford Yachay Suntur	Стэнфордский университет
60 kñ	60 год до н. э.
Frank Lampard	Лэмпард, Фрэнк
Miqu	Крахмал
56 kñ	56 год до н. э.
98 kñ	98 год до н. э.
51 kñ	51 год до н. э.
Wiru	Труба (изделие)
Chuqur-chuqur	Сушеница
Rodospi Kolossos	Колосс Родосский
Nicolas Poussin	Пуссен, Никола
Jacques Offenbach	Оффенбах, Жак
Pacha q'uñichiy	Парниковый эффект
Julia Gillard	Гиллард, Джулия
Hamlet	Гамлет
Hua Guofeng	Хуа Гофэн
Goiás suyu	Гояс
Świnoujście	Свиноуйсьце
Kulantru	Кориандр
Sikuanalisis	Психоанализ
K'awchisuyt'u	Землеройковые
81 kñ	81 год до н. э.
62 kñ	62 год до н. э.
95 kñ	95 год до н. э.
71 kñ	71 год до н. э.
97 kñ	97 год до н. э.
Hendrik Lorentz	Лоренц, Хендрик Антон
Fujian pruwinsya	Фуцзянь
T'impuy	Кипение
Emiliano Zapata	Сапата, Эмилиано
P'uchquy	Брожение
Hunt'a rimay	Предложение (лингвистика)
K'isura	Грамм
86 kñ	86 год до н. э.
80 kñ	80 год до н. э.
Llasaq yawar	Артериальная гипертензия
Paul Newman	Ньюман, Пол
Reims	Реймс
74 kñ	74 год до н. э.
64 kñ	64 год до н. э.
99 kñ	99 год до н. э.
76 kñ	76 год до н. э.
79 kñ	79 год до н. э.
61 kñ	61 год до н. э.
Babilunpa warkhuq muyankuna	Висячие сады Семирамиды
50 kñ	50 год до н. э.
Pariwana	Фламинго
Talkawanu	Талькауано
Szombathely	Сомбатхей
Anwar Sadat	Садат, Анвар
Huwanpa Apokalipsisnin	Откровение Иоанна Богослова
Paqu yachaq	Шаманизм
Gobi	Гоби
Kaqlla simi	Синонимы
Siki	Ягодицы
Kawitu	Кровать
Umalliq ranti	Вице-президент
82 kñ	82 год до н. э.
Hainan pruwinsya	Хайнань
Much'aykusqayki Mariya	Аве Мария
Caravaggio	Караваджо
Ruray	Механическая работа
149 kñ	149 год до н. э.
101 kñ	101 год до н. э.
Ichhuna	Серп
K'uskiykuy	Исследование
Ninat'uru	Магма
Arsi	Клён
Thansa	Кустарник
Ch'aqu	Глина
Piyu XI	Пий XI
Qaqa paluma	Сизый голубь
Millma	Шерсть (материал)
Purutu	Фасоль обыкновенная
Chuqu	Конус
83 kñ	83 год до н. э.
92 kñ	92 год до н. э.
93 kñ	93 год до н. э.
94 kñ	94 год до н. э.
78 kñ	78 год до н. э.
Maranhão suyu	Мараньян
Kakaw	Какао
Gansu pruwinsya	Ганьсу
Yuraq yawar kawsaykuq	Лейкоциты
Evo Morales	Моралес, Эво
66 kñ	66 год до н. э.
85 kñ	85 год до н. э.
89 kñ	89 год до н. э.
72 kñ	72 год до н. э.
73 kñ	73 год до н. э.
68 kñ	68 год до н. э.
Anatole France	Франс, Анатоль
Sheffield	Шеффилд
75 kñ	75 год до н. э.
York	Йорк
Rawrana	Топливо
Roraima suyu	Рорайма
Uqi	Серый цвет
Q'apachana	Пряности
Thomas More	Мор, Томас
Llama	Лама (животное)
James Cameron	Кэмерон, Джеймс
Kuchus	Локтевой сустав
Frederic Mistral	Мистраль, Фредерик
Kura	Священник
Moysespa pichqa ñiqin qillqasqan	Второзаконие
Palistina kamachikuy	Палестинская национальная администрация
Saint-Étienne	Сент-Этьен
Piauí suyu	Пиауи
Fernando Torres	Торрес, Фернандо
Olympia (Washington)	Олимпия (Вашингтон)
Han runa	Хань (народ)
Rita Hayworth	Хейворт, Рита
Kawsay pacha	Биосфера
Johnny Cash	Кэш, Джонни
Audrey Hepburn	Хепбёрн, Одри
Manati	Ламантины
Belo Horizonte	Белу-Оризонти
Sapra	Борода
Nîmes	Ним
Le Havre	Гавр
Mato Grosso suyu	Мату-Гросу
Griguryu I	Григорий I (папа римский)
Long Thanh antanka pampa	Лонгтхань (аэропорт)
Nicolas Cage	Кейдж, Николас
Climinti	Климент I
201 kñ	201 год до н. э.
202 kñ	202 год до н. э.
Truyanu maqanakuy	Троянская война
Pirqa	Стена
Harbin	Харбин
Ivan Pavlov	Павлов, Иван Петрович
Golda Meir	Меир, Голда
1600 watakuna	1600-е годы
Yatawaki	Оркестр
146 kñ	146 год до н. э.
Sesto San Giovanni	Сесто-Сан-Джованни
Cinisello Balsamo	Чинизелло-Бальзамо
Qhisqa	Кварц
Yawar ch'unqaq	Пиявки
Waranqa	Тысяча
Ephesos Artemis manqus wasi	Храм Артемиды Эфесской
George Bush	Буш, Джордж
Yawar puka	Гемоглобин
Bambi	Бэмби (мультфильм)
Ch'akiy	Засуха
Yana piminta	Перец чёрный
Puka umiña	Рубин
Allin qillqay	Орфография
Moysespa tawa ñiqin qillqasqan	Книга Чисел
Santu	Святой
Tiksi k'atacha	Элементарная частица
Kevin Rudd	Радд, Кевин
Kusma qara	Лишайники
Inkisisyun	Святая инквизиция
Raphi q'umir	Хлорофилл
Ellen Johnson-Sirleaf	Джонсон-Серлиф, Элен
Juanes	Хуанес
110 kñ	110 год до н. э.
Chaqna antawa	Грузовой автомобиль
Yunnan pruwinsya	Юньнань
106 kñ	106 год до н. э.
Ch'uya Ispiritu suyu	Эспириту-Санту
Rondônia suyu	Рондония
Wiru yura rikch'aq ayllu	Злаки
Aleksandriya pharu	Александрийский маяк
Ingrid Bergman	Бергман, Ингрид
Rimana yapaq	Морфема
Sophia Loren	Софи Лорен
Chinchay Hatunmayu suyu	Риу-Гранди-ду-Норти
Pachapanta	Горизонт
Zulia suyu	Сулия
Barinas suyu	Баринас (штат)
Ñansa phaqcha	Виктория (водопад)
Wayra micha	Ветроэнергетика
200 kñ	200 год до н. э.
Urin Mato Grosso suyu	Мату-Гросу-ду-Сул
Mijeil Saakashvili	Саакашвили, Михаил Николозович
Basaltu	Базальт
Harry Potter yachaqpa ruminwan	Гарри Поттер и философский камень
1700 watakuna	1700-е годы
Plymouth	Плимут (Англия)
Robert Boyle	Бойль, Роберт
Shandong pruwinsya	Шаньдун
Richmond (Virginia)	Ричмонд (Виргиния)
Esopus	Эзоп
Gustave Flaubert	Флобер, Гюстав
China uywa	Самка
Pachakchaki	Губоногие
Fortaleza (Ceará)	Форталеза
Marq'a	Плечо (часть тела)
Angkor Wat	Ангкор-Ват
Derby	Дерби (Англия)
Amedeo Avogadro	Авогадро, Амедео
Sallqa akllay	Естественный отбор
Yaku hurquna	Колодец
Waman	Соколы
Desiderius Erasmus	Эразм Роттердамский
Wayakil	Гуаякиль
Inuhu	Фенхель обыкновенный
Q'umir umiña	Изумруд
Piñi	Кристаллы
Muyuriq pacha	Окружающая среда
Q'inti	Колибри
Kiwi p'isqu	Киви (птица)
Chankaku	Носок
Thomas Müller	Мюллер, Томас
Philipp Lahm	Лам, Филипп
Henan pruwinsya	Хэнань
Tocantins suyu	Токантинс
Piyu IX	Пий IX
Liyun XII	Лев XII
Andrés Iniesta	Иньеста, Андрес
Griguryu XVI	Григорий XVI
Piyu X	Пий X
Gerd Müller	Мюллер, Герд
Aytipi pacha kuyuy (2010)	Землетрясение на Гаити (2010)
Sergipe suyu	Сержипи
Pupu	Пуп
Arjen Robben	Роббен, Арьен
Eduard Buchner	Бухнер, Эдуард
Salem (Oregon)	Сейлем (Орегон)
Liyun XIII	Лев XIII
Liaoning pruwinsya	Ляонин
Judas Tadeu	Апостол Фаддей
Liyun I	Лев I (папа римский)
1740 watakuna	1740-е годы
Pisqu chhulli	Птичий грипп
264 kñ	264 год до н. э.
185 kñ	185 год до н. э.
Bixente Lizarazu	Лизаразю, Биксант
169 kñ	169 год до н. э.
Domingo de Guzmán	Святой Доминик
119 kñ	119 год до н. э.
195 kñ	195 год до н. э.
115 kñ	115 год до н. э.
120 kñ	120 год до н. э.
Sirwila	Слива домашняя
1500 watakuna	1500-е годы
Toulon	Тулон
Kuyuchina	Двигатель
156 kñ	156 год до н. э.
129 kñ	129 год до н. э.
Sepp Maier	Майер, Зепп
Resistencia (Chaku)	Ресистенсия (Чако)
Rawson	Росон
Córdoba (Arhintina)	Кордова (город, Аргентина)
Corrientes	Корриентес
Paraná (Entre Ríos)	Парана (Аргентина)
Formosa (Arhintina)	Формоса (город)
Santa Rosa (Arhintina)	Санта-Роса (Ла-Пампа)
San Salvador de Jujuy	Сан-Сальвадор-де-Жужуй
104 kñ	104 год до н. э.
Killa unquy	Лунное затмение
La Rioja llaqta	Ла-Риоха (город)
Mendoza	Мендоса (город)
Neuquén	Неукен
San Luis (Arhintina)	Сан-Луис (Аргентина)
Santa Fe (Arhintina)	Санта-Фе (Аргентина)
139 kñ	139 год до н. э.
Santiago del Estero	Сантьяго-дель-Эстеро (город)
122 kñ	122 год до н. э.
206 kñ	206 год до н. э.
Ignacio de Loyola	Игнатий де Лойола
Bastian Schweinsteiger	Швайнштайгер, Бастиан
Kuyuti	Койот
Urqusapa Kharabaq	Нагорный Карабах
203 kñ	203 год до н. э.
Günter Netzer	Нетцер, Гюнтер
Uli Hoeneß	Хёнесс, Ули
102 kñ	102 год до н. э.
Ronald Golias	Голиаш, Роналд
Chaqallu yura rikch'aq ayllu	Бобовые
Paul Breitner	Брайтнер, Пауль
Uwe Seeler	Зеелер, Уве
Chuki	Копьё
159 kñ	159 год до н. э.
Kutana	Мельница
Qhuya	Горное дело
141 kñ	141 год до н. э.
Unquy mast'akuy	Эпидемия
Leonardo Favio	Леонардо Фавио
Manqus wasi	Храм
183 kñ	183 год до н. э.
Charleston (West Virginia)	Чарлстон (Западная Виргиния)
Titanic (1997 kuyu walltay)	Титаник (фильм, 1997)
Nobel Suñay Chaqllisinchipi	Нобелевская премия по химии
Manchakuy	Страх
Kichka qarayuq	Иглокожие
1820 watakuna	1820-е годы
241 kñ	241 год до н. э.
Wolfgang Overath	Оверат, Вольфганг
209 kñ	209 год до н. э.
210 kñ	210 год до н. э.
Amarumayu suyu (Kulumbya)	Амасонас (Колумбия)
Hawaqlla muru unquy	Ветряная оспа
103 kñ	103 год до н. э.
Francisco Pizarro	Писарро, Франсиско
Buenos Aires wamani	Буэнос-Айрес (провинция)
Qhatamarka wamani	Катамарка
Chaku wamani	Чако (провинция)
Corrientes wamani	Корриентес (провинция)
Córdoba wamani	Кордова (провинция, Аргентина)
Formosa wamani	Формоса (провинция)
Entre Ríos wamani	Энтре-Риос
Jujuy wamani	Жужуй
145 kñ	145 год до н. э.
142 kñ	142 год до н. э.
Wamp'urani	Порт
Murira	Шелковица
La Pampa wamani	Ла-Пампа
La Rioja wamani	Ла-Риоха (провинция, Аргентина)
Mendoza wamani	Мендоса (провинция)
Misiones wamani	Мисьонес (провинция)
Neuquén wamani	Неукен (провинция)
Río Negro wamani	Рио-Негро (провинция)
Salta wamani	Сальта (провинция)
San Juan wamani	Сан-Хуан (провинция, Аргентина)
San Luis wamani	Сан-Луис (провинция)
Haji Mohamed Suharto	Сухарто
Santa Krus wamani	Санта-Крус (провинция, Аргентина)
Santa Fe wamani	Санта-Фе (провинция)
Santiago del Estero wamani	Сантьяго-дель-Эстеро (провинция)
Tukuman wamani	Тукуман (провинция)
109 kñ	109 год до н. э.
Ninasuyu wamani	Огненная Земля, Антарктида и острова Южной Атлантики
215 kñ	215 год до н. э.
148 kñ	148 год до н. э.
1770 watakuna	1770-е годы
Jürgen Grabowski	Грабовски, Юрген
Chubut wamani	Чубут
121 kñ	121 год до н. э.
189 kñ	189 год до н. э.
179 kñ	179 год до н. э.
186 kñ	186 год до н. э.
Wayrukuna	Игральная кость
Linu	Лён обыкновенный
190 kñ	190 год до н. э.
152 kñ	152 год до н. э.
168 kñ	168 год до н. э.
Simintu	Цемент
Świętochłowice	Свентохловице
Wamp'u runa	Моряк
Jilin pruwinsya	Гирин
235 kñ	235 год до н. э.
Alikarnassospi Maussollospa aya wasin	Мавзолей в Галикарнасе
222 kñ	222 год до н. э.
Wamink'a maqay	Государственный переворот
236 kñ	236 год до н. э.
237 kñ	237 год до н. э.
238 kñ	238 год до н. э.
Coimbra	Коимбра
239 kñ	239 год до н. э.
Qunchu	Дрожжи
233 kñ	233 год до н. э.
231 kñ	231 год до н. э.
177 kñ	177 год до н. э.
229 kñ	229 год до н. э.
171 kñ	171 год до н. э.
225 kñ	225 год до н. э.
133 kñ	133 год до н. э.
226 kñ	226 год до н. э.
137 kñ	137 год до н. э.
223 kñ	223 год до н. э.
184 kñ	184 год до н. э.
144 kñ	144 год до н. э.
147 kñ	147 год до н. э.
Amaru	Ложноногие
Napaykuy	Приветствие
232 kñ	232 год до н. э.
K'apra	Керамика
Ruud van Nistelrooy	Ван Нистелрой, Руд
151 kñ	151 год до н. э.
200 watakuna kñ	200-е годы до н. э.
112 kñ	112 год до н. э.
Kalistu	Эвкалипт
250 watakuna kñ	250-е годы до н. э.
290 watakuna kñ	290-е годы до н. э.
Muyu-muyu	Трёхцветный плавунчик
Q'upa	Отходы
280 watakuna kñ	280-е годы до н. э.
Charlottep Llikan	Паутинка Шарлотты
Hunan pruwinsya	Хунань
Wañusqa rimay	Мёртвый язык
Pécs	Печ (город, Венгрия)
230 watakuna kñ	230-е годы до н. э.
Kim Dae-jung	Ким Дэ Чжун
Qinghai pruwinsya	Цинхай
197 kñ	197 год до н. э.
207 kñ	207 год до н. э.
Isabel I	Изабелла I (королева Кастилии)
105 kñ	105 год до н. э.
188 kñ	188 год до н. э.
180 kñ	180 год до н. э.
Thierry Henry	Анри, Тьерри
131 kñ	131 год до н. э.
Maya	Майя (народ)
Wach'i	Стрела
Kawsaykuq yawri	Органоиды
Han-P'ut' rimaykuna	Сино-тибетские языки
1680 watakuna	1680-е годы
1610 watakuna	1610-е годы
