આફ્રિકા	Африка
નક્ષત્ર	Созвездие
નૉર્વેજિયન ભાષા	Норвежский язык
ચાણક્ય	Чанакья
બાગમતી પ્રાંત (નેપાળ)	Багмати (зона Непала)
નોઆમ ચોમ્સ્કી	Хомский, Ноам
ભેરી પ્રાંત (નેપાળ)	Бхери (зона Непала)
મુસા	Моисей
ધવલાગિરી પ્રાંત (નેપાળ)	Дхаулагири (зона Непала)
હિંદુ ધર્મ	Индуизм
અણુ	Атом
પ્રકાશ	Свет
ગંડકી પ્રાંત (નેપાળ)	Гандаки (зона Непала)
તાજ મહેલ	Тадж-Махал
જનકપુર પ્રાંત (નેપાળ)	Джанакпур (зона Непала)
ઇ-મેઇલ	Электронная почта
કર્ણાલી પ્રાંત (નેપાળ)	Карнали (зона Непала)
ફારસી ભાષા	Персидский язык
કોશી પ્રાંત (નેપાળ)	Коси (зона Непала)
લુમ્બિની પ્રાંત (નેપાળ)	Лумбини (зона Непала)
મહાકાલી પ્રાંત (નેપાળ)	Махакали (зона Непала)
મેચી પ્રાંત (નેપાળ)	Мечи (зона Непала)
ઇબ્રાહિમ	Авраам
નારાયણી પ્રાંત (નેપાળ)	Нараяни (зона Непала)
રાપ્તી પ્રાંત (નેપાળ)	Рапти (зона Непала)
સગરમાથા પ્રાંત (નેપાળ)	Сагарматха (зона Непала)
સેતી પ્રાંત (નેપાળ)	Сетхи (зона Непала)
યુનાઇટેડ સ્ટેટ્સ આર્મી	Армия США
લુમ્બિની	Лумбини
જૈન ધર્મ	Джайнизм
યહૂદી ધર્મ	Иудаизм
લાઓત્સે	Лао-цзы
જીમેઇલ	Gmail
યોગ	Йога
સિમા કીઆન	Сыма Цянь
મનોવિજ્ઞાન	Психология
મહાવીર સ્વામી	Махавира
ટિમ્બક્ટુ	Томбукту
ઋષભ દેવ	Ришабха
દિગંબર	Дигамбары
લોથલ	Лотхал
વલ્લભભાઈ પટેલ	Патель, Валлабхаи
મુહમ્મદ	Мухаммед
ધોળાવીરા	Дхолавира
આઇપોડ	IPod
સચિન તેંડુલકર	Тендулкар, Сачин
અબ્દુલ કલામ	Абдул Калам
બીબીસી	Би-би-си
શાહરૂખ ખાન	Хан, Шахрух
સલમાન ખાન	Хан, Салман
કૅટરિના કૈફ	Каиф, Катрина
આમિર ખાન	Хан, Аамир
અમિતાભ બચ્ચન	Баччан, Амитабх
હરિવંશરાય બચ્ચન	Баччан, Хариванш Рай
કન્ફયુસીયસ ધર્મ	Конфуцианство
તાઓ ધર્મ	Даосизм
જરથોસ્તી ધર્મ	Зороастризм
બંગાળી ભાષા	Бенгальский язык
જીભ	Язык (анатомия)
ચેલ્સી ફૂટબોલ ક્લબ	Челси (футбольный клуб)
આર્સેનલ ફૂટબોલ ક્લબ	Арсенал (футбольный клуб, Лондон)
સ્વાદુપિંડ	Поджелудочная железа
ફૉકલેન્ડ ટાપુઓ	Фолклендские острова
બ્લૂઝ	Блюз
ઇરોડ	Ироду
પ્રાથમિક શાળા	Начальная школа
સેલમ	Салем (Индия)
કોઇમ્બતુર	Коимбатур
ઊટકામંડ	Утакаманд
મૈસૂર	Майсур
નીલગિરિ	Нилгири (горный массив)
રફેલ નડાલ	Надаль, Рафаэль
રાહુલ ગાંધી	Ганди, Рахул
ભારતીય રાષ્ટ્રીય કોંગ્રેસ	Индийский национальный конгресс
ભારતીય જનતા પાર્ટી	Бхаратия джаната парти
દિવાળી	Дивали
મકર સંક્રાંતિ	Макара-санкранти
દરિયાઈ બોગદું (ઇંગ્લેન્ડ-ફ્રાન્સ)	Евротоннель
હોળી	Холи
પાયથાગોરસ	Пифагор
નવરાત્રી	Наваратри
દશેરા	Виджаядашами
કુંભ મેળો	Кумбха-мела
કોલોસીયમ	Колизей
સપ્તર્ષિ	Большой Ковш
ડેવિડ બેકહામ	Бекхэм, Дэвид
આવર્ત કોષ્ટક	Периодическая система химических элементов
કબૂતર	Голубиные
અંધાપો	Слепота
ચીઝ	Сыр
દ્રાક્ષ	Виноград (ягода)
ટાઇગર વુડ્સ	Вудс, Тайгер
બટાકાં	Картофель
શાકભાજી	Овощи
સ્નૂકર	Снукер
ઇજનેરી	Инженерное дело
પ્રત્યાયન	Общение
સંસ્કૃત ભાષા	Санскрит
રુધિરાભિસરણ તંત્ર	Кровообращение
IPv4	IPv4
IP એડ્રેસ	IP-адрес
પ્રશ્નચિહ્ન	Вопросительный знак
વર્લ્ડ ટ્રેડ સેન્ટર	Всемирный торговый центр
ફ્રિડમ ટાવર	Всемирный торговый центр 1
મીઠું	Поваренная соль
ફિડલ કાસ્ટ્રો	Кастро, Фидель
મેનહટન	Манхэттен
તત્વ	Химический элемент
આર્યભટ્ટ	Ариабхата
શિવ	Шива
વિષ્ણુ	Вишну
લોકલ એરિયા નેટવર્ક	Локальная вычислительная сеть
વાઈડ એરિયા નેટવર્ક	Глобальная компьютерная сеть
વિદ્યુત-ચુંબકીય તરંગો	Электромагнитное излучение
બ્રહ્મા	Брахма
બળ	Сила
ચુંબકીયક્ષેત્ર	Магнитное поле
ગુરુત્વાકર્ષણ	Гравитация
માર્શલ આર્ટસ	Боевые искусства
જુડો	Дзюдо
દળ	Масса
ધાતુ	Металлы
વાયુ	Газ
પ્રવાહી	Жидкость
ઘન	Твёрдое тело
કૃષિ	Сельское хозяйство
કપાસ	Хлопок
કપડાં	Одежда
તાપમાન	Температура
ધાતુશાસ્ત્ર	Металлургия
કાગળ	Бумага
ક્ષેત્રફળ	Площадь
દેનપસાર	Денпасар
સેકન્ડ	Секунда
મકાઈ	Кукуруза сахарная
માટીકામ	Гончарное производство
સ્ટેફી ગ્રાફ	Граф, Штеффи
હવામાન	Погода
લાહોર	Лахор
મેસોપોટેમીયા	Месопотамия
પ્રાચીન ઇજિપ્ત	Древний Египет
ગુપ્ત સામ્રાજ્ય	Государство Гуптов
સ્લીપિંગ બ્યૂટી	Спящая красавица
સિન્ડ્રેલા	Золушка
રાજકોટ	Раджкот
જુનાગઢ	Джунагадх
વડોદરા	Вадодара
ગાંધીનગર	Гандинагар
મિકી માઉસ	Микки Маус
પ્રકાશસંશ્લેષણ	Фотосинтез
કર્કરોગ (કેન્સર)	Злокачественная опухоль
ઘઉં	Пшеница
બધિરતા	Нарушение слуха
ગ્રેગોરીયન પંચાંગ	Григорианский календарь
નિકોટિન	Никотин
હૃદયરોગનો હુમલો	Инфаркт миокарда
મલેરિયા	Малярия
કુપોષણ	Недоедание
ગુપ્તરોગ	Заболевания, передающиеся половым путём
એડ્સ	ВИЧ-инфекция
ક્ષય રોગ	Туберкулёз
મધુપ્રમેહ	Сахарный диабет
ઢાંચો:Location map India	Шаблон:ПозКарта Индия
જાન્યુઆરી ૦	0 января
બુર્જ દુબઈ	Бурдж-Халифа
ચીનની મહાન દિવાલ	Великая Китайская стена
પિરામિડ	Пирамида (архитектура)
ફેશન	Мода
તલવાર	Меч
પેલે	Пеле
જયોર્જ સોરોસ	Сорос, Джордж
વિનોબા ભાવે	Виноба Бхаве
સ્ટ્રોબેરી	Земляника ананасная
વર્ડપ્રેસ	WordPress
લીચી (ફળ)	Личи
નારિયેળ	Кокосовая пальма
દાડમ	Гранат обыкновенный
સંતરુ (ફળ)	Апельсин
રાજસ્થાની ભાષા	Раджастхани
તેઝુ	Тезу
આઇસ્ક્રીમ	Мороженое
ઢાંચો:Location map Canada	Шаблон:ПозКарта Канада
સીદી	Сидди
નિરોધ	Презерватив
ડોલર	Доллар
વડાપ્રધાન	Премьер-министр
માછીમારી	Рыбная ловля
થોર	Кактусовые
ગરમ મસાલો	Гарам масала
ઘર ચકલી	Домовый воробей
મકાઉ	Макао
ચીકુ	Саподилла
એ.એસ.એલ.વી.યાન	ASLV
હુ જિન્તાઓ	Ху Цзиньтао
જિરાફ	Жираф
અરિયાલુર જિલ્લો	Ариялур (округ)
ચેન્નઈ જિલ્લો	Ченнаи (округ)
કોઇમ્બતુર જિલ્લો	Коимбатур (округ)
કડ્ડલોર જિલ્લો	Куддалор (округ)
ધર્મપુરી જિલ્લો	Дхармапури (округ)
દિંડીગુલ જિલ્લો	Диндуккал (округ)
ઇરોડ જિલ્લો	Ироду (округ)
કાચીપુરમ જિલ્લો	Канчипурам (округ)
કન્યાકુમારી જિલ્લો	Каньякумари (округ)
મુછ	Усы
સોવિયેત યુનિયન	Союз Советских Социалистических Республик
કરુર જિલ્લો	Карур (округ)
કૃષ્ણાગિરિ જિલ્લો	Кришнагири (округ)
મદુરાઇ જિલ્લો	Мадурай (округ)
રામનાથપુરમ જિલ્લો	Раманатхапурам (округ)
સેલમ જિલ્લો	Салем (округ)
થંજાવુર જિલ્લો	Танджавур (округ)
શિવગંગાઇ જિલ્લો	Шиваганга (округ)
થેની જિલ્લો	Тхени (округ)
તિરુવરુર જિલ્લો	Тируварур (округ)
તિરુનેલવેલી જિલ્લો	Тирунелвели (округ)
તિરુવલ્લુર જિલ્લો	Тируваллур (округ)
વિલુપ્પુરમ જિલ્લો	Виллупурам (округ)
વેલ્લોર જિલ્લો	Веллуру (округ)
તિરુવનામલઇ જિલ્લો	Тируваннамалай (округ)
વિરુધુનગર જિલ્લો	Вирудунагар (округ)
અદિલાબાદ જિલ્લો	Адилабад (округ)
અનંતપુર જિલ્લો	Анантапур (округ)
ચિત્તૂર જિલ્લો	Читтур (округ)
જળાશય	Водоём
મદ્યપાન	Алкоголизм
પૂર્વ ગોદાવરી જિલ્લો	Восточный Годавари
હૈદરાબાદ જિલ્લો	Хайдарабад (округ, Индия)
ખમ્મમ જિલ્લો	Кхаммам (округ)
મહેબૂબનગર જિલ્લો	Махбубнагар (округ)
કુર્નૂલ	Карнул (округ)
કૃષ્ણા જિલ્લો	Кришна (округ)
નેલ્લોર જિલ્લો	Неллор (округ)
મેદક જિલ્લો	Медак (округ)
રંગારેડ્ડી જિલ્લો	Рангаредди (округ)
પ્રકાસમ જિલ્લો	Пракасам
નિઝામાબાદ જિલ્લો	Низамабад (округ)
વિજયનગર જિલ્લો	Визианагарам (округ)
વિશાખાપટનમ જિલ્લો	Вишакхапатнам (округ)
શ્રીકાકુલમ જિલ્લો	Шрикакулам (округ)
વારંગલ જિલ્લો	Варангал (округ)
પશ્ચિમ ગોદાવરી જિલ્લો	Западный Годавари
અંજા જિલ્લો	Анджав
ચેંગલોન્ગ જિલ્લો	Чангланг (округ)
પપુમપારે જિલ્લો	Папум-Паре
લોહિત જિલ્લો	Лухит (округ)
ઉપરી દિબાંગ ઘાટી જિલ્લો	Верхняя долина Дибанг
તિરપ જિલ્લો	Тирап (округ)
તવાંગ જિલ્લો	Таванг (округ)
ઉપરી સુબનસિરી જિલ્લો	Верхний Субансири
ઉપરી સિયાંગ જિલ્લો	Верхний Сианг
C (પ્રોગ્રામિંગ ભાષા)	Си (язык программирования)
બ્રુસ લી	Ли, Брюс
વીલેન	VLAN
વિકિપીડિયા:ચોતરો	Википедия:Форум
કમળ	Лотос орехоносный
વર્મોન્ટ	Вермонт
સેન જોસ, કેલિફોર્નિયા	Сан-Хосе (Калифорния)
હ્યુસ્ટન	Хьюстон
હોસ્પિટલ	Больница
ઘડિયાલ	Гангский гавиал
વિમાનવાહક જહાજ	Авианосец
મોબાઇલ ફોન	Сотовый телефон
શેફિલ્ડ ફૂટબોલ ક્લબ	Шеффилд (футбольный клуб)
માન્ચેસ્ટર યુનાઇટેડ ફૂટબોલ ક્લબ	Манчестер Юнайтед
સ્વાનસી સિટી એસોસિયેશન ફૂટબોલ ક્લબ	Суонси Сити
કાર્ડિફ સિટી ફૂટબૉલ ક્લબ	Кардифф Сити
એસ્ટોન વિલા ફૂટબોલ ક્લબ	Астон Вилла
ન્યૂકેસલ યુનાઇટેડ ફૂટબોલ ક્લબ	Ньюкасл Юнайтед
ક્વીન્સ પાર્ક રેન્જર્સ ફૂટબોલ ક્લબ	Куинз Парк Рейнджерс
સાઉધમ્પ્ટન ફૂટબોલ ક્લબ	Саутгемптон (футбольный клуб)
સ્ટોક સિટી ફૂટબોલ ક્લબ	Сток Сити
સન્ડરલેન્ડ એસોસિયેશન ફૂટબોલ ક્લબ	Сандерленд (футбольный клуб)
ટોટનમ હોટ્સ્પર ફૂટબોલ ક્લબ	Тоттенхэм Хотспур
વેસ્ટ બ્રોમવિચ એલ્બિયન ફૂટબોલ ક્લબ	Вест Бромвич Альбион
વિગાન એથલેટિક ફૂટબૉલ ક્લબ	Уиган Атлетик
તાડ બિલાડી	Мусанг
બગલો	Цаплевые
વૈશ્વિક સ્થળનિર્ધારણ પ્રણાલી	GPS
સ્ક્રિલ્લેક્સ	Скриллекс
હોટલ તાજ મહેલ પેલેસ	Taj Mahal Palace & Tower
વિંછી (પ્રાણી)	Скорпионы
ફિફા વિશ્વ કપ	Чемпионат мира по футболу
બર્મિંગહામ સિટી ફૂટબૉલ ક્લબ	Бирмингем Сити
બ્લેકબર્ન રોવર્સ ફૂટબૉલ ક્લબ	Блэкберн Роверс
બર્નલી ફૂટબોલ ક્લબ	Бернли (футбольный клуб)
ક્રિસ્ટલ પેલેસ ફૂટબોલ ક્લબ	Кристал Пэлас (футбольный клуб)
ડર્બી કાઉન્ટી ફૂટબૉલ ક્લબ	Дерби Каунти
હલ સિટી એસોસિયેશન ફૂટબોલ ક્લબ	Халл Сити
લેસ્ટર સિટી ફૂટબૉલ ક્લબ	Лестер Сити
નોટિંગહામ ફોરેસ્ટ ફૂટબૉલ ક્લબ	Ноттингем Форест
શેફિલ્ડ વેડન્ઝડે ફૂટબૉલ ક્લબ	Шеффилд Уэнсдей
વોલ્વરહેમ્પ્ટન વેન્ડરર્સ ફૂટબૉલ ક્લબ	Вулверхэмптон Уондерерс
વેબ શોધ એન્જીન	Поисковая машина
આલ્ક્લાઇન પાર્થિવ ધાતુ	Щёлочноземельные металлы
કોલા હોલ	Кольская сверхглубокая скважина
અર્ધધાતુ	Полуметаллы
પબ્લિક ડોમેન	Общественное достояние
પ્યૂએર્ટો રિકન ઈન્ડીપેન્ડન્સ પાર્ટી	Партия независимости Пуэрто-Рико
થેમ્સ	Темза
આર્યભટ્ટ (ઉપગ્રહ)	Ариабхата (спутник)
નાતાલ	Рождество Христово
લિપ વર્ષ	Високосный год
લેડી ગાગા	Леди Гага
વાઘ	Тигр
સેમસંગ	Samsung
બીગલ	Бигль
કુર્કુટાકાર	Курообразные
ડુબકી કુટુંબ	Поганковые
ઑડિશા	Орисса
GFDL	GNU FDL
પંજાબ, ભારત	Пенджаб (Индия)
અક્ષાંશ-રેખાંશ	Географические координаты
યુઇએફએ યૂરો ૨૦૧૨	Чемпионат Европы по футболу 2012
બેંક	Банк
આયરલેંડનું ગણતંત્ર	Ирландия (остров)
અઠવાડિયું	Неделя
હરણ	Оленевые
લસણ	Чеснок
કાકડી	Огурец обыкновенный
કાળો	Чёрный цвет
ડુંગળી	Лук репчатый
નાસા	НАСА
એટલાન્ટા, જ્યોર્જિયા	Атланта
વેલિંગ્ટન	Веллингтон
૧૦ (અંક)	10 (число)
પરમાણુ ક્રમાંક	Зарядовое число
માનવ શરીર	Человеческое тело
ચિત્તો	Гепард
કસ્તુરી	Чёрный дрозд
વટાણા (વનસ્પતિ)	Горох посевной
કબુત	Серая цапля
ખજૂર	Финик пальчатый
વંદો	Таракановые
મૃદુકાય સમુદાય	Моллюски
માછીમાર	Скопа
શેવાળ	Мхи
તારા માછલી	Морские звёзды
સફેદ ઢોંક	Белый аист
બાજ (પક્ષી)	Ястреб-тетеревятник
દસાડી	Лысуха
આગિયો	Светляки
નાની ડુબકી	Малая поганка
ચોટીલી ડુબકી	Большая поганка
જળ કાગડો	Большой баклан
સીંગપર (બતક)	Шилохвость
વિલાયતી પટ્ટાઇ	Полевой лунь
અબલખ	Кулик-сорока
થ્રશ કુટુંબ	Дроздовые
પાન પટ્ટાઇ	Болотный лунь
કલવેતીયો	Хохлатая чернеть
જ્યોર્જીયા (દેશ)નો રાષ્ટ્રધ્વજ	Флаг Грузии
શોબિગી	Чернокрылая йора
ઉપગ્રહ પ્રક્ષેપણ યાન	Искусственный спутник Земли
યાક	Як
પટ્ટી પટ્ટાઇ	Луговой лунь
હમ્પી	Хампи
લવિંગ	Гвоздичное дерево
કાચબરંગી	Камнешарка
લક્ષદ્વીપ	Лакшадвип
અશેળિયો	Кресс-салат
કપાસી	Чернокрылый дымчатый коршун
એસી/ડીસી	AC/DC
ક્રિસ્ટાડેલ્ફિઅન્સની	Христадельфиане
કાલિકોટ જિલ્લો, નેપાળ	Каликот (район)
કૈલાલી જિલ્લો, નેપાળ	Кайлали (район)
તજ	Корица (пряность)
અમ્હારિક ભાષા	Амхарский язык
ચામાચિડિયું	Рукокрылые
અછામ જિલ્લો, નેપાળ	Ачхам (район)
નુવાકોટ જિલ્લો, નેપાળ	Нувакот (район)
અર્ઘખાંચી જિલ્લો, નેપાળ	Аргхакханчи (район)
મનાંગ જિલ્લો, નેપાળ	Мананг (район Непала)
કાસ્કી જિલ્લો, નેપાળ	Каски (район)
રુપનડેહી જિલ્લો, નેપાળ	Рупандехи (район)
પાલપા જિલ્લો, નેપાળ	Палпа (район)
દૈલેખ જિલ્લો, નેપાળ	Дайлекх (район)
સિંધુપાલચોક જિલ્લો, નેપાળ	Синдхупалчок (район)
તનહઊ જિલ્લો, નેપાળ	Танаху (район)
બાંકે જિલ્લો, નેપાળ	Банке (район)
સ્યાંગજા જિલ્લો, નેપાળ	Сьянгджа (район)
ભક્તપુર જિલ્લો, નેપાળ	Бхактапур (район)
ધાદિંગ જિલ્લો, નેપાળ	Дхадинг (район)
બરદિયા જિલ્લો, નેપાળ	Бардия (район)
વાળ	Волосы
ગોરખા જિલ્લો, નેપાળ	Горкха (район)
કાર્વેપાલનચોક જિલ્લો, નેપાળ	Каврепаланчок (район)
સલ્યાન જિલ્લો, નેપાળ	Сальян (район)
ગુલ્મી જિલ્લો, નેપાળ	Гулми (район)
કપિલવસ્તુ જિલ્લો, નેપાળ	Капилвасту (район)
નવલપરાસી જિલ્લો, નેપાળ	Навалпараси (район)
સુરખેત જિલ્લો, નેપાળ	Суркхет (район)
મુગુ જિલ્લો, નેપાળ	Мугу (район)
રોલ્પા જિલ્લો, નેપાળ	Ролпа (район)
રસુવા જિલ્લો, નેપાળ	Расува (район)
રુકુમ જિલ્લો, નેપાળ	Рукум (район)
જુમલા જિલ્લો, નેપાળ	Джумла (район)
હુમલા જિલ્લો, નેપાળ	Хумла (район)
કોળિક્કોટ્	Кожикоде
પાયથોન(પ્રોગ્રામિંગ ભાષા)	Python
ઇસ્લામીક પંચાંગ	Исламский календарь
ચકલી	Воробьиные
કંચનપુર જિલ્લો, નેપાળ	Канчанпур (район)
ભવભૂતિ	Бхавабхути
લામજુંગ જિલ્લો, નેપાળ	Ламджунг
આસામીઝ ભાષા	Ассамский язык
જાજરકોટ જિલ્લો, નેપાળ	Джаяркот (район)
અવધી ભાષા	Авадхи
મધર ટેરેસા	Мать Тереза
કડપ્પા	Кадапа
પૂર્વ તિમોરનો રાષ્ટ્રધ્વજ	Флаг Восточного Тимора
જાલના	Джална
હેણોતરો	Каракал
બ્લૉગ	Блог
જલગાંવ	Джалгаон
ડેન્ગ્યુ	Лихорадка денге
ક્રિસમસ દ્વીપ	Остров Рождества (Австралия)
મોવેમ્બર	Movember
લોફ્ટસ રોડ સ્ટેડિયમ	Лофтус Роуд
હાથોર્ન્સ	Хоторнс
રાજાસોરસ	Раджазавр
સ્ટેડિયમ ઓફ લાઈટ	Стэдиум оф Лайт
મેષ રાશી	Овен (знак зодиака)
વર્જિન એટલાંટિક	Virgin Atlantic Airways
અમેરિકન એરલાઇન્સ	American Airlines
વૅલેન્શિયન	Валенсийский диалект
ડોગરી ભાષા	Догри
મલાલા યુસુફઝઈ	Юсуфзай, Малала
છત્તીસગઢી ભાષા	Чхаттисгархи
આર્મેનિયાનો રાષ્ટ્રધ્વજ	Флаг Армении
બોડો ભાષા	Бодо (язык)
ભોજપુરી ભાષા	Бходжпури
મુઘલ યુગ	Империя Великих Моголов
સિકર	Сикар (город)
હરીયાણવી ભાષા	Хариани
ઇલાયચી	Кардамон
કુમાઉની ભાષા	Кумаони (язык)
કાશ્મીરી ભાષા	Кашмирский язык
સિમા ગુઆંગ	Сыма Гуан
ધ્રુવીય રીંછ	Белый медведь
કન્નડ ભાષા	Каннада
મગહી ભાષા	Магахи
હાથ	Кисть (анатомия)
ઓડિઆ ભાષા	Ория (язык)
નેપાળી ભાષા	Непальский язык
વસ્તી	Население
મણિપુરી ભાષા	Манипури (язык)
અસાઈ તાડ	Асаи
સંથાલી ભાષા	Сантали
નેપાલ ભાષા	Неварский язык
સિંધી ભાષા	Синдхи (язык)
કાજુ	Кешью
ધોધ	Водопад
માખણ	Сливочное масло
પાબ્લો નેરુદા	Пабло Неруда
કોંકણી ભાષા	Конкани (язык)
એલેક્ઝાન્ડર ગ્રેહામ બેલ	Белл, Александр Грейам
જ્યોતિષવિદ્યા	Астрология
સંગીત વાદ્ય	Музыкальные инструменты
હંસ	Лебеди
બેનઝિર ભુટ્ટો	Бхутто, Беназир
ઓક્સફોર્ડ યુનિવર્સિટી	Оксфордский университет
માર્ગ	Дорога
હેલિકોપ્ટર	Вертолёт
હિપોપોટેમસ	Обыкновенный бегемот
આંગળી	Палец
ગુલાબ	Шиповник
દિપડો	Леопард
સાલ્ઝબર્ગ	Зальцбург
ગ્રીસની પૌરાણિક માન્યતાઓ	Древнегреческая мифология
હોકાયંત્ર	Компас
ક્ષ-કિરણો	Рентгеновское излучение
પપૈયાં	Папайя
વ્રજ ભાષા	Брадж (язык)
વિશ્વ કુસ્તી મનોરંજન	WWE
ટીટીકાકા સરોવર	Титикака
કોલંબો	Коломбо
મદીના	Медина
રેસલમેનિયા	Рестлмания
કેમ્બ્રિજ વિશ્વવિદ્યાલય	Кембриджский университет
જરથુષ્ટ્ર	Заратустра
રાઈટ બંધુઓ	Братья Райт
હેક્ટર	Гектар
બાપ્તિસ્મા (બૅપ્ટિઝમ)	Крещение
ફુગાવો	Инфляция
અરાલ સમુદ્ર	Аральское море
લામ્બોરગીની	Lamborghini
લેન્ડ રોવર	Land Rover
વાંસ	Bambuseae
સૌંદર્ય શાસ્ત્ર	Эстетика
કોકોસ (કીલીંગ) દ્વીપ	Кокосовые острова
પિસ્તા	Фисташка настоящая
ક્વીન્સલેન્ડ	Квинсленд
મિનેપોલિસ	Миннеаполис
મૈથિલી ભાષા	Майтхили
અંજીર	Инжир
મિઝો ભાષા	Мизо (язык)
માર્ક ઝકરબર્ગ	Цукерберг, Марк
મલયાલમ ભાષા	Малаялам
જીવનચરિત્ર	Биография
રેશમ માર્ગ	Великий шёлковый путь
તાઈકવૉન્દો	Тхэквондо
ઉંદર	Крысы
દ્વિપદ નામકરણ	Биноминальная номенклатура
પાલિ ભાષા	Пали
રોબર્ટ પેટિસન	Паттинсон, Роберт
મુંગેર	Мунгер
સ્વાઇન ફ્લ્યુ	Свиной грипп
નખ	Ногти
મધુબાલા	Мадхубала
ઓઝોન	Озон
જાહેરાત	Реклама
સ્વતંત્રતા	Независимость
એલેક્ઝાન્ડર ફ્લેમિંગ	Флеминг, Александр
સોલોમન	Соломон
યાહૂ!	Yahoo!
ફેબ્રુઆરી ૩૦	30 февраля
ઓકલેન્ડ	Окленд (Новая Зеландия)
ગુલબર્ગ	Гулбарга
એ કે-૪૭	Автомат Калашникова
મિથેન	Метан
મરિઉપોલ	Мариуполь
ગીઝાનો મહાન પિરામિડ	Пирамида Хеопса
સિંધ	Синд
વર્તુળનો વ્યાસ	Диаметр
શિક્ષક	Учитель
ગો (પ્રોગ્રામિંગ ભાષા)	Go
સેન્ટ્રલ ઇન્ટેલિજન્સ એજન્સી	Центральное разведывательное управление
રામાયણ	Рамаяна
અક્રોતીરી અને ધેકેલીયા	Акротири и Декелия
મગફળી	Арахис культурный
ધુમ્મસ	Туман
બહુકોણ	Многоугольник
વેલેન્ટાઇન્સ ડે	День святого Валентина
ગલ્ફ વોર	Война в Персидском заливе
રેશમ	Шёлк
મિશ્રધાતુ	Сплав
નિવસન તંત્ર	Экосистема
રેફ્રિજરેટર	Холодильник
ટપાલ ટિકિટ	Почтовая марка
શક્કરીયાં	Батат
કાર્ટેન (Kärnten)	Каринтия
સમુરાઇ	Самурай
આશા ભોંસલે	Бхосле, Аша
કોલંબિયા, દક્ષિણ કેરોલિના	Колумбия (Южная Каролина)
દેવનાગરી	Деванагари
તરબૂચ	Арбуз обыкновенный
પવનચક્કી	Ветряная мельница
રિકટર મેગ્નીટયુડ સ્કેલ	Магнитуда землетрясения
લેસર	Лазер
તાવ	Лихорадка
આંતરરાષ્ટ્રીય મહિલા દિન	Международный женский день
વોરાર્લબર્ગ	Форарльберг
પીઝાનો ઢળતો મિનારો	Пизанская башня
સૂક્ષ્મ અર્થશાસ્ત્ર	Микроэкономика
લીડ્ઝ	Лидс
હડકવા	Бешенство
કીટ વિજ્ઞાન	Энтомология
અતિવાસ્તવવાદ	Сюрреализм
દીવાદાંડી	Маяк
માર્કેટિંગ	Маркетинг
સ્ટીફન કિંગ	Кинг, Стивен
દાયકો	Десятилетие
બદામ	Миндаль
વેદ	Веды
સિલ્વેસ્ટર સ્ટેલોન	Сталлоне, Сильвестр
મેરેથોન	Марафон
ગુડફ્રાઈડે	Великая пятница
રાશી	Зодиак
ટેક્લોબેન	Таклобан
યોહાન	Иоанн Креститель
ઝેર	Яд
અતિસાર	Диарея
અંદામાન અને નિકોબાર દ્વીપસમૂહ	Андаманские и Никобарские острова
પંડિત રામ નારાયણ	Нараян, Рам
ઇટાનગર	Итанагар
રશિયાનાં ગણતંત્રો	Республика (Россия)
બારપેટા જિલ્લો	Барпета (округ)
વેગમાન સંરક્ષણનો નિયમ	Импульс
નાઈટ્સ ટેમ્પ્લર	Тамплиеры
તરંગલંબાઇ	Длина волны
તંજાવુર	Танджавур
સ્ટેનફોર્ડ યુનિવર્સિટી	Стэнфордский университет
ફ્રેન્ક લેમ્પાર્ડ	Лэмпард, Фрэнк
ગાંધીધામ	Гандхидхам
કોથમીર	Кориандр
મનોવિષ્લેષણ	Психоанализ
રમઝાન	Рамадан
ભારતનો રાષ્ટ્રધ્વજ	Флаг Индии
વંશીય જૂથ	Этническая группа
વાર	Дни недели
ચિત્તોડગઢ	Читторгарх
ઈમાન	Шахада
એડનની ખાડી	Аденский залив
મનમોહન સિંહ	Сингх, Манмохан
રાતો પાંડા	Малая панда
ભિલવાડા જિલ્લો	Бхилвара (округ)
સુરખાબ	Фламинго
સાર્વભૌમત્વ	Суверенитет
બકિંગહામ પેલેસ	Букингемский дворец
બોંગાઇગાંવ જિલ્લો	Бонгайгаон (округ)
કછર જિલ્લો	Качар (округ)
યુનિફોર્મ રિસોર્સ લોકેટર	URL
ગૂગલ અર્થ	Google Планета Земля
ફાઇલ ટ્રાન્સ્ફર પ્રોટોકોલ	FTP
અંતરનું વિશ્લેષણ	Дисперсионный анализ
ઊન	Шерсть (материал)
પીડીએફ	Portable Document Format
નિહારિકા	Туманность
યુનિવર્સલ સીરિયલ બસ	USB
તાલિબાન	Талибан
દારાંગ જિલ્લો	Дарранг
ધેમાજી જિલ્લો	Дхемаджи (округ)
પર્લ	Perl
ઈંધણ (બળતણ)	Топливо
હૈલાકાંડી જિલ્લો	Хайлаканди (округ)
ગોલાઘાટ જિલ્લો	Голагхат (округ)
ગોલપારા જિલ્લો	Гоалпара (округ)
કરીમગંજ જિલ્લો	Каримгандж (округ)
કાર્બી ઓન્ગલોન્ગ જિલ્લો	Карби-Англонг
હળદર	Куркума длинная
રણ બિલાડી	Степной кот
એમપીથ્રી	MP3
કોકરાઝાર જિલ્લો	Кокраджхар (округ)
જંગલી બિલાડી	Камышовый кот
ચક્તાવાળી બિલાડી	Бенгальская кошка
