Āfrika	Африка
ICAO valstu un teritoriju kodi	Код аэропорта ИКАО
Alfrēds Tarskis	Тарский, Альфред
Rolands	Роланд
1974. gada Eirovīzijas dziesmu konkurss	Конкурс песни Евровидение 1974
Infarkts	Инфаркт
Harpūna	Гарпун
Routing Information Protocol	RIP (сетевой протокол)
No šejienes līdz bezgalībai	Отныне и во веки веков (фильм)
Veidotājaudi	Меристемы
Spānijas Futbola federācija	Королевская испанская футбольная федерация
Aržantāna	Аржантан
Letzigrund stadions	Летцигрунд
Visentes Kalderona stadions	Висенте Кальдерон (стадион)
Happy Tree Friends	Happy Tree Friends
Skaņdarbs	Композиция (музыка)
Katas koks	Кат
Siphive Čabalala	Чабалала, Сипиве
Autodidakts	Самоучка
Kalnu slēpošana 2010. gada Ziemas Olimpiskajās spēlēs	Горнолыжный спорт на зимних Олимпийских играх 2010
Braiens Klofs	Клаф, Брайан
Zvaigžņu basketbols	Космический джем
A Saucerful of Secrets	A Saucerful of Secrets
Boy	Boy (альбом)
Deniss Rommedāls	Роммедаль, Деннис
Viljams Vilberforss	Уилберфорс, Уильям
Frenks Millers	Миллер, Фрэнк
Kazbeks	Казбек
Sergejs Kirovs	Киров, Сергей Миронович
Jambs	Ямб
Oleīnskābe	Олеиновая кислота
Pojanhu	Поянху
Zeļenograda	Зеленоград
An-2	Ан-2
Eurythmics	Eurythmics
Marks Kevendišs	Кавендиш, Марк
Ruslans Ponomarjovs	Пономарёв, Руслан Олегович
Pauls Keress	Керес, Пауль Петрович
2011. gada Copa America	Кубок Америки по футболу 2011
Versts	Верста
Renault FT-17	Рено FT-17
Sentluisas "Blues"	Сент-Луис Блюз
Ustjordinskas Burjatu autonomais apvidus	Усть-Ордынский Бурятский автономный округ
Aleksejs Brusilovs	Брусилов, Алексей Алексеевич
Kerola Lombarda	Кэрол Ломбард
EUTELSAT 21B	Eutelsat 21B
Bena 10	Бен-10
Sillamē	Силламяэ
Hivinkē	Хювинкяа
Emīls Friāns	Фриан, Эмиль
Balti	Балты
Biatlons 2010. gada Ziemas Olimpiskajās spēlēs	Биатлон на зимних Олимпийских играх 2010
Zāliens	Газон
Vētrasputnu dzimta	Буревестниковые
Spekulatīvais burbulis	Экономический пузырь
Seksuālais fetišisms	Сексуальный фетишизм
Lijas	Луни
Nozieguma skelets	Кости (телесериал)
2007. gada Bērnu Eirovīzijas dziesmu konkurss	Детский конкурс песни Евровидение 2007
2011. gada Bērnu Eirovīzijas dziesmu konkurss	Детский конкурс песни Евровидение 2011
E numurs	Список пищевых добавок E1000 — E1999
SGML	SGML
Austrālijas pilsētu uzskaitījums	Города Австралии
Rata lira	Колёсная лира
Vargs Vikerness	Викернес, Варг
Gada cilvēks (Time)	Человек года (Time)
Kents Nilsons	Нильссон, Кент
Ambliopija	Амблиопия
Fleksija (valodniecība)	Словоизменение
Epitets	Эпитет
Rekviēms (Mocarts)	Реквием (Моцарт)
Fosfīns	Фосфин
Jehvi (stacija)	Йыхви (станция)
S/2003 J 18	S/2003 J 18
Publiskās tiesības	Публичное право
MM	Мм (значения)
Nere	Вилия (река)
Mongoloīdā rase	Монголоидная раса
OS	OS (значения)
LI	Li (значения)
Oksisviestskābe	Гамма-оксимасляная кислота
Mūspella	Муспельхейм
Gauja	Гауя
Owl City	Owl City
Warcraft III: Reign of Chaos	Warcraft III: Reign of Chaos
Omars Bredlijs	Брэдли, Омар
Forma	Форма предмета
Melnā pantera	Чёрная пантера
Ciparu cietoksnis	Цифровая крепость
Meksikāņu virtuve	Мексиканская кухня
Token Ring	Token ring
Našvilas "Predators"	Нэшвилл Предаторз
Turandota	Турандот (опера)
Kosi	Коса (народ)
Sleipnirs	Слейпнир
Austrumu partnerība	Восточное партнёрство
Police	Полице
Toms Hārdijs	Харди, Том
AI	AI
PA	Па
Enon	Enon
Mūžzaļā miltene	Толокнянка обыкновенная
Biznesa plāns	Бизнес-планирование
Lineārās regresijas analīze	Регрессионный анализ
Laperūza šaurums	Пролив Лаперуза
Krāmera papagailis	Индийский кольчатый попугай
Tīkla slānis	Протоколы сетевого уровня
Eiropas kāmis	Обыкновенный хомяк
Svītrainais šakālis	Полосатый шакал
Džozefs Hellers	Хеллер, Джозеф
Šavi Alonso	Алонсо, Хаби
Noķer mani, ja vari	Поймай меня, если сможешь
Banska Štjavnica	Банска-Штьявница
Latgale	Латгалия
Bella Torna	Торн, Белла
Psilocibīns	Псилоцибин
Klājs	Палуба
Basketbols Olimpiskajās spēlēs	Баскетбол на Олимпийских играх
Āfrikas savvaļas ēzelis	Дикий осёл
Neiroleptiskie līdzekļi	Антипсихотические препараты
Deltaplāns	Дельтаплан
Sociālistiskā Darba Varonis	Герой Социалистического Труда
Barbarosa	Барбаросса
Bolsēnas ezers	Больсена (озеро)
Triecienlidmašīna	Штурмовик
Britney	Britney (альбом)
Literatūrzinātne	Литературоведение
Ielāps (programmatūra)	Патч
HTTP 404	HTTP 404
Pitagora trijnieks	Пифагорова тройка
The Final Cut	The Final Cut
Vasiļs Ivančuks	Иванчук, Василий Михайлович
Deep Impact	Дип Импакт
Brodvejas tornis	Бродвейская башня
Eiropas Tautas partija	Европейская народная партия
Zaļā jūdze	Зелёная миля (фильм)
Komandora salas	Командорские острова
Paceplīšu dzimta	Крапивниковые
Kamčatkas apgabals	Камчатская область
Platknābja pūslītis	Плосконосый плавунчик
Hefrena piramīda	Пирамида Хефрена
Ksilols	Ксилолы
Bosna	Босна (река)
Džonsona kosmosa centrs	Космический центр имени Линдона Джонсона
Sieviešu apgraizīšana	Женское обрезание
2010. gada FIFA Pasaules kauss — Izslēgšanas turnīrs	Чемпионат мира по футболу 2010. Плей-офф
Snelliusa likums	Закон Снеллиуса
Atomic Kitten	Atomic Kitten
Karaīti	Караимизм
2010. gada FIFA Pasaules kausa fināls	Финал чемпионата мира по футболу 2010
Pasaules rekordi vieglatlētikā	Список мировых рекордов в лёгкой атлетике
Sankiloti	Санкюлоты
Mērija Keita un Ešlija Olsenas	Олсен, Мэри-Кейт и Эшли
Immortal	Immortal
2007. gada Pasaules čempionāts vieglatlētikā	Чемпионат мира по лёгкой атлетике 2007
Sotiris Kirjaks	Кириакос, Сотириос
1984 (nozīmju atdalīšana)	1984 (значения)
Augusts De Morgans	Морган, Огастес де
Kalcija hlorīds	Хлорид кальция
Tomass Beiess	Байес, Томас
Abaks (arhitektūra)	Абака (архитектура)
1984 (romāns)	1984 (роман)
SliTaz	SliTaz
Buferšķīdums	Буферный раствор
Šarlēna	Шарлен, княгиня Монако
Šūnu receptors	Клеточный рецептор
Kritiskā masa	Критическая масса
Pšemisla	Пшемысль
Orbītas ekscentricitāte	Эксцентриситет орбиты
Telpas leņķis	Телесный угол
Gārša	Первобытный лес
Libānas pilsoņu karš	Гражданская война в Ливане
Zeltainais lauvpērtiķis	Золотистая игрунка
Industriālais metāls	Индастриал-метал
Sognefjords	Согне-фьорд
Umaņa	Умань
Vagons	Вагон
The Chemical Brothers	The Chemical Brothers
Fernando Gonsaless	Гонсалес, Фернандо
Olimpisko medaļu skaits pēc valsts	Общий медальный зачёт Олимпийских игр
The Division Bell	The Division Bell
Bivrests	Биврёст
Jaunais Taivānas dolārs	Новый тайваньский доллар
AL	AL (значения)
Cezars Kiī	Кюи, Цезарь Антонович
Volkswagen Touareg	Volkswagen Touareg
Drotningholmas pils	Дроттнингхольм
Marfāna sindroms	Синдром Марфана
Visi mīl Reimondu	Все любят Рэймонда
Nartekss	Притвор
Entoprokti	Внутрипорошицевые
Akira Torijama	Торияма, Акира
Ekrānuzņēmums	Снимок экрана
Orša	Орша
Krietnais kareivis Šveiks	Похождения бравого солдата Швейка
Rejs Allens	Аллен, Рэй
ARA	ARA
Kanādas futbola izlase	Сборная Канады по футболу
Reise, Reise	Reise, Reise
Malajas arhipelāgs	Малайский архипелаг
Precējies. Ir bērni	Женаты… с детьми
Gludenā čūska	Обыкновенная медянка
Pols Džamati	Джаматти, Пол
Dalasas "Stars"	Даллас Старз
Riteņbraukšana 2012. gada Vasaras Olimpiskajās spēlēs	Велоспорт на летних Олимпийских играх 2012
Stellans Skašgords	Скарсгорд, Стеллан
2011. gada Pasaules čempionāts vieglatlētikā	Чемпионат мира по лёгкой атлетике 2011
Music of the Sun	Music of the Sun
Havjers Sotomajors	Сотомайор, Хавьер
Stipe Pletikosa	Плетикоса, Стипе
Nuga	Нуга
Soluna Samaja	Самай, Солуна
GP2	GP2
Prjevidza	Прьевидза
Labiodentāls līdzskanis	Губно-зубные согласные
Galminieces (glezna)	Менины
The Stooges	The Stooges
Briežvaboļu dzimta	Рогачи
Ornets Kolmens	Коулман, Орнетт
Panatinaiko stadions	Панатинаикос (стадион)
1999 (nozīmju atdalīšana)	1999 (значения)
Žifa pie Ivetas	Жиф-сюр-Иветт
Parlophone	Parlophone
Lomonda ezers	Лох-Ломонд
Iruāza jūra	Море Ируаз
Viktorijas Zeme	Земля Виктории
Mariner 2	Маринер-2
Nikolajs Rērihs	Рерих, Николай Константинович
Nikolajs Ļeskovs	Лесков, Николай Семёнович
Ford Focus	Ford Focus
Narva (upe)	Нарва (река)
Jans Brēgels Vecākais	Брейгель, Ян (старший)
Grieķijas Karaliste	Королевство Греция
Eiropas kurmis	Европейский крот
Volejbols 2012. gada Vasaras Olimpiskajās spēlēs	Волейбол на летних Олимпийских играх 2012
Rokasbumba 2012. gada Vasaras Olimpiskajās spēlēs	Гандбол на летних Олимпийских играх 2012
Postroks	Пост-рок
Loka šaušana 2012. gada Vasaras Olimpiskajās spēlēs	Стрельба из лука на летних Олимпийских играх 2012
Viljams Penns	Пенн, Уильям
Ferdinands de Lesepss	Лессепс, Фердинанд де
Kima Ketrola	Кэттролл, Ким
Gulbenes novads	Гулбенский край
Darja Domračeva	Домрачева, Дарья Владимировна
Vācijas pilsētu uzskaitījums	Города Германии
Siltuma daudzums	Тепловая энергия
Baloži	Голуби
Mozambikas ģerbonis	Эмблема Мозамбика
Tūrs Hūshovds	Хушовд, Тор
Apencelle	Аппенцелль (город)
Krievu—turku karš (1806—1812)	Русско-турецкая война (1806—1812)
Vecupe	Старица (русло)
Tramplīnlēkšana 2010. gada Ziemas Olimpiskajās spēlēs	Прыжки с трамплина на зимних Олимпийских играх 2010
Meteoroloģiskais pavadonis	Метеорологический спутник
Hodžkina limfoma	Лимфогранулематоз
Transporta slānis	Транспортный уровень
Ankaras kauja	Ангорская битва
Džekija Džoinere-Kersija	Джойнер-Керси, Джекки
Meriona Džonsa	Джонс-Томпсон, Марион
2 eiro piemiņas monētas	Памятные монеты 2 евро
Kodolu magnētiskā rezonanse	Ядерный магнитный резонанс
Volisa Simpsone	Симпсон, Уоллис
Risto Riti	Рюти, Ристо
Rišārs Gaskē	Гаске, Ришар
Daniels Vestlings	Даниэль, герцог Вестергётландский
Feniletilspirts	Фенилэтиловый спирт
Pundurpele	Мышь-малютка
Veins Greckis	Гретцки, Уэйн
Ekvatoriālā josla	Экваториальный климат
Viltusdmitrijs I	Лжедмитрий I
Dzelzs vīrs 3	Железный человек 3
Led Zeppelin II	Led Zeppelin II
Analītiska valoda	Аналитические языки
Batasuna	Батасуна
Aleksandrs Dimā	Дюма, Александр
Ordenis	Орден (значения)
Fluorūdeņražskābe	Плавиковая кислота
Kuplastes klinšu valabijs	Кистехвостый скальный валлаби
Fransisko de Surbarans	Сурбаран, Франсиско де
OFK Beograd	ОФК (футбольный клуб)
Herschel Space Observatory	Гершель (космическая обсерватория)
Ūdenspolo 2012. gada Vasaras Olimpiskajās spēlēs	Водное поло на летних Олимпийских играх 2012
Čikāgas "Blackhawks"	Чикаго Блэкхокс
Abbey Road Studios	Эбби-Роуд (студия)
Latvijas vēsture	История Латвии
Lūsīla Bola	Болл, Люсиль
Delta funkcija	Дельта-функция
Sūtra	Сутра
Kategoriskais imperatīvs	Категорический императив
Stearīnskābe	Стеариновая кислота
HK USP	HK USP
Palmitīnskābe	Пальмитиновая кислота
Hroniskā noguruma sindroms	Синдром хронической усталости
Kuģa stūre	Судовой руль
Rongorongo	Ронго-ронго
Atraugas	Отрыжка
Das Schwarze Korps	Das Schwarze Korps
Mutvārdu tradīcija	Устная традиция
Parīzes universitāte	Парижский университет
1984. gada Eirovīzijas dziesmu konkurss	Конкурс песни Евровидение 1984
Markomani	Маркоманы
Binomiālkoeficients	Биномиальный коэффициент
Rosa sala	Остров Росса
Juka Jalonens	Ялонен, Юкка
Džūljuss Īrvings	Ирвинг, Джулиус
Bjala Podlaska	Бяла-Подляска
Jevgēņijs Dadonovs	Дадонов, Евгений Анатольевич
Filhnera šelfa ledājs	Шельфовый ледник Фильхнера
Spānijas basketbola izlase	Мужская сборная Испании по баскетболу
Dražens Petrovičs	Петрович, Дражен
Alyosha	Alyosha
Baltkrievijas pilsētu uzskaitījums	Города Белоруссии
Janko Tipsarevičs	Типсаревич, Янко
Fobos-Grunt	Фобос-Грунт
Innuendo	Innuendo
Nīls Geimens	Гейман, Нил
Eridu	Эриду
Žairzinju	Жаирзиньо
BirdLife International	BirdLife International
Atom Heart Mother	Atom Heart Mother
Čārlzs Ebots	Аббот, Чарлз Грили
Obscured by Clouds	Obscured by Clouds
2009. gada Eiropas Parlamenta vēlēšanas	Выборы в Европейский парламент (2009)
Astrahaņas hani	Астраханское ханство
Albānijas futbola Superlīga	Чемпионат Албании по футболу
Antifašisms	Антифашизм
Elīza Dušku	Душку, Элайза
Ārpāds	Арпад
Beat It	Beat It
Makgaivers	Секретный агент Макгайвер
Ričards Bērds	Бэрд, Ричард
Kultūras mantojums	Культурное наследие
Takafumi Akahoši	Акахоси, Такафуми
Aukstā fronte	Холодный фронт
FM	Fm
AT	AT
PT	РТ (значения)
Parastie sikspārņi	Гладконосые летучие мыши
Vasilijs II Tumšais	Василий II Тёмный
Slēgtā sala	Остров проклятых
Arsenal	Арсенал (значения)
Ī Sojona	Ли Со Ён
Piridīns	Пиридин
Rurika dinastija	Рюриковичи
Diazepāms	Диазепам
Melnās zosis	Казарки
Bērnu cerebrālā trieka	Детский церебральный паралич
Eliots Smits	Смит, Эллиотт
Edgars Hūvers	Гувер, Джон Эдгар
Marks Hemils	Хэмилл, Марк
Tiagu Silva	Тиаго Силва
Bahreinas futbola izlase	Сборная Бахрейна по футболу
Kristīna Hendriksa	Хендрикс, Кристина
Panamas balboa	Панамский бальбоа
Serbijas pilsētu uzskaitījums	Города Сербии
Celms (valodniecība)	Основа слова
DNS reparācija	Репарация ДНК
Roberts Lengdons	Роберт Лэнгдон
Sudānas ģerbonis	Герб Судана
Vandsvorta	Уондсуэрт (боро Лондона)
1986. gada Eirovīzijas dziesmu konkurss	Конкурс песни Евровидение 1986
Andress Eskobars	Эскобар, Андрес
2010. gada Eiropas čempionāts vieglatlētikā	Чемпионат Европы по лёгкой атлетике 2010
20 kilometru soļošana	Спортивная ходьба на 20 километров
Taisnīgā Krievija	Справедливая Россия
Eiropas čempionāts vieglatlētikā	Чемпионат Европы по лёгкой атлетике
Aigars Kalvītis	Калвитис, Айгар
Ēriks Aidls	Айдл, Эрик
Anilings	Анилингус
Fotoelements	Фотодетектор
Pludmales futbols	Пляжный футбол
Sfumato	Сфумато
Komārno	Комарно (Словакия)
CO	CO (значения)
Physical Graffiti	Physical Graffiti
Neiznīcināmie 2	Неудержимые 2
Blanka Vlašiča	Влашич, Бланка
Ivars Godmanis	Годманис, Ивар
Tīrasiņu zirgs	Чистокровная верховая
Spore	Spore
Artikulācijas veids	Артикуляция (фонетика)
FC Levadia	Левадия (футбольный клуб)
2003. gada Bērnu Eirovīzijas dziesmu konkurss	Детский конкурс песни Евровидение 2003
Seramas jūra	Море Серам
Ziemeļrietumu reģions (Islande)	Нордюрланд-Вестра
Venus Express	Венера-экспресс
Haida Gvaī	Хайда-Гуаи
Politiskais spektrs	Политический спектр
Pēters Lēko	Леко, Петер
Tjagu Mendešs	Мендиш, Тьягу
Stellera pūkpīle	Сибирская гага
Atturība	Воздержание
Salo (Somija)	Сало (Финляндия)
Kvadracikls	Мотовездеход
Zudušais simbols	Утраченный символ
Mazais Belts	Малый Бельт
Hanibāls Lekters	Ганнибал Лектер
Vostoka	Восток (антарктическая станция)
E-pārvalde	Электронное государство
Edvards Osborns Vilsons	Уилсон, Эдвард Осборн
Kalvins un Hobss	Кельвин и Хоббс
Stimulanti	Психостимуляторы
Roza Makgovana	Макгоуэн, Роуз
Gameta	Гамета
Jehvi	Йыхви
Tara Reida	Рид, Тара
Hlorūdeņradis	Хлороводород
Liu Sjans	Лю Сян
20. ieroču SS grenadieru divīzija (igauņu Nr. 1)	20-я гренадерская дивизия СС (1-я эстонская)
Darbības vārda kārta	Залог (лингвистика)
Luksemburgas pilsētu uzskaitījums	Города Люксембурга
MC	МС
DM	DM
200 metri	Бег на 200 метров
Astra 2F	Astra 2F
Karloss Sainss	Сайнс, Карлос
Bētlemes zvaigzne	Вифлеемская звезда
Sojuz-1	Союз-1
2001 (nozīmju atdalīšana)	2001 (значения)
Bobs Hoskinss	Хоскинс, Боб
Dookie	Dookie
Pita	Пита
Mikva	Миква
Pederastija	Педерастия
Īzaks Levitāns	Левитан, Исаак Ильич
Lielpolija	Великая Польша
Ostā	В порту
Saīds Kutbs	Кутб, Сайид
1906. gada Sanfrancisko zemestrīce	Землетрясение в Сан-Франциско (1906)
Lodēšana	Пайка
Miegs ar ātrajām acu kustībām	Фаза быстрого сна
The Game (Queen albums)	The Game (альбом Queen)
Virgīlijs Alekna	Алекна, Виргилиюс
Houses of the Holy	Houses of the Holy
Britu invāzija	Британское вторжение
Markuss Grenholms	Гронхольм, Маркус
Jelmarens	Ельмарен
Kaja Kanepi	Канепи, Кайя
Cikloheksāns	Циклогексан
2010. gada Pasaules čempionāts basketbolā	Чемпионат мира по баскетболу 2010
Il-2	Ил-2
1982. gada Eirovīzijas dziesmu konkurss	Конкурс песни Евровидение 1982
Džudo 2012. gada Vasaras Olimpiskajās spēlēs	Дзюдо на летних Олимпийских играх 2012
1987. gada Eirovīzijas dziesmu konkurss	Конкурс песни Евровидение 1987
Dogma 95	Догма 95
Augsta līmeņa programmēšanas valoda	Высокоуровневый язык программирования
Indukcija	Индукция
Vertsjervs	Выртсъярв
MD	MD
Pīters Singers	Сингер, Питер
Elektroniskais pastiprinātājs	Электронный усилитель
Solaris	Солярис
Kriss Kolfers	Колфер, Крис
Garāžroks	Гаражный рок
Niks Dreiks	Дрейк, Ник
Siva	Сиф (богиня)
Larss Ālforss	Альфорс, Ларс
Sikes—Piko vienošanās	Соглашение Сайкса — Пико
Timotijs Līrijs	Лири, Тимоти
Mali futbola izlase	Сборная Мали по футболу
Assassin's Creed II	Assassin’s Creed II
Nātrija sulfāts	Сульфат натрия
Ichthys	Ихтис
1981. gada Eirovīzijas dziesmu konkurss	Конкурс песни Евровидение 1981
Aquila	Аквила (значения)
Džeimss Tobins	Тобин, Джеймс
Brīvais džezs	Фри-джаз
Ņūtona šūpulis	Колыбель Ньютона
Dominika Cibulkova	Цибулкова, Доминика
Golf	Гольф (значения)
Tuza ezers	Туз (озеро)
Deivids Sušē	Суше, Дэвид
Mustangs	Мустанг
Cilindriskā koordinātu sistēma	Цилиндрическая система координат
Somijas pilsoņu karš	Гражданская война в Финляндии
Ošava	Ошава
Stenlija kauss	Кубок Стэнли
Deivids Robinsons	Робинсон, Дэвид
Eoīns Kolfers	Колфер, Оуэн
2012 (nozīmju atdalīšana)	2012 (значения)
Metālmeklētājs	Металлоискатель
Gods Dievam augstībā	Gloria in excelsis Deo
Amanda Bainsa	Байнс, Аманда
Rozija Hantingtona-Vitlija	Хантингтон-Уайтли, Роузи
Spiričuels	Спиричуэлс
Princese Madeleine	Мадлен, принцесса Швеции
Mīvahdns	Миватн
Čenings Teitums	Тейтум, Ченнинг
Infraskaņa	Инфразвук
Halmaheras jūra	Море Хальмахера
Autentifikācija	Аутентификация
Krievijas Liberāli demokrātiskā partija	ЛДПР
Viking 2	Викинг-2
Vils un Greisa	Уилл и Грейс
Prelūdija	Прелюдия (музыка)
Maratona	Марафон (город)
Peru futbola izlase	Сборная Перу по футболу
Atoms Egojans	Эгоян, Атом
Rodžers Eberts	Эберт, Роджер
Meža klaidoņpele	Европейская мышь
Indijas futbola izlase	Сборная Индии по футболу
Mjēsa	Мьёса
Zuši	Речные угри
Peļveidīgie	Мышеобразные
Komposts	Компосты
Kvintu aplis	Квинтовый круг
Autodesk 3ds Max	Autodesk 3ds Max
Kino mākslas un zinātnes akadēmija	Академия кинематографических искусств и наук
Kas nogalina lakstīgalu...	Убить пересмешника
Terpēni	Терпены
Boko Haram	Боко харам
Francijas kauss futbolā	Кубок Франции по футболу
Saspēles vadītājs	Разыгрывающий защитник
Rikijs Ruvio	Рубио, Рики
Tonkinas līcis	Бакбо
Olimpiskie sporta veidi	Олимпийские виды спорта
Rafaels Puarē	Пуаре, Рафаэль
Igaunija Eirovīzijas dziesmu konkursā	Эстония на конкурсе песни Евровидение
Igors Sikorskis	Сикорский, Игорь Иванович
Aptumsums (grāmata)	Затмение (роман)
Karola Hegkvista	Карола
Trinidādas svilpējguana	Синегорлая абурри
Keita Mosa	Мосс, Кейт
Kolumbijas futbola izlase	Сборная Колумбии по футболу
Jehuda Leibs Ašlags	Бааль Сулам
Černa pie Tisas	Чьерна-над-Тисоу
Hendriks Averkamps	Аверкамп, Хендрик
ODBC	ODBC
Bezvadu lokālais tīkls	Wireless LAN
CoBrA	КОБРА
Medūzas plosts	Плот «Медузы»
Lielā Čīles zemestrīce	Великое Чилийское землетрясение
Rūdolfs Džuljāni	Джулиани, Рудольф
Monika Levinska	Левински, Моника
Strange Days	Strange Days
Gnejs Nēvijs	Невий
Simons Petļura	Петлюра, Симон Васильевич
Arturs Salivens	Салливан, Артур
Geffen Records	Geffen Records
Asaru kauls	Слёзная кость
Stīvens Pinkers	Пинкер, Стивен Артур
Mandragora	Мандрагора
Epiderma	Эпидермис
Anglosakšu hronika	Англосаксонские хроники
Aļģirds Brazausks	Бразаускас, Альгирдас Миколас
Mikulāšs Dzurinda	Дзуринда, Микулаш
Dienvidu pussala (Islande)	Судурнэс
Bridējputni	Кулики
Šerila Kola	Коул, Шерил
Skropstiņtārpi	Ресничные черви
In the Court of the Crimson King	In the Court of the Crimson King
Digitālā bibliotēka	Электронная библиотека
Dark Passion Play	Dark Passion Play
Jurģi	Юрьев день
Žils Simons	Симон, Жиль
L.A. Woman	L.A. Woman
Vadovice	Вадовице
Asks un Embla	Аск и Эмбла
Pet Sounds	Pet Sounds
Gueļa parks	Парк Гуэля
Alkajs	Алкей
Daiļlēkšana 2012. gada Vasaras Olimpiskajās spēlēs	Прыжки в воду на летних Олимпийских играх 2012
Svarcelšana 2008. gada Vasaras Olimpiskajās spēlēs	Тяжёлая атлетика на летних Олимпийских играх 2008
Viktors Korčnojs	Корчной, Виктор Львович
Šņaucamā tabaka	Снафф (табак)
Katabatiskais vējš	Катабатический ветер
Nataša Bedingfīlda	Бедингфилд, Наташа
Kērlings 2010. gada Ziemas Olimpiskajās spēlēs	Кёрлинг на зимних Олимпийских играх 2010
Jakānu dzimta	Якановые
Sergejs Sidorskis	Сидорский, Сергей Сергеевич
Gotiskā subkultūra	Готы (субкультура)
Semjuels Adamss	Адамс, Сэмюэл
Bada spēles (filma)	Голодные игры (фильм)
Peldkostīms	Купальник
Injacio Abate	Абате, Иньяцио
Pasauļu karš	Война миров
Times New Roman	Таймс (гарнитура)
Dzintarskābe	Янтарная кислота
Supermens (filma)	Супермен (фильм)
Kārols I Anžū	Карл Роберт
Herzeleid	Herzeleid
Okeānijas Nāciju kauss	Кубок наций ОФК
Elva	Элва
I Čonsu	Ли Джон Су (футболист)
Zvaigžņu ceļš (2009. gada filma)	Звёздный путь (фильм, 2009)
Progērija	Прогерия
Nīderlandes Futbola asociācija	Королевский футбольный союз Нидерландов
Rūta Meilutīte	Мейлутите, Рута
Ukmerģe	Укмерге
Emanuels Džinobili	Джинобили, Эмануэль
Nemirstīgie	Бессмертные (Персия)
Zaļiščiku rajons	Залещицкий район
Kunda	Кунда
Zaļiščiki	Залещики
Kuntas Kinteha sala	Джеймс (остров, Гамбия)
Beress Frederiks Skiners	Скиннер, Беррес Фредерик
Tomijs Robredo	Робредо, Томми
Perekopa zemesšaurums	Перекопский перешеек
Marlija Matlina	Мэтлин, Марли
Viktorijas un Alberta muzejs	Музей Виктории и Альберта
Lieliskie	Суперсемейка
Nīlzirgu dzimta	Бегемотовые
Džons Stoktons	Стоктон, Джон
Anglijas futbola līga	Футбольная лига Англии
Ložņu gundega	Лютик ползучий
Amerikas melnais grifs	Американская чёрная катарта
Interneta komikss	Веб-комикс
Emalja	Эмаль
Paaudze	Поколение
Poliploīdija	Амфидиплоиды
Ņujorkas "Yankees"	Нью-Йорк Янкиз
Žemaišu dialekts	Жемайтское наречие
Virdžīnijas universitāte	Виргинский университет
Džons Sings	Синг, Джон Миллингтон
Danika Patrika	Патрик, Даника
Smilšu kaste	Песочница
Dzimumdziedzeri	Гонады
Darens Bents	Бент, Даррен
Municipija	Муниципий (Древний Рим)
Ulls	Улль
Anakreonts	Анакреонт
Sabradāšana ar ziloni	Казнь слонами
Mariner 1	Маринер-1
Beļģu Kongo	Бельгийское Конго
Bills Kosbijs	Косби, Билл
Ešlija Simpsone	Симпсон, Эшли
Eduārs Daladjē	Даладье, Эдуард
Adatzivju dzimta	Игловые
Nogale	Большеноги
Flo Rida	Флоу Райда
Billijs Greiems	Грэм, Билли
Linkolna memoriāls	Мемориал Линкольна
Neue Deutsche Härte	Neue Deutsche Härte
Ritgers Hauers	Хауэр, Рутгер
Sehnsucht	Sehnsucht (альбом Rammstein)
Pirovīnogskābe	Пировиноградная кислота
Rosenrot (albums)	Rosenrot (альбом)
Infants	Инфант
Miega apnoja	Апноэ во сне
Hanss Šlegels	Шлегель, Ханс Вильгельм
Bītbokss	Битбокс
Jakobs van Reisdāls	Рёйсдал, Якоб ван
Džese Džeimss	Джеймс, Джесси (преступник)
Vikingu laiki	Эпоха викингов
K-pop	K-pop
Artūrs Šnābels	Шнабель, Артур
Tomass Morgenšterns	Моргенштерн, Томас
Simons Dubnovs	Дубнов, Семён Маркович
Warning	Warning:
Ričards Bērnss	Бёрнс, Ричард
79. Kinoakadēmijas balva	Оскар (кинопремия, 2007)
Tero Pitkemeki	Питкямяки, Теро
Toms Seleks	Селлек, Том
Apple Records	Apple Records
Loksa	Локса
Bearna	Беарн
Peijenne	Пяйянне
Spēka trīscīņa	Пауэрлифтинг
Lindisfārna	Линдисфарн
Mazulis Rūts	Рут, Бейб
Alesandro Kostakurta	Костакурта, Алессандро
Grīnbejas "Packers"	Грин-Бей Пэкерс
Ubuntu (ideoloģija)	Убунту (идеология)
Anisa Pārkere	Паркер, Эннис
Kupeja (virsbūve)	Купе (кузов)
Pols Volkers	Уокер, Пол
Kopi Luwak	Копи Лувак
Džordžs Formens	Форман, Джордж
Porcupine Tree	Porcupine Tree
Pakledus	Морской лёд
Garms	Гарм (мифология)
Mušmires	Мухомор
Bostonas "Red Sox"	Бостон Ред Сокс
AWK	AWK
S/2003 J 10	S/2003 J 10
Aras	Ара (род)
21 (nozīmju atdalīšana)	21 (значения)
Skots Pārkers	Паркер, Скотт
S/2003 J 9	S/2003 J 9
S/2003 J 5	S/2003 J 5
S/2003 J 2	S/2003 J 2
Džampstrīta 21	Мачо и ботан
Princese Estella	Эстель, герцогиня Эстергётландская
Beastie Boys	Beastie Boys
Jons Bauers	Бауэр, Йон
Rūķis	Гномы
Nidhjegs	Нидхёгг
Zinātniskā revolūcija	Революция в науке
Īmirs	Имир (мифология)
Artikulācijas vieta	Место образования согласных
Pakete (informācijas tehnoloģijas)	Пакет (сетевые технологии)
Elders Puštiga	Поштига, Элдер
