非洲	Африка
前266年	266 год до н. э.
前318年	318 год до н. э.
前277年	277 год до н. э.
E (數學常數)	E (число)
威廉華萊士	Уоллес, Уильям
前1060年代	1060-е годы до н. э.
線性代數	Линейная алгебра
前1080年代	1080-е годы до н. э.
德國甲組足球聯賽	Чемпионат Германии по футболу
火地羣島	Огненная Земля (архипелаг)
設計	Проектирование
標點	Пунктуация
前313年	313 год до н. э.
前311年	311 год до н. э.
前1090年代	1090-е годы до н. э.
血壓	Кровяное давление
的士	Такси
石膏	Гипс
兩伊戰爭	Ирано-иракская война
瀕危指標	Охранный статус
瑪麗一世 (英倫)	Мария I (королева Англии)
氧化還原反應	Окислительно-восстановительные реакции
下巴	Подбородок
美洲野牛	Бизон
北極狐	Песец
1090年代	1090-е годы
和製漢字	Кандзи
小林可夢偉	Кобаяси, Камуи
名	Имя
天頂	Зенит (астрономия)
波口	Стрелочный перевод
十六進制	Шестнадцатеричная система счисления
1380年代	1380-е годы
般奴冼拿	Сенна, Бруно
珊瑚海	Коралловое море
1240年代	1240-е годы
1290年代	1290-е годы
中國史	История Китая
前315年	315 год до н. э.
數字	Цифры
1450年代	1450-е годы
1110年代	1110-е годы
1160年代	1160-е годы
940年代	940-е годы
1250年代	1250-е годы
巴巴羅薩作戰	Операция «Барбаросса»
凡城	Ван (город, Турция)
李斯特城	Лестер
帝汶	Тимор
火石	Кремень
菇	Гриб
臺北101	Тайбэй 101
兩個女仔一隻杯	2 Girls 1 Cup
前316年	316 год до н. э.
前327年	327 год до н. э.
前362年	362 год до н. э.
前405年	405 год до н. э.
911	911 (значения)
木薯	Маниок съедобный
前366年	366 год до н. э.
前389年	389 год до н. э.
前317年	317 год до н. э.
前361年	361 год до н. э.
前363年	363 год до н. э.
前346年	346 год до н. э.
化學式	Химическая формула
神奇小蛛網2	Паутина Шарлотты 2: Великое приключение Уилбура
東印度公司	Британская Ост-Индская компания
亞歷山大二世 (俄羅斯)	Александр II
屋頂	Крыша
羅密歐與朱麗葉	Ромео и Джульетта
生菜	Латук посевной
填字遊戲	Кроссворд
戈蘭高地	Голанские высоты
坎德拉	Кандела
中生代	Мезозой
納爾遜	Нельсон, Горацио
前357年	357 год до н. э.
前376年	376 год до н. э.
前382年	382 год до н. э.
前413年	413 год до н. э.
前430年	430 год до н. э.
前365年	365 год до н. э.
前367年	367 год до н. э.
26	26 (число)
嗚嗚聲喇	Вувузела
茨城縣	Ибараки
亞洲足球協會	Азиатская конфедерация футбола
海綿寶寶	Губка Боб Квадратные Штаны (мультсериал)
莎蓮娜高美絲	Гомес, Селена
870年代	870-е годы
160年代	160-е годы
雷	Гром
波斯	Персидская империя
摩蘇爾	Мосул
硝酸	Азотная кислота
肥田料	Удобрения
電子伏特	Электронвольт
1340年代	1340-е годы
880年代	880-е годы
羅賓威廉斯	Уильямс, Робин
割禮	Обрезание
860年代	860-е годы
1320年代	1320-е годы
1070年代	1070-е годы
1200年代	1200-е годы
1280年代	1280-е годы
前385年	385 год до н. э.
神根公約	Шенгенское соглашение
摺紙	Оригами
占士甸	Дин, Джеймс
手指公	Большой палец
牛仔褲	Джинсы
食齋	Вегетарианство
塔納赫	Танах
Windows 95	Windows 95
冧酒	Ром
1140年代	1140-е годы
瑞士國家公園	Швейцарский национальный парк
工廠	Фабрика
前354年	354 год до н. э.
前475年	475 год до н. э.
前396年	396 год до н. э.
前355年	355 год до н. э.
阿維斯塔	Авеста
1440年代	1440-е годы
泰利	Терри, Джон
巴西男子足球代表隊	Сборная Бразилии по футболу
上將	Генерал
海膽	Морские ежи
厄頓	Актон
洱海	Эрхай
愛爾蘭航空	Aer Lingus
教科書	Учебник
出世紙	Свидетельство о рождении
蚱蜢	Короткоусые прямокрылые
阿里烏派	Арианство
蝗蟲	Саранча
人類演化	Антропогенез
馬其頓王國	Древняя Македония
荷亨佐倫家族	Гогенцоллерны
天安門	Врата Небесного Спокойствия
鄭克塽	Чжэн Кэшуан
扭力轉換器	Гидродинамическая передача
狛江市	Комаэ
海濱公園	Эспланада
泡泡龍 (1986年遊戲)	Bubble Bobble
波蘭波	Polandball
消費主義	Потребительство
碉堡	Бункер
機槍堡	Долговременная огневая точка
長春	Чанчунь
噪音污染	Шумовое загрязнение
吉林市	Гирин (город)
四平	Сыпин
遼源	Ляоюань
通化	Тунхуа
白山	Байшань
松原	Сунъюань
白城	Байчэн
微博	Микроблогинг
新浪微博	Sina Weibo
Template:引書	Шаблон:Cite book
愛麗絲夢遊仙境	Алиса в Стране чудес
松本行弘	Мацумото, Юкихиро
磁力鐵甲人	Steel Jeeg
哈維	Гарвей, Уильям
橄欖油	Оливковое масло
素描	Рисунок
希拉莉絲韻	Суонк, Хилари
蛋	Яйцо (пищевой продукт)
離婚	Развод
浸信會	Баптизм
烏勒省	Ольстер
波里活	Болливуд
鬱金香	Тюльпан
紅果子	Брусника
⼀	Ключ 1
細安地列斯群島	Малые Антильские острова
⼁	Ключ 2
⼂	Ключ 3
⼃	Ключ 4
⼄	Ключ 5
火車頭	Локомотив
⼅	Ключ 6
海哩	Морская миля
⼆	Ключ 7
⼇	Ключ 8
⼈	Ключ 9
⼉	Ключ 10
⼊	Ключ 11
⼋	Ключ 12
⼌	Ключ 13
Miles Davis	Дейвис, Майлс
⼍	Мибу (эрхуа)
雪萊	Шелли, Перси Биши
⼎	Бинбу
⼏	Ключ 16
⼐	Каньбу
海皮	Побережье
⼑	Даобу
些馬斯軒尼	Хини, Шеймас
⼒	Либу (эрхуа)
噢，加拿大！	Гимн Канады
⼓	Баобу
刷牙	Чистка зубов
.44 麥林	.44 Magnum
⼙	Цзебу
葵花籽油	Подсолнечное масло
咖椰	Кокосовый джем
威廉荷頓	Холден, Уильям
⼜	Юбу (эрхуа)
西維爾省	Севилья (провинция)
⼥	Нюйбу
⼧	Ключ 40
八九民運	События на площади Тяньаньмэнь (1989)
趙紫陽	Чжао Цзыян
胡耀邦	Ху Яобан
枕頭	Подушка
祖父悖論	Парадокс убитого дедушки
安樂死	Эвтаназия
定義	Определение (логика)
福田康夫	Фукуда, Ясуо
顯生宙	Фанерозой
姓	Фамилия
質量數	Массовое число
2009年人類豬流感疫情	Пандемия гриппа H1N1 в 2009 году
拉斯特法里	Растафарианство
空中服務員	Стюард
吸塵機	Пылесос
松樹	Сосновые
拉鏈	Застёжка-молния
地幔	Мантия Земли
化比奧簡拿華路	Каннаваро, Фабио
羅納德羅斯	Росс, Рональд
詞尾	Суффикс
Pascal	Паскаль
文瑾瑩	Мун Гынён
薛歌妮韋花	Уивер, Сигурни
瑪嘉烈二世	Маргрете II
螢石	Флюорит
淡水	Пресная вода
花拉科茜	Фосетт, Фэрра
新生代	Кайнозой
占士史超活	Стюарт, Джеймс (актёр)
雙元音	Дифтонг
貝可	Беккерель (единица измерения)
鬩衞一	Дисномия (спутник)
冥衞二	Никта (спутник)
冥衞三	Гидра (спутник)
哥士的	Гидроксид натрия
減筆	Аббревиатура
礦石	Руда
尤伯連納	Бриннер, Юл
彈弓	Пружина
扯大纜	Перетягивание каната
蜜蜂	Медоносные пчёлы
劇本	Сценарий
水解	Гидролиз
沙士	Тяжёлый острый респираторный синдром
Flickr	Flickr
希沃特	Зиверт (единица измерения)
牲畜	Сельскохозяйственные животные
世界大戰	Мировая война
甲種射綫	Альфа-частица
乙種射綫	Бета-частица
寡頭壟斷	Олигополия
原居民	Коренные народы
彼得奧圖	О’Тул, Питер
圓規	Циркуль
電話號碼分類	Телефонный план нумерации
元古宙	Протерозой
太古宙	Архей
比利·何利第	Билли Холидей
分號	Точка с запятой
馬利奧·葛斯	Гётце, Марио
冥古宙	Катархей
波格	Борг, Бьорн
間尺	Линейка
上校	Полковник
中洋脊	Срединно-океанический хребет
米高哥連斯 (太空人)	Коллинз, Майкл (астронавт)
流星雨	Метеорный поток
寶貝智多星	Один дома
堤	Дамба
莫里斯賈爾	Жарр, Морис
史坦曼	Стайнман, Ральф
會陰	Промежность
假髮	Парик
博普爵士樂	Бибоп
尿酸	Мочевая кислота
融合爵士樂	Джаз-фьюжн
鹹淡水	Солоноватая вода
Plasma	Плазма (значения)
冥衞四	Кербер (спутник)
走	Бег
冥衞五	Стикс (спутник)
CD (搞清楚)	CD (значения)
Phoenix	Феникс (значения)
芭圖莉	Бартоли, Марион
貨船	Грузовое судно
平安夜	Сочельник
金桔	Кумкват
碗櫃	Буфет (мебель)
丹尼斯·巴班	Папен, Дени
杏仁糖	Марципан
亞當利斯	Рисс, Адам
牛油奶	Пахта
猜包剪揼	Камень, ножницы, бумага
Au	Ау
哥倫布 (搞清楚)	Колумбус
羅斯福	Рузвельт
索羅珀爾穆特	Перлмуттер, Сол
卡戎	Харон
迷失東京	Трудности перевода
定言三段論	Категорический силлогизм
馬可福音	Евангелие от Марка
蠔	Устрица
水煲	Чайник
羅馬俱樂部	Римский клуб
消防員	Пожарный
海格	Хейг, Александр
核素	Нуклид
命題	Суждение
氯化物	Хлориды
試管	Пробирка
平流層	Стратосфера
射箭	Стрельба из лука
拍它	Пета-
阿富汗城市一覽	Города Афганистана
溜冰	Коньки
開城	Кэсон
清津	Чхонджин
黃海北道	Хванхэ-Пукто
平安北道	Пхёнан-Пукто
咸興	Хамхын
咸鏡北道	Хамгён-Пукто
咸鏡南道	Хамгён-Намдо
元山	Вонсан
平安南道	Пхёнан-Намдо
南浦特別市	Нампхо
比沙路	Писарро, Клаудио
碧亞潔·普連茨	Принц, Биргит
兩江道	Янгандо
茱麗蝶兒	Дельпи, Жюли
英國內閣	Кабинет министров Великобритании
島國	Островное государство
侯賽因	Хусейн ибн Али
華山 (中國嘅山)	Хуашань
中環廣場 (香港)	Сентрал-плаза
于文霞	Юй Вэнься
回憶錄	Мемуары
皮利斯	Пирес, Робер
嘉士伯	Carlsberg
前1130年代	1130-е годы до н. э.
前1120年代	1120-е годы до н. э.
日式柴魚	Кацуобуси
滁州	Чучжоу
混合格鬥	Смешанные боевые искусства
六十進制	Шестидесятеричная система счисления
嚡滑	Шероховатость поверхности
大紫荊勳章	Большая медаль Баугинии
東京都會電視台	Tokyo Metropolitan Television
桃園縣	Таоюань (Тайвань)
尺規作圖	Построение с помощью циркуля и линейки
糯米	Клейкий рис
第5千年	5-е тысячелетие
湯圓	Танъюань (блюдо)
俞正聲	Юй Чжэншэн
朗卑·威遜	Вильсон, Ламбер
前1150年代	1150-е годы до н. э.
前1140年代	1140-е годы до н. э.
爆笑管家	Hayate the Combat Butler
氼水氼鏡	Маска (подводное плавание)
網上遊戲	Онлайн-игра
珠頸斑鳩	Пятнистая горлица
蝙蝠俠 (1989年電影)	Бэтмен (фильм, 1989)
塞浦路斯聯合國緩衝區	Зелёная линия (Кипр)
小野洋子	Оно, Йоко
格裡戈里·佩雷爾曼	Перельман, Григорий Яковлевич
頭皮碎	Перхоть
阿南布拉州	Анамбра
阿科坦戈火山	Акотанго
世界自然基金會	Всемирный фонд дикой природы
朗豪坊	Лэнхэм-плейс
大峽谷	Большой каньон
社會群島	Острова Общества
水蛛	Водяной паук
阿古路	Агуэро, Серхио
稜皮龜	Кожистая черепаха
亞歷山大三世 (俄羅斯)	Александр III
木蘭科	Магнолиевые
蠟筆小新	Crayon Shin-chan
五臺山	Утайшань
雲尺	Лекало
京都府	Киото (префектура)
超級電腦	Суперкомпьютер
社會民主主義	Социал-демократия
基礎設施	Инфраструктура
警棍	Полицейская дубинка
氣體大行星	Газовая планета
洛杉磯湖人	Лос-Анджелес Лейкерс
菓醣	Фруктоза
特基拿	Текила
歐拔荷夫曼	Хофман, Альберт
波的尼亞灣	Ботнический залив
迷迭香	Розмарин лекарственный
大阪府	Осака (префектура)
瑞典克朗	Шведская крона
喀巴拉	Каббала
慈溫利	Цвингли, Ульрих
帕邁拉環礁	Пальмира (атолл)
連中三元	Хет-трик
袋狼	Сумчатый волк
文昌魚	Бесчерепные
福岡縣	Фукуока (префектура)
晏托卡省	Антьокия
蜂竇	Пчелиные соты
愛媛縣	Эхимэ
內陸國	Государства без выхода к морю
發明	Изобретение (право)
絕種	Вымирание
模控學	Кибернетика
阿羅約	Макапагал-Арройо, Глория
登地	Данди
海德公園	Гайд-парк
哥林多後書	2-е послание к Коринфянам
卡拉季奇	Караджич, Радован
史奈達	Снейдер, Уэсли
蠍子樂隊	Scorpions
濕電	Переменный ток
包浩斯	Баухауз
黃䘆	Земляные черви
洗衣機	Стиральная машина
Kara	Kara
格奧爾基·康斯坦丁諾維奇·朱可夫	Жуков, Георгий Константинович
起義	Восстание
暴動	Бунт
布碌侖大橋	Бруклинский мост
桔	Мандарин
浦東新區	Пудун (район)
天壇	Храм Неба
海平面	Уровень моря
山形縣	Ямагата (префектура)
氣候變化	Изменение климата
通古斯大爆炸	Тунгусский метеорит
法屬聖馬丁	Сен-Мартен (владение Франции)
詹士二世 (英倫)	Яков II (король Англии)
夜鷺	Обыкновенная кваква
和夫咸頓	Вулвергемптон
.so	.so
挪亞方舟	Ноев ковчег
零沽	Розничная торговля
人造心	Искусственное сердце
Voith	Voith
渭南	Вэйнань
臺灣海峽	Тайваньский пролив
葉酸	Фолиевая кислота
嘔	Рвота
指針	Измерительная головка
Camp	Камп
蘆薈	Алоэ
羅列他	Лолита (роман)
炸彈	Бомба
山口縣	Ямагути (префектура)
麥克阿瑟	Макартур, Дуглас
墨水	Чернила
海參	Голотурии
市盈率	Коэффициент цена/прибыль
神奈川縣	Канагава
白令	Беринг, Витус Ионассен
平底鑊	Сковорода
亂倫	Инцест
白內障	Катаракта
筆名	Криптоним
長野縣	Нагано (префектура)
乳醣	Лактоза
美國獨立宣言	Декларация независимости США
煙花	Фейерверк
微波爐	Микроволновая печь
豹屬	Пантеры
肥膏	Жиры (диетология)
計算機器學會	Ассоциация вычислительной техники
地熱能	Геотермальная энергетика
微波	Микроволновое излучение
阿巴斯	Аббас, Махмуд
蹄	Копыто
斷頭台	Гильотина
侯城	Кингстон-апон-Халл
反宗教改革	Контрреформация
埼玉縣	Сайтама (префектура)
三重縣	Миэ
類地行星	Планеты земной группы
千里達島	Тринидад (остров)
穆羅尼	Малруни, Брайан
希伯來書	Послание к Евреям
加拉太書	Послание к Галатам
鱔	Угреобразные
莊雅博	Эббот, Джон Джозеф Колдуэлл
細胞壁	Клеточная стенка
抗原決定簇	Эпитоп
節 (單位)	Узел (единица измерения)
奧雲	Оуэн, Майкл
AMD	Advanced Micro Devices
最後晚餐	Тайная вечеря (Леонардо да Винчи)
商 (國)	Шан (династия)
韋爾遜	Вильсон, Гарольд
希思	Хит, Эдвард
杜嘉菱	Дуглас-Хьюм, Александр
麥美倫	Макмиллан, Гарольд
艾德禮	Эттли, Клемент
卡美路安東尼	Энтони, Кармело
印巴分治	Раздел Британской Индии
鳳凰號登陸艇	Феникс (космический аппарат)
遼寧號航空母艦	Ляонин (авианосец)
籠	Клетка для животных
痢疾	Дизентерия
栗	Каштан
德國人專用	Только для немцев
Ϝ	Дигамма
群馬縣	Гумма (префектура)
Ϙ	Коппа (буква)
儒艮	Дюгонь
維納斯計畫	Проект Венера
巴洛迪利	Балотелли, Марио
Adobe Photoshop	Adobe Photoshop
米諾陶爾	Минотавр
祖魯人	Зулусы
愛沙尼亞克朗	Эстонская крона
阿特拉斯山脈	Атлас (горы)
諾域治	Норидж
兵庫縣	Хёго
宮崎縣	Миядзаки (префектура)
熊本縣	Кумамото (префектура)
日本史	История Японии
中環中心	The Center
樂蜀	Луксор
廣州恆大淘寶足球會	Гуанчжоу Эвергранд
中國足球代表隊	Сборная Китая по футболу
德希達	Деррида, Жак
瓷器	Фарфор
大白鷺	Большая белая цапля
2004年印度洋大地震	Землетрясение в Индийском океане в 2004 году
新民主黨	Новая демократическая партия
煙	Дым
沙蟬	Певчие цикады
Nightmare	Nightmare (японская группа)
小泉純一郎	Коидзуми, Дзюнъитиро
杜明高	Доминго, Пласидо
柏林國際影展	Берлинский кинофестиваль
香口膠	Жевательная резинка
路透社	Рейтер
修殿節	Ханука
金曼礁	Риф Кингмен
李準基	Ли Джун Ги
禽龍	Игуанодонт
等價關係	Отношение эквивалентности
魔獸世界	World of Warcraft
強斯頓環礁	Джонстон (атолл)
捷克克朗	Чешская крона
羅什哈桑納	Рош Ха-Шана
列王紀上	Третья книга Царств
以斯帖記	Книга Есфирь
傳道書	Книга Екклесиаста
鳩山由紀夫	Хатояма, Юкио
內容管理系統	Система управления содержимым
歌羅西書	Послание к Колоссянам
雅各書	Послание Иакова
約翰一書	1-е послание Иоанна
腓利門書	Послание к Филимону
主格	Именительный падеж
帖撒羅尼迦後書	2-е послание к Фессалоникийцам
克魯明	Кругман, Пол
帖撒羅尼迦前書	1-е послание к Фессалоникийцам
彼得前書	1-е послание Петра
空氣污染	Загрязнение атмосферы Земли
決定論	Детерминизм
流星	Метеор
笑話	Шутка
T恤	Футболка
Web 2.0	Веб 2.0
彼得後書	2-е послание Петра
提摩太前書	1-е послание к Тимофею
化粧品	Косметика
泰國灣	Сиамский залив
李光耀	Ли Куан Ю
螳螂	Богомоловые
Ϛ	Стигма (буква)
法拉	Фарад
知識產權	Интеллектуальная собственность
簡尼	Кан, Оливер
兵房	Казарма
流行文化	Массовая культура
岐阜縣	Гифу (префектура)
石川縣	Исикава
奈良縣	Нара (префектура)
萬國單位字頭	Приставки СИ
豪蘭島	Хауленд (остров)
新謝克爾	Новый израильский шекель
和歌山縣	Вакаяма (префектура)
靜岡縣	Сидзуока (префектура)
米蘇拉塔	Мисурата
滋賀縣	Сига
職業摔角	Реслинг
紐約人	Нью-Йорк Никс
國際換日線	Линия перемены даты
達蓋爾	Дагер, Луи
分散式阻斷服務攻擊	DoS-атака
腸	Колбаса
Ͳ	Сампи
圖板遊戲	Настольная игра с игровым полем
約翰二書	2-е послание Иоанна
以賽亞書	Книга пророка Исаии
約翰三書	3-е послание Иоанна
猶大書	Послание Иуды
飛鏢	Дартс
冰島克朗	Исландская крона
金文拔芝士	Камамбер
提摩太後書	2-е послание к Тимофею
白禮頓	Брайтон
提多書	Послание к Титу
發電機	Электрический генератор
農夫	Фермер
梳化	Софа
回力標	Бумеранг
盾	Щит
合理使用	Добросовестное использование
土撥鼠	Сурки
意大利芝士餅	Тирамису
耶利米書	Книга пророка Иеремии
Ϻ	Сан (буква)
以斯拉記	Книга Ездры
尼希米記	Книга Неемии
約珥書	Книга пророка Иоиля
水塘	Водохранилище
毛巾	Полотенце
涼鞋	Сандалии
小白鷺	Малая белая цапля
威廉頌	Гимн Нидерландов
范德華	Ван-дер-Ваальс, Ян Дидерик
位元幣	Биткойн
霸王花	Гилоцереус волнистый
傳染病	Инфекционные заболевания
荷包	Кошелёк
香水	Духи
芥辣	Горчица (приправа)
後生	Подросток
膠	Клей
橡膠	Резина
Xbox	Xbox
勞亞大陸	Лавразия
鎖匙	Замковый ключ
白鯨	Белуха (млекопитающее)
節	Фестиваль
安倍晉三	Абэ, Синдзо
鰓	Жабры
亞洲豺犬	Красный волк
彌撒	Месса
.yt	.yt
挪威克朗	Норвежская крона
⽇	Ключ 72
新潟縣	Ниигата (префектура)
山梨縣	Яманаси (префектура)
蕎麥	Гречиха посевная
島根縣	Симанэ
⽓	Ключ 84
⽔	Ключ 85
亞美尼亞蘇維埃社會主義共和國	Армянская Советская Социалистическая Республика
多倫多速龍	Торонто Рэпторс
達拉斯牛仔	Даллас Маверикс
座頭鯨	Горбатый кит
𨋢	Лифт
雙峰駱駝	Двугорбый верблюд
富山縣	Тояма (префектура)
岡山縣	Окаяма (префектура)
馬雅可夫斯基	Маяковский, Владимир Владимирович
馬來王豬籠草	Непентес Раджа
擬人化	Антропоморфизм
亞洲象	Азиатский слон
蘇珊莎朗頓	Сарандон, Сьюзан
山口	Перевал
巴倫支	Виллем Баренц
但尼丁	Данидин
公共關係	Связи с общественностью
髀	Нога человека
殖民地	Колония
迷信	Суеверие
浣熊	Енотовидная собака
穆斯林兄弟會	Братья-мусульмане
賭場	Казино
背脊	Спина
城邦	Город-государство
劏肚	Харакири
信	Письмо
學習	Обучение
單醣	Моносахариды
北京國家體育場	Национальный стадион (Пекин)
日內瓦公約	Женевские конвенции
飛船	Дирижабль
色盲	Дальтонизм
黑死病	Чума
地球儀	Глобус
樂高人仔	Минифигурка Лего
碎石	Гравий
BitTorrent	BitTorrent (протокол)
彰化縣	Чжанхуа (уезд)
福井縣	Фукуи (префектура)
亞什摩同卡地爾群島	Острова Ашмор и Картье
夏禮輔循環	Цикл трикарбоновых кислот
大分縣	Оита (префектура)
鳥取縣	Тоттори (префектура)
急救	Первая помощь
扯旗 (生理)	Эрекция
黃曆	Китайский календарь
可樂	Кола (напиток)
高知縣	Коти (префектура)
牙刷	Зубная щётка
多醣	Полисахариды
梗	Стебель
卡廷大屠殺	Катынский расстрел
雞泡魚	Фугу
道德經	Дао дэ цзин
雪姑七友	Белоснежка и семь гномов (мультфильм)
核電廠	Атомная электростанция
三島由紀夫	Юкио Мисима
約瑟夫	Иосиф Флавий
蘇伊士	Суэц
愛德華甘迺迪	Кеннеди, Эдвард
褲頭帶	Ремень
泵	Насос
雅枝竹	Артишок испанский
埼玉市	Сайтама (город)
白喉	Дифтерия
雅息特	Эксетер
咯嗲	Коктейль
村上春樹	Мураками, Харуки
父親節	День отца
百日咳	Коклюш
香檳	Шампанское
史篤城	Сток-он-Трент
費沙島	Фрейзер (остров)
烏拉圭男子足球代表隊	Сборная Уругвая по футболу
峨嵋山	Эмэйшань
釣魚 (網絡)	Фишинг
愛利阿斯·占士·哥利	Кори, Элайс Джеймс
四大佛教名山	Священные горы Китая
Google翻譯	Google Переводчик
熱帶氣候	Тропический климат
ZF Friedrichshafen	ZF Friedrichshafen AG
ZIP	ZIP
中興通訊	ZTE
沙巴翁	Сабайон
LG集團	LG Group
山打根	Сандакан
亞庇	Кота-Кинабалу
內宄	Крот (разведка)
中國共產黨第十八次全國代表大會	XVIII съезд КПК
茶餐廳	Чхачханьтхэн
朴槿惠	Пак Кын Хе
費城七六人	Филадельфия Севенти Сиксерс
加拿大自由黨	Либеральная партия Канады
信鴿	Почтовый голубь
松香	Канифоль
舍布碌	Шербрук
法西斯黨	Национальная фашистская партия
大衛·高帕菲 (魔術師)	Копперфильд, Дэвид (иллюзионист)
植物人	Вегетативное состояние
藜麥	Киноа
厄里斯	Эрида (мифология)
自由下墜	Свободное падение
黃金海岸 (昆士蘭)	Голд-Кост
斯里查潘	Шричапан, Парадорн
洗手盤	Раковина (сантехника)
颱風	Тайфун
臺南市	Тайнань
靈數學	Нумерология
東京灣	Токийский залив
傑志	Китчи (футбольный клуб)
活體實驗	In vivo
London Bridge Is Falling Down	London Bridge Is Falling Down
聖耶雄	Сен-Жером
妊衞一	Хииака (спутник)
拉瓦勒 (魁北克)	Лаваль (Квебек)
泡菜	Кимчхи
纜車	Фуникулёр
⽘	Ключ 89
Cosplay	Косплей
譚夏士	Амхерст, Уильям
針	Игла
馬來人	Малайцы
咭遊戲	Карточная игра
尼馬	Неймар
⽝	Ключ 94
武漢綠地中心	Ухань-Гринлэнд-Сентер
阿剌伯	Арабский мир
固醇	Стерины
偵探學園Q	Detective School Q
卡拉布盧尼	Бруни-Саркози, Карла
李偉軍	Ли Вэйцзюнь
齒鯨亞目	Зубатые киты
印書盤	Ручной типографский станок
坦娜蘇嘉	Танасугарн, Тамарин
衡陽	Хэнъян
搗蛋豬	Bad Piggies
馬來熊	Малайский медведь
樹脂	Смола
與格	Дательный падеж
摩爾質量	Молярная масса
滿族	Маньчжуры
意大利半島	Апеннинский полуостров
IPad mini	IPad mini
棟篤笑	Стендап (жанр)
的確涼	Полиэтилентерефталат
荳	Зернобобовые культуры
啤梨	Груша обыкновенная
拔蘭地	Бренди
域	Домен (биология)
刑法	Уголовное право
黑加侖子	Смородина чёрная
富國島	Фукуок
貓搏	Мальборк
同位異音	Аллофон
鉗	Щипцы
棗莊	Цзаочжуан
華北平原	Великая Китайская равнина
榫	Цапфа
汽水	Безалкогольные напитки
高路托尼	Туре, Коло
花生醬	Арахисовая паста
聖誕玫瑰 (花)	Морозник чёрный
潘玉良	Пань Юйлян
怕醜草	Мимоза стыдливая
翡冷翠共和國	Флорентийская республика
蜜瓜屬	Огурец (род)
同化 (語言學)	Ассимиляция (лингвистика)
落羽杉	Таксодиум двурядный
AZERTY鍵盤	AZERTY
殺人	Гомицид
QWERTZ鍵盤	QWERTZ
微積分	Математический анализ
微分	Дифференциальное исчисление
義和團	Ихэтуаньское восстание
IPad 2	IPad 2
The new iPad	IPad (3-го поколения)
西洋菜	Жеруха обыкновенная
科學怪人	Франкенштейн, или Современный Прометей
鞏俐	Гун Ли
班列特	Барнет (боро Лондона)
糖霜	Сахарная пудра
安娜塔西亞公主	Анастасия Николаевна
利雲度夫斯基	Левандовский, Роберт
海加畢斯杜巴	Бадштубер, Хольгер
莊尼韋斯梅拿	Вайсмюллер, Джонни
F-4幽靈II戰鬥機	McDonnell Douglas F-4 Phantom II
丙炔	Пропин
以巴衝突	Палестино-израильский конфликт
Wikipedia:點改嘢	Википедия:Как править статьи
松江城	Замок Мацуэ
腓特烈一世	Фридрих I (король Пруссии)
布拉戈傑維奇	Благоевич, Род
洗黑錢	Отмывание денег
新鐵金剛智破皇家賭場	Казино «Рояль» (фильм, 2006)
白則里	Берцелиус, Йёнс Якоб
帕潘德里歐	Папандреу, Георгиос (младший)
八爪魚保羅	Пауль (осьминог)
謝瓦爾德納澤	Шеварднадзе, Эдуард Амвросиевич
我和茱茱有個約會	Моё свидание с Дрю
岳陽	Юэян
牧師	Пастор
汶川地震	Сычуаньское землетрясение (2008)
BP	BP
報窮	Несостоятельность
灰	Зола
集中營	Концентрационный лагерь
柏林洪堡大學	Берлинский университет имени Гумбольдта
薯條	Картофель фри
沖涼缸	Ванна
神奇四俠	Фантастическая четвёрка
哈燕卡斯	Хайнкес, Юпп
波恩大學	Боннский университет
脫衣舞	Стриптиз
喊	Плач
特強氣旋風暴納爾吉斯	Наргис (циклон)
山本五十六	Ямамото, Исороку
半島戰爭	Пиренейские войны
米哈伊爾·霍多爾科夫斯基	Ходорковский, Михаил Борисович
青環海蛇屬	Ластохвосты
奶咀	Соска
鑾披汶頌堪	Пибунсонграм
垃圾堆填區	Свалка
東寧國	Дуннин (государство)
李斯	Ли Сы
中將	Генерал-лейтенант
日本盃	Japan Cup
利奧波德咖啡廳	Leopold Cafe
雲林縣	Юньлинь (уезд)
希魔撞正殺人狂	Бесславные ублюдки
奧斯特羅姆	Остром, Элинор
妊衞二	Намака (спутник)
豬手	Рулька
碗	Миска
煲	Кастрюля
米通	Воздушный рис
德國88毫米火炮系列	88-мм зенитная пушка FlaK 18/36/37/41
慕尼黑協定	Мюнхенское соглашение
種族清洗	Этнические чистки
銥星	Иридиум
士巴拿	Гаечный ключ
腳趾	Палец ноги
血腸	Кровяная колбаса
木匠	Плотник
盧卡斯·巴列奧斯	Барриос, Лукас
格魯吉亞王國	Грузинское царство
香川真司	Кагава, Синдзи
萊茵邦聯	Рейнский союз
瓦倫	Комсомольск-на-Амуре
丙型肝炎	Гепатит C
安努爾夫 (東法蘭克)	Арнульф Каринтийский
威廉亞歷山大	Виллем-Александр
翻唱	Кавер-версия
印尼文維基百科	Индонезийская Википедия
NBA	Национальная баскетбольная ассоциация
智庫	Аналитический центр
大將	Генерал-полковник
奧倫葉－拿修家族	Оранская династия
位能	Потенциальная энергия
維多利亞港	Виктория (бухта)
烏茲衝鋒槍	Uzi
千與千尋	Унесённые призраками
遺囑	Завещание
米格-23戰鬥機	МиГ-23
西貢區	Сайкун
德國麻疹	Краснуха
福克公司	Fokker
MP5衝鋒槍	HK MP5
巴馬臣芝士	Пармезан
口水	Слюна
船務	Водный транспорт
平板電腦	Планшетный компьютер
阿里克謝·納瓦林	Навальный, Алексей Анатольевич
