Aafrika	Африка
Tumeaine	Тёмная материя
Endoplasmaatiline retiikulum	Эндоплазматический ретикулум
Akne	Акне
Õietolm	Пыльца
Route 66	US 66
271 eKr	271 год до н. э.
Omaani laht	Оманский залив
Vikipeedia:Usaldusväärsuse tagamine	Википедия:Проверяемость
Aguascalientese osariik	Агуаскальентес (штат)
Wasilla	Уасилла
Lunastaja Kristuse kuju	Статуя Христа-Искупителя
Kuldhord	Золотая Орда
2011. aasta terrorirünnakud Norras	Террористические акты в Норвегии (2011)
Emma Goldman	Гольдман, Эмма
James I (Inglismaa)	Яков I (король Англии)
1360. aastad	1360-е годы
1270. aastad	1270-е годы
José Mourinho	Моуринью, Жозе
Ethernet	Ethernet
Christchurch	Крайстчерч
Osoonikiht	Озоновый слой
Nome	Ном (Аляска)
Uranos	Уран (мифология)
Sõnajalgtaimed	Папоротниковидные
Programmeerimine	Программирование
Tamaulipas	Тамаулипас
Chiba prefektuur	Тиба (префектура)
Kontrabass	Контрабас
Daugavpils	Даугавпилс
Pomelipuu	Помело (фрукт)
Erosioon	Эрозия (геология)
Aleksander I (paavst)	Александр I (папа римский)
Armeenlaste genotsiid	Геноцид армян
Amasya provints	Амасья (ил)
Ruti raamat	Книга Руфь
Kasahhid	Казахи
Tšekk	Чек
Põgenemine (seriaal)	Побег (телесериал, 2005)
Charlize Theron	Терон, Шарлиз
Al Capone	Капоне, Аль
Sonett	Сонет
Elias Canetti	Канетти, Элиас
Eristiivalised	Разнокрылые
Megan Fox	Фокс, Меган
Sümbol	Символ
Babsk	Бабск
Harilik aaloe	Алоэ настоящее
Humanitaarteadused	Гуманитарные науки
Koleerik	Холерик
Integraal	Интеграл
Kenzaburō Ōe	Оэ, Кэндзабуро
Keemiline vooluallikas	Химический источник тока
Kanada lipp	Флаг Канады
Ekspressionism	Экспрессионизм
Krevetilised	Настоящие креветки
Nürnbergi protsess	Нюрнбергский процесс
Pokker	Покер
Dmitri Šostakovitš	Шостакович, Дмитрий Дмитриевич
Emily Brontë	Бронте, Эмили
Melanhoolik	Меланхолик
Kübar	Шляпа
Šimpans (perekond)	Шимпанзе
Mekoryuk	Мекорьюк (Аляска)
Tabivere vald	Табивере (волость)
Dendrokronoloogia	Дендрохронология
Pudel	Бутылка
Uurali jõgi	Урал (река)
Quintana Roo	Кинтана-Роо
Sinaloa	Синалоа
Zacatecase osariik	Сакатекас (штат)
Vioola	Альт
Keelatud linn	Запретный город
Tselluloos	Целлюлоза
Angeli juga	Анхель
Korn	Korn
Tamili Eelami Vabastustiigrid	Тигры освобождения Тамил-Илама
Halldór Laxness	Халлдор Кильян Лакснесс
William Parry Murphy	Мёрфи, Уильям
Inglise kodusõda	Английская революция
Bengal	Бенгалия
Olümpos	Олимп
Pauluse esimene kiri korintlastele	1-е послание к Коринфянам
Must-harksaba	Чёрный коршун
Vaalhai	Китовая акула
Kääbik: Ootamatu teekond	Хоббит: Нежданное путешествие
Kuriilid	Курильские острова
Perikles	Перикл
Julianne Moore	Джулианна Мур
George Grey	Грей, Джордж (лыжник)
Alex Harvey	Харвей, Алекс
Novaja Zemlja	Новая Земля
Nelly Furtado	Фуртадо, Нелли
Aichi prefektuur	Айти
Anna Ahmatova	Ахматова, Анна Андреевна
Anacletus I	Клет (папа римский)
Morgoth	Мелькор
Miroslav Klose	Клозе, Мирослав
Patna	Патна
Gavrilo Princip	Принцип, Гаврило
Millennium Tower (Viin)	Millennium Tower (Вена)
Nicolae Ceaușescu	Чаушеску, Николае
Alla Pugatšova	Пугачёва, Алла Борисовна
Julius II	Юлий II
India ruupia	Индийская рупия
MIDI	MIDI
Gondwana	Гондвана
Atrani	Атрани
Arthur Miller	Миллер, Артур
Hyginus	Гигин (папа римский)
Anaximenes	Анаксимен
Edvard Grieg	Григ, Эдвард
Hüdroelektrijaam	Гидроэлектростанция
Battipaglia	Баттипалья
Haplogrupp R1a	Гаплогруппа R1a (Y-ДНК)
Haplogrupp	Гаплогруппы
Sekretär	Секретарь-референт
Microsoft Access	Microsoft Access
Hispaania koloniaalimpeerium	Испанская империя
Haplotüüp	Гаплотип
Alleel	Аллели
Tenzing Norgay	Тенцинг Норгей
960. aastad	960-е годы
990. aastad	990-е годы
Dante Bonfim Costa Santos	Коста Сантос, Данте Бонфим
890. aastad	890-е годы
1190. aastad	1190-е годы
1180. aastad	1180-е годы
Päikesekell	Солнечные часы
Sputnik 1	Спутник-1
Jin Mao Tower	Цзинь Мао
Harry Potter ja Fööniksi ordu	Гарри Поттер и Орден Феникса
Anne Boleyn	Болейн, Анна
Mikrokiip	Интегральная схема
Geislingen	Гайслинген-ан-дер-Штайге
Üleloomulik	Супранатурализм
Lingua franca	Лингва франка
Sport Club Internacional	Интернасьонал
Shanghai World Financial Center	Шанхайский всемирный финансовый центр
Adenosiintrifosfaat	Аденозинтрифосфат
Gabriela Mistral	Габриэла Мистраль
Pyongyangi metroo	Пхеньянский метрополитен
Azumanga Daioh	Адзуманга
Tuumareaktor	Ядерный реактор
James Chadwick	Чедвик, Джеймс
Sigrid Undset	Унсет, Сигрид
Leningradi oblasti vapp	Герб Ленинградской области
Isco	Иско
Pearl S. Buck	Бак, Перл
Hidalgo osariik	Идальго (штат)
Donald Glaser	Глазер, Дональд Артур
Brian Kobilka	Кобилка, Брайан
Campeche osariik	Кампече (штат)
Robert Lefkowitz	Лефковиц, Роберт
Microsoft Outlook	Microsoft Outlook
Tabasco	Табаско
KGB	Комитет государственной безопасности СССР
Tragöödia	Трагедия (жанр)
John Travolta	Траволта, Джон
Kukeseenelised	Лисичковые (семейство)
Naljapäev	День смеха
Bengali tiiger	Бенгальский тигр
Santos FC	Сантос (футбольный клуб)
Botafogo de Futebol e Regatas	Ботафого
Loomakasvatus	Животноводство
Sociedade Esportiva Palmeiras	Палмейрас
Cate Blanchett	Бланшетт, Кейт
Välis-Hebriidid	Внешние Гебридские острова
Nihilism	Нигилизм
Hommikusöök	Завтрак
Prints Philip, Edinburghi hertsog	Филипп, герцог Эдинбургский
Hewlett-Packard	Hewlett-Packard
Fès	Фес
Giovanni dalle Bande Nere	Джованни делле Банде Нере
Fluminense Football Club	Флуминенсе
Caterina Sforza	Сфорца, Катерина
Täiskasvanu	Взрослый
Tulemüür (informaatika)	Межсетевой экран
Richard II	Ричард II
Retoorika	Риторика
Ülem-Sileesia	Верхняя Силезия
Juudas Iskariot	Иуда Искариот
Sulg	Перо
Monterrey	Монтеррей
Veeringe	Круговорот воды в природе
Charleroi	Шарлеруа
Sise-Hebriidid	Внутренние Гебридские острова
Torm	Буря
Kanada kobras	Канадский бобр
Homöopaatia	Гомеопатия
ÜRO peasekretär	Генеральный секретарь ООН
Sainte-Laguë meetod	Метод Сент-Лагю
Henri Poincaré	Пуанкаре, Анри
Euroopa piison	Зубр
Sturmpanzer I	Sturmpanzer I
Insener	Инженер
Kahur	Пушка
Karpkala	Сазан
950. aastad	950-е годы
Mandžuuria	Маньчжурия
Anders Celsius	Цельсий, Андерс
Loodeväil	Северо-Западный проход
Olomouc	Оломоуц
Uvs	Убсу-Нур
Polümeerid	Полимеры
Ipriit	Иприт
Baffini saar	Баффинова Земля
Absoluutne nulltemperatuur	Абсолютный нуль температуры
469 eKr	469 год до н. э.
Tuumafüüsika	Ядерная физика
1020. aastad	1020-е годы
1060. aastad	1060-е годы
Pippin Lühike	Пипин Короткий
Gerlachovský štít	Герлаховски-Штит
Kašelott	Кашалот
Sándor Petőfi	Шандор Петёфи
Michael Shanks	Шэнкс, Майкл
Varaan	Вараны
Siemens	Siemens
Assali järv	Ассаль (озеро)
Kohtumõistjate raamat	Книга Судей Израилевых
Briis	Бриз
Karl Popper	Поппер, Карл Раймунд
1210. aastad	1210-е годы
1350. aastad	1350-е годы
Ultra Jump	Ultra Jump
2009. aasta Euroopa meistrivõistlused korvpallis	Чемпионат Европы по баскетболу 2009
Rootsi lipp	Флаг Швеции
Aaker	Акр
Euroopa Julgeoleku- ja Koostööorganisatsioon	Организация по безопасности и сотрудничеству в Европе
Greenpeace	Гринпис
272 eKr	272 год до н. э.
Harrison Ford	Форд, Харрисон
1310. aastad	1310-е годы
1260. aastad	1260-е годы
1220. aastad	1220-е годы
1010. aastad	1010-е годы
Kümnendsüsteem	Десятичная система счисления
Fraktal	Фрактал
Varpajam	Варп-двигатель
Acapulco	Акапулько
Alkeenid	Алкены
Internetiprotokollistik	TCP/IP
Noa	Ной
Walt Whitman	Уитмен, Уолт
Ljudavka	Людавка
Salavat Julajev	Салават Юлаев
Aldous Huxley	Хаксли, Олдос
Ongström	Ангстрем
Miguel de Cervantese auhind	Премия Сервантеса
15 cm sIG 33	SIG 33
Eesti lipp	Флаг Эстонии
Leedu lipp	Флаг Литвы
Levant	Левант
Türk Telekom Arena	Тюрк Телеком Арена
Keldi meri	Кельтское море
Charles I	Карл I (король Англии)
Tsitrus	Цитрус
Pierce Brosnan	Броснан, Пирс
Andorra lipp	Флаг Андорры
Kimi ga yo	Гимн Японии
2011. aasta Liibüa kodusõda	Гражданская война в Ливии (2011)
Tazi jõgi	Таз (река)
Isamaaliit – Leedu Kristlikud Demokraadid	Союз Отечества — Литовские христианские демократы
Pascal	Паскаль (язык программирования)
Szeged	Сегед
Windsori dünastia	Виндзоры
Ida-Aafrika riftivöönd	Восточно-Африканская рифтовая долина
Al-‘Aqabah' laht	Акаба (залив)
Sixtus I	Сикст I
Calvin Harris	Келвин Харрис
Telesphorus	Телесфор (папа римский)
Bell X-2	Bell X-2
Kurd	Складкообразование
Elefant	Фердинанд (САУ)
Akaatsia	Акация
Arsenal	Арсенал
970. aastad	970-е годы
Parapähklipuu	Бразильский орех
Atentaat	Политическое убийство
Austraalia lipp	Флаг Австралии
Lakk	Лак
François Mauriac	Мориак, Франсуа
Da Vinci kood	Код да Винчи
314 eKr	314 год до н. э.
Eritrea riigipeade loend	Президент Эритреи
Petri tass	Чашка Петри
Charles Augustin de Coulomb	Кулон, Шарль Огюстен де
Bischofswerda	Бишофсверда
Sileesia	Силезия
Kamenz	Каменц
KwaZulu-Natal	Квазулу-Натал
Radeberg	Радеберг
Murasaki Shikibu	Мурасаки Сикибу
Bernsdorf	Бернсдорф (Верхняя Лужица)
Makedoonia (Kreeka geograafiline piirkond)	Македония (Греция)
Elstra	Эльстра
Großröhrsdorf	Гросрёрсдорф
Aastatuhande arengueesmärgid	Цели развития тысячелетия
Königsbrück	Кёнигсбрюк
Lauta	Лаута
Maagia	Магия
Pulsnitz	Пульсниц
Anton Bruckner	Брукнер, Антон
Weißenberg	Вайсенберг (Верхняя Лужица)
Wilthen	Вильтен
Wittichenau	Виттихенау
Hérault	Эро (река)
1420. aastad	1420-е годы
Giza	Гиза
Ehnaton	Эхнатон
J. M. Barrie	Барри, Джеймс Мэтью
Kiirtoit	Быстрое питание
Araba	Алава
Almería provints	Альмерия (провинция)
Badajozi provints	Бадахос (провинция)
Õhurõhk	Атмосферное давление
Must vihm	Чёрный дождь (книга)
Monica Bellucci	Беллуччи, Моника
Röövik	Гусеница
Bastion	Бастионная система укреплений
Akita prefektuur	Акита (префектура)
Albinism	Альбинизм
Karnivoor	Плотоядные
Kahvel	Вилка (столовый прибор)
Santos	Сантус
Amsterdami Ajax	Аякс (футбольный клуб, Амстердам)
Ukraina grivna	Украинская гривна
Kalmaarilised	Кальмары
Royan	Руайан
Allotroopia	Аллотропия
Ségolène Royal	Руаяль, Сеголен
Ameerika Riikide Konföderatsioon	Конфедеративные Штаты Америки
Valu	Боль
Internetitelefon	IP-телефония
Barcelona provints	Барселона (провинция)
Türgi lipp	Флаг Турции
Berm	Берма
Robert Burns	Бёрнс, Роберт
General Motors	General Motors
Ungari lipp	Флаг Венгрии
Córdoba provints	Кордова (провинция, Испания)
Cácerese provints	Касерес (провинция)
Cádizi provints	Кадис (провинция)
Söögipulgad	Палочки для еды
Klavessiin	Клавесин
Gabriel	Архангел Гавриил
Boulogne-sur-Mer	Булонь-сюр-Мер
Jasmiin	Жасмин
Kanchenjunga	Канченджанга
Villarrobledo	Вильярробледо
Korvpall 2004. aasta suveolümpiamängudel	Баскетбол на летних Олимпийских играх 2004
Okaapi	Окапи
Sõnaliik	Часть речи
George Berkeley	Беркли, Джордж
NASDAQ	NASDAQ
Şūr	Тир (город)
John Keats	Китс, Джон
Ian Fleming	Флеминг, Ян
Steven Seagal	Сигал, Стивен
México osariik	Мехико (штат)
A Coruña provints	Ла-Корунья (провинция)
Jean-Baptiste de Lamarck	Ламарк, Жан Батист
Granada provints	Гранада (провинция)
ÜRO Toidu- ja Põllumajandusorganisatsioon	Продовольственная и сельскохозяйственная организация ООН
Brașov	Брашов
Hatanga jõgi	Хатанга (река)
Mata Hari	Мата Хари
Anabari jõgi	Анабар
Brasiilia lipp	Флаг Бразилии
Hande Yener	Йенер, Ханде
Iirimaa lipp	Флаг Ирландии
Indigirka	Индигирка
Little Richard	Литл Ричард
Aserbaidžaani lipp	Флаг Азербайджанской Республики
Cliff Richard	Клифф Ричард
John Galsworthy	Голсуорси, Джон
920. aastad	920-е годы
Katalüüs	Катализ
Strepsiriinsed primaadid	Мокроносые приматы
Varniany	Ворняны
1170. aastad	1170-е годы
980. aastad	980-е годы
Psychrolutes marcidus	Psychrolutes marcidus
1080. aastad	1080-е годы
Kuban	Кубань (река)
1000. aastad	1000-е годы
Gene Vincent	Джин Винсент
1300. aastad	1300-е годы
К	К
1330. aastad	1330-е годы
Teispoolsus (filmisari)	Другой мир (серия фильмов)
Chlodowech I	Хлодвиг I
Baas (arhitektuur)	База (архитектура)
Samuel Taylor Coleridge	Кольридж, Сэмюэл Тейлор
Planetaarülekanne	Планетарная передача
Taliolümpiamängud	Зимние Олимпийские игры
Naisekandmine	Чемпионат мира по ношению жён
Brandenburgi värav	Бранденбургские ворота
E (arv)	E (число)
Henri de Toulouse-Lautrec	Тулуз-Лотрек, Анри де
Dorian Gray portree	Портрет Дориана Грея
Settekivim	Осадочные горные породы
Elu entsüklopeedia	Энциклопедия жизни
Riiklik Biotehnoloogia Infokeskus	Национальный центр биотехнологической информации
Colin Kaepernick	Каперник, Колин
Sankt Pölten	Санкт-Пёльтен
Sex Pistols	Sex Pistols
Lämmastikuringe	Круговорот азота
П	П
Lineaaralgebra	Линейная алгебра
Integrated Taxonomic Information System	Объединённая таксономическая информационная служба
Hõõrdumine	Трение
Leptonid	Лептон
Veelind	Водоплавающие птицы
Bundesliga	Чемпионат Германии по футболу
Tulemaa saared	Огненная Земля (архипелаг)
Disain	Проектирование
Krakatau	Кракатау
Interpunktsioon	Пунктуация
И	И
Vererõhk	Кровяное давление
Takso	Такси
Felipe Massa	Масса, Фелипе
Kips	Гипс
Iraani-Iraagi sõda	Ирано-иракская война
Mark Webber	Уэббер, Марк
Fiesole	Фьезоле
Kaitsestaatus	Охранный статус
Mary I	Мария I (королева Англии)
Tlaxcala osariik	Тласкала (штат)
Jegor Gaidar	Гайдар, Егор Тимурович
Stadio San Paolo	Сан-Паоло (стадион)
Lõug	Подбородок
Geiša	Гейша
Vaprad ja ilusad	Дерзкие и красивые
Aineias	Эней
Polaarrebane	Песец
Romain Grosjean	Грожан, Ромен
Skanner	Сканер изображений
Fail	Файл
1090. aastad	1090-е годы
Olsztyn	Ольштын
Paul di Resta	Ди Реста, Пол
Kanji	Кандзи
Tereki jõgi	Терек
Plinius Vanem	Плиний Старший
Leslie Nielsen	Нильсен, Лесли
Regioon	Регион
Kamui Kobayashi	Кобаяси, Камуи
Sergio Pérez	Перес, Серхио
Seniit	Зенит (астрономия)
Akustika	Акустика
Suhhona	Сухона
Daniel Ricciardo	Риккардо, Даниэль
Pööre (raudtee)	Стрелочный перевод
Traditsioon	Традиция
Kuueteistkümnendarv	Шестнадцатеричная система счисления
Jean-Éric Vergne	Вернь, Жан-Эрик
1380. aastad	1380-е годы
Freudenstadt	Фройденштадт
Alvar Aalto	Аалто, Алвар
Pastor Maldonado	Мальдонадо, Пастор
Sokotra	Сокотра (остров)
Bruno Senna	Сенна, Бруно
Vinci (Itaalia)	Винчи (город)
Aleksandr Smirnov	Смирнов, Александр
Heikki Kovalainen	Ковалайнен, Хейкки
Vitali Petrov	Петров, Виталий Александрович
Pfullendorf	Пфуллендорф
Saparmyrat Nyýazow	Ниязов, Сапармурат Атаевич
Pedro de la Rosa	Де ла Роса, Педро
Joseph Conrad	Конрад, Джозеф
Korallimeri	Коралловое море
Henri de Saint-Simon	Сен-Симон, Анри
Narain Karthikeyan	Картикеян, Нараин
São Paulo kunstimuuseum	Художественный музей (Сан-Паулу)
Katakana	Катакана
Poliitik	Политик
Rottweil	Ротвайль
1240. aastad	1240-е годы
Charles Pic	Пик, Шарль
1290. aastad	1290-е годы
Hiina ajalugu	История Китая
Pierre de Coubertin	Кубертен, Пьер де
Number	Цифры
Ruunid	Руны
Melanie Klein	Кляйн, Мелани
Antonio Gramsci	Грамши, Антонио
David Villa	Вилья, Давид
Advent	Адвент
1450. aastad	1450-е годы
Gregorius XIII	Григорий XIII
Dementsus	Деменция
Hüüdsõna	Междометие
Salvatore Quasimodo	Квазимодо, Сальваторе
Anaxagoras	Анаксагор
Neuroloogia	Неврология
Kuusnurk	Шестиугольник
1110. aastad	1110-е годы
1160. aastad	1160-е годы
940. aastad	940-е годы
1250. aastad	1250-е годы
Barbarossa plaan	Операция «Барбаросса»
Rämpspost	Спам
Saul Bellow	Беллоу, Сол
Ngauruhoe	Нгаурухоэ
Petronas Towers	Башни Петронас
Leicester	Лестер
Timor	Тимор
Sakarya provints	Сакарья (ил)
Downton Abbey	Аббатство Даунтон
Nõukogude-Afganistani sõda	Афганская война (1979—1989)
Ränikivi	Кремень
Avataara	Аватара
Jana-Gana-Mana	Гимн Индии
Taipei 101	Тайбэй 101
São Gonçalo	Сан-Гонсалу (Рио-де-Жанейро)
389 eKr	389 год до н. э.
Aafrika rahvaste karikavõistlused jalgpallis	Кубок африканских наций
Keemiline valem	Химическая формула
Norra lipp	Флаг Норвегии
Coulombi seadus	Закон Кулона
Jacques-Louis David	Давид, Жак-Луи
Jean Cocteau	Кокто, Жан
Clemens VII	Климент VII
Prometheus	Прометей
Charlotte koob võrku 2: Wilburi suur seiklus	Паутина Шарлотты 2: Великое приключение Уилбура
Aafrika Rahvuskongress	Африканский национальный конгресс
Briti Ida-India Kompanii	Британская Ост-Индская компания
Hüdrosfäär	Гидросфера
Aleksander II	Александр II
Eugenio Montale	Монтале, Эудженио
Almere	Алмере
Katus	Крыша
Golgi kompleks	Аппарат Гольджи
Jacinto Benavente	Бенавенте-и-Мартинес, Хасинто
Horisontaalne geeniülekanne	Горизонтальный перенос генов
Romeo ja Julia	Ромео и Джульетта
Vitamiin B1	Тиамин
Relativism	Релятивизм
Goiânia	Гояния
Aedsalat	Латук посевной
Antiaine	Антивещество
Pius I	Пий I
Mitteühinemisliikumine	Движение неприсоединения
Kentaurid	Кентавры
Triumviraat	Триумвират
Ristsõnad	Кроссворд
Golani kõrgendikud	Голанские высоты
Fotoefekt	Фотоэффект
Kandela	Кандела
Kepleri seadused	Законы Кеплера
Mesosoikum	Мезозой
Asklepios	Асклепий
Hastingsi lahing	Битва при Гастингсе
Edward VI	Эдуард VI
Illingeni vald (Württemberg)	Иллинген (Вюртемберг)
Kiruna	Кируна
Jacques-Yves Cousteau	Кусто, Жак-Ив
Horatio Nelson	Нельсон, Горацио
Chamonix	Шамони
Galilea	Галилея
Braga	Брага (город)
Allure of the Seas	Allure of the Seas
École normale supérieure	Высшая нормальная школа (Париж)
Grand Theft Auto: San Andreas	Grand Theft Auto: San Andreas
Vuvuzela	Вувузела
Kuritegu	Преступление
Hard rock	Хард-рок
Ibaraki prefektuur	Ибараки
Aasia Jalgpalli Konföderatsioon	Азиатская конфедерация футбола
Suurbritannia lipp	Флаг Великобритании
Käsna-Kalle Kantpüks	Губка Боб Квадратные Штаны (мультсериал)
Durrës	Дуррес
Jugoslaavia Föderatiivne Sotsialistlik Vabariik	Социалистическая Федеративная Республика Югославия
Selena Gomez	Гомес, Селена
Litosfäär	Литосфера
John William Strutt, kolmas parun Rayleigh	Стретт, Джон Уильям (лорд Рэлей)
870. aastad	870-е годы
160. aastad	160-е годы
Fortran	Фортран
Minister	Министр
Johann Strauß (poeg)	Штраус, Иоганн (сын)
Koduhiir	Домовая мышь
Mosul	Мосул
Bab el Mandeb	Баб-эль-Мандебский пролив
Kõhutüüfus	Брюшной тиф
Lämmastikhape	Азотная кислота
Giovanni Giacomo Casanova	Казанова, Джакомо
Väetis	Удобрения
Sibiu	Сибиу
Pamela Anderson	Андерсон, Памела
Béla Bartók	Барток, Бела
Elektronvolt	Электронвольт
Turgi rahvad	Тюрки
Lüsosoom	Лизосома
Louis de Broglie	Де Бройль, Луи
James Watson	Уотсон, Джеймс
1340. aastad	1340-е годы
880. aastad	880-е годы
Robin Williams	Уильямс, Робин
Vedelkristallkuvar	Жидкокристаллический дисплей
Ümberlõikamine	Обрезание
860. aastad	860-е годы
1320. aastad	1320-е годы
1070. aastad	1070-е годы
1200. aastad	1200-е годы
1280. aastad	1280-е годы
Mineraloogia	Минералогия
Schengeni viisaruum	Шенгенское соглашение
Origami	Оригами
James Dean	Дин, Джеймс
Teksad	Джинсы
Taimetoitlus	Вегетарианство
Tanah	Танах
Empirism	Эмпиризм
Windows 95	Windows 95
Seismoloogia	Сейсмология
Bolševikud	Большевики
Kvasar	Квазар
Empedokles	Эмпедокл
Rumm	Ром
Zuzenhausen	Цуценхаузен
1140. aastad	1140-е годы
Pentium III	Pentium III
Alžeeria lipp	Флаг Алжира
Eleanor Roosevelt	Рузвельт, Элеонора
Heroes	Герои (телесериал)
Timișoara	Тимишоара
Vabrik	Фабрика
Spartacus	Спартак
Mons	Монс
354 eKr	354 год до н. э.
Cary Grant	Кэри Грант
475 eKr	475 год до н. э.
Normannid	Норманны
396 eKr	396 год до н. э.
Püha Peetruse väljak	Площадь Святого Петра
Avesta	Авеста
Paracelsus	Парацельс
Megadeth	Megadeth
Vääriskivi	Драгоценные камни
Kantrimuusika	Кантри
Eesti-Venemaa suhted	Российско-эстонские отношения
1440. aastad	1440-е годы
John Terry	Терри, Джон
Old Trafford	Олд Траффорд
Tavda jõgi	Тавда (река)
Brasiilia jalgpallikoondis	Сборная Бразилии по футболу
Kindral	Генерал
Tõstesport	Тяжёлая атлетика
Eufemism	Эвфемизм
Judas Priest	Judas Priest
Geiser	Гейзер
Alfred Suur	Альфред Великий
Rühm (matemaatika)	Группа (математика)
Apsiid (astronoomia)	Апоцентр и перицентр
Merisiilikud	Морские ежи
Anthony Quinn	Куинн, Энтони
Mesut Özil	Озиль, Месут
Gary Oldman	Олдмен, Гэри
Susan Boyle	Бойл, Сьюзан
Matrix	Матрица (фильм)
Kerberos	Кербер
Intelligentsus	Интеллект
Pikoloflööt	Флейта-пикколо
Kontrafagott	Контрафагот
Vladimiri-Suzdali vürstiriik	Владимиро-Суздальское княжество
Elektrovaakumseadis	Электровакуумный прибор
Isabel Allende	Альенде, Исабель (писательница)
AutoCAD	AutoCAD
Fernandina	Фернандина
Keemiatehnoloogia	Химическая технология
36 strategeemi	Тридцать шесть стратагем
Koduõpe	Домашнее обучение
Teetigu	Arion
Sebastian Larsson	Ларссон, Себастиан
Isabela	Исабела (остров)
Andrei Gubin	Губин, Андрей Викторович
Salem	Сейлем
Aer Lingus	Aer Lingus
Milo Ventimiglia	Вентимилья, Майло
Wes Brown	Браун, Уэс
Dies irae	Dies irae
Hiidsaarmas	Бразильская выдра
Sümfoonia nr 4	Симфония № 4
Dubai metroo	Дубайский метрополитен
Õpik	Учебник
Savannah	Саванна (Джорджия)
Alföld	Альфёльд
Menstruaaltsükkel	Менструальный цикл
Sassaniidide riik	Государство Сасанидов
Toorik	Слиток
Noortürklased	Младотурки
Hicham El Guerrouj	Эль-Герруж, Хишам
Elektronkiiretoru	Электронно-лучевые приборы
Arianism	Арианство
Keinsism	Кейнсианство
Inimese evolutsioon	Антропогенез
Vana-Makedoonia	Древняя Македония
Hohenzollernid	Гогенцоллерны
Valge Kotka orden	Орден Белого орла (Польша)
Türklased	Турки
Nizār Rayān	Райан, Низар
Lateraani basiilika	Латеранская базилика
John Coolidge Adams	Адамс, Джон Кулидж
Horos	Хор (мифология)
Kiievi ülikool	Киевский национальный университет имени Тараса Шевченко
Hervé Guibert	Гибер, Эрве
Patrick Friesacher	Фризахер, Патрик
Labradori poolsaar	Лабрадор (полуостров)
Christian Klien	Клин, Кристиан
Fred Sinowatz	Зиновац, Фред
Maximiliano (Mehhiko keiser)	Максимилиан I (император Мексики)
Michael Haneke	Ханеке, Михаэль
Volker Zotz	Цоц, Фолкер
Sekretsioon	Секреция (физиология)
Ludwig von Mises	Мизес, Людвиг фон
Peter Ferdinand Drucker	Друкер, Питер Фердинанд
Fritjof Capra	Капра, Фритьоф
Wilhelm Miklas	Миклас, Вильгельм
Karl Radek	Радек, Карл Бернгардович
Niko Kranjčar	Кранчар, Нико
Nikolaus Lenau	Ленау, Николаус
Ludwig Boltzmann	Больцман, Людвиг
Paula Hitler	Гитлер, Паула
Ludwig von Bertalanffy	Берталанфи, Людвиг фон
Wilhelm Reich	Райх, Вильгельм
Martin Buber	Бубер, Мартин
Franz Böhme	Бёме, Франц
Koerhai	Обыкновенная кошачья акула
Arktika saarestik	Канадский Арктический архипелаг
Oratoorium	Оратория
Sekulariseerumine	Секуляризация (социология)
Giovanni Caboto	Кабот, Джон
Saue	Сауэ
Taevakoordinaatide süsteem	Система небесных координат
Hingetu	На последнем дыхании (фильм, 1959)
Hanna-Maria Seppälä	Сеппяля, Ханна-Мария
İstanbuli Atatürki lennujaam	Международный аэропорт имени Ататюрка
Komae	Комаэ
Kubermang	Губерния
Johann Christoph Döll	Дёлль, Йоханн Кристоф
Geryon	Герион
Norra vapp	Герб Норвегии
Tekstifail	Текстовый файл
Aleksandr Litvinenko	Литвиненко, Александр Вальтерович
Käsikiri	Рукопись
Ladinakeelsete väljendite loend	Список крылатых латинских выражений
Shenouda III	Шенуда III
Rakvere raudteejaam	Раквере (станция)
Anton Rubinstein	Рубинштейн, Антон Григорьевич
Michiko	Митико
Julia Klöckner	Клёкнер, Юлия
Tsitadell	Цитадель
Vallikraav	Ров
Gabioon	Габион
Garnison	Гарнизон
Dansker	Данскер
Birkenesi vald	Биркенес
Byglandi vald	Бюгланн
Bykle vald	Бюкле
Evje og Hornnesi vald	Эвье-ог-Хорннес
Frolandi vald	Фроланн
Gjerstadi vald	Ерстад
Guido Samson von Himmelstiern	Самсон фон Гиммельшерна, Гвидо-Герман Карлович
Otto Skorzeny	Скорцени, Отто
Karl-Siegmund Litzmann	Литцман, Карл Зигмунд
Ludwig Stieda	Стида, Христиан Герман Людвиг
Victor Hehn	Ген, Виктор
Jacob Levy Moreno	Морено, Якоб Леви
Ludolf August von Bismarck	Бисмарк, Людольф Август фон
Günter Siegmund	Зигмунд, Гюнтер
Julius Sergius von Klever	Клевер, Юлий Юльевич
Alexander von Oettingen	Эттинген, Александр фон
Gustav von Bunge	Бунге, Густав Александрович
Johann Wilhelm Krause	Краузе, Иоганн Вильгельм
Ferdinand Minding	Миндинг, Фердинанд Готлибович
Kasematt	Каземат
Konsumerism	Потребительство
Lünett (kindlustis)	Люнет
Grimstadi vald	Гримстад
Ivelandi vald	Ивеланн
Lillesandi vald	Лиллесанн
Risøri vald	Рисёр
Tvedestrandi vald	Тведестранн
Valle vald	Валле (Норвегия)
Vegårshei vald	Вегорсхей
Åmli vald	Омли
Palissaad	Палисад
Reduut	Редут
Antwerpeni ringkond	Антверпен (округ)
Mecheleni ringkond	Мехелен (округ)
Turnhouti ringkond	Тюрнхаут (округ)
Donjon	Донжон
Veurne ringkond	Вёрне (округ)
Erker	Эркер
