افریقہ	Африка
کیتااکیتا، اکیتا	Китаакита
ربیطہ (ضد ابہام)	Лиганд (неоднозначность)
لنشیا شہر	Линься
جگربے	Жагуариби (муниципалитет)
برزوزوو	Бжозув
سرنگاپٹنا	Шрирангапатнам
خلیج کھمبات	Камбейский залив
سالستدت	Заальштадт
جنوو لبلسکی کاؤنٹی	Яновский повят
طیف	Спектр
سین-یلے، آرڈیچے	Сент-Элали (Ардеш)
سففیگ	Заффиг
دیر	Дир (город)
جھیل میڈ	Мид (водохранилище)
لی	Ли (единица длины)
تاکستان	Такестан
ہاوسا	Хавса
توتو	Тутов
جکڑے ئی	Жакареи
سینٹ-لوپ-ہورس	Сен-Лу-Ор
پورسات	Поусат (город)
آبی مانیٹر	Полосатый варан
شام شوئی پو ضلع	Самсёйпоу
حصار، تاجکستان	Гиссар
سینٹ-مرتینئیں	Сен-Мартиньен
سینٹ-یوجین، اسنے	Сент-Эжен (Эна)
ادے نھیم	Уденхайм
نوکونونو	Нукунону
کارگاہ	Ателье
حذف (وراثیات)	Делеция
برج المملکہ	Kingdom Centre
جغرافیائی امتیاز	Топографическое превышение
بابری مسجد	Мечеть Бабри
کیلے ہمیلٹن مسلئہ اثباتی	Теорема Гамильтона — Кэли
رتبہ میٹرکس	Ранг матрицы
ویسٹ فیلڈ، الینوائے	Уэстфилд (Иллинойс)
بین الاقوامی مالیاتی شرکت	Международная финансовая корпорация
اقوام متحدہ کے اعلیٰ کمشنر برائے انسانی حقوق	Управление Верховного комиссара ООН по правам человека
یارک، نیبراسکا	Йорк (Небраска)
عظیم آدمساختہ دریا	Великая рукотворная река
اسلامی خطاطی	Арабская каллиграфия
علاقہ سیگو	Сегу (область)
عظیم کششگر	Великий аттрактор
نرمس	Нурмес
کینٹربری، نیوزی لینڈ	Кентербери (Новая Зеландия)
ہوپا	Хопа
قدیم یونانی ادب	Древнегреческая литература
مرکہ	Марка (Сомали)
کارتاخینا، کولمبیا	Картахена (Колумбия)
ینزحو ضلع، ٹیلنگ	Иньчжоу (Телин)
وراءمستوی	Гиперплоскость
سلیلہ (مرض)	Полип (медицина)
المش	Алмуш
سین-ہونورنے-دو-فی	Сент-Онорин-дю-Фе
کیمیحرک	Хемотаксис
گاندھی جیانتی	День рождения Ганди
کارامای	Карамай
محافظہ اریحا	Иерихон (провинция)
لاکوسٹ، ووکلیوسی	Лакост (Воклюз)
سینٹ-کومے-دلٹ	Сен-Ком-д’Ольт
سینٹ-مامے	Сен-Мем
ایٹل برک	Эттельбрюк
پزینوک	Пезинок
بنو قسی	Бану Каси
ایروسول اسپرے	Аэрозольный баллон
کریسٹین سٹڈ	Кристийнанкаупунки
عوامی نیشنل پارٹی	Национальная партия Авами
کوٹایم	Коттаям
ہیران، صومالیہ	Хиран
کومبرے	Комбре (Кальвадос)
سالےپلٹتے	Залеплате
کنسدورف	Консдорф
سینٹ-اینجل، الئیر	Сент-Анжель (Алье)
سینٹ-لارنٹ-دے-بلزگوٹ	Сен-Лоран-де-Бельзаго
وسیم سجاد	Саджад, Васим
لوانگ نامتھا	Луангнамтха (город)
ہیجڑا	Хиджра (каста)
توکائڈشنکانسن	Токайдо-синкансэн
فقدِ لیانی	Ахалазия кардии
فوکویاما، ہیروشیما	Фукуяма (город)
صدا فگنی	Чревовещание
سینٹ-مشیل-این -گروی	Сен-Мишель-ан-Грев
رپن	Рипон
ینگپو ضلع	Янпу
فہرست منگولیا کے شہر	Города Монголии
یببسٹز	Ибзиц
سینٹ-فیکڑے، کوٹس-دآرمور	Сен-Фьякр (Кот-д’Армор)
سینٹ-گرونس	Сен-Жерон
مڈ ڈیون	Мид Девон
لاروقوی-دولمیس	Ларок-д’Ольм
لاگارڈی، اریگی	Лагард (Арьеж)
زگرسدورف	Цагерсдорф
برطانوی صومالی لینڈ	Британское Сомали
سینٹ-بزیلے-دے-میسساک	Сен-Базиль-де-Мессак
سینٹ-بونٹ-لیس-ٹورز-دے-مرلے	Сен-Бонне-ле-Тур-де-Мерль
بلسٹرنگ ایجنٹ	Везикант
زیریں زمینی مدار	Низкая околоземная орбита
سینٹ-کرنیں ، کنٹل	Сен-Сернен (Канталь)
سینٹ-میگرین	Сен-Мегрен
لا فلامینگری، ایسنی	Ла-Фламангри (Эна)
اسکن ایفکٹ	Скин-эффект
نو کارلے بو	Уусикаарлепюу
کیریبین	Вест-Индия
سچسنبرگ	Заксенбург (Каринтия)
مقناطیسی سکونیات	Магнитостатика
دہلی یونیورسٹی	Делийский университет
کیپ ڈورسٹ، نُناوُت	Кейп-Дорсет
آیزو 3166-2:JO	ISO 3166-2:JO
سین-سترنین، کنٹل	Сен-Сатюрнен (Канталь)
سہیل ریجن	Сахель (область Буркина-Фасо)
ٹومب رایڈر اساطیر	Tomb Raider: Legend
سینٹ-پاردو-لے-نوف، کورریزے	Сен-Парду-ле-Нёф (Коррез)
ضلع تسمان	Тасман (регион)
سنیں ضلع	Занен (округ)
سین-سون، ہوٹس-پیرینیث	Сен-Савен (Верхние Пиренеи)
گلشمسی	Подсолнечниковые
لائزہو	Лайчжоу
سینٹ-بونٹ-یلورت	Сен-Бонне-Эльвер
سینٹ-جلیں -آ-بوس	Сен-Жюльен-о-Буа
سینٹ-گرمین-لیس-ورگنس	Сен-Жермен-ле-Вернь
سینٹ-کلیمنٹ، کورریزے	Сен-Клеман (Коррез)
فلن فلان، مینی ٹوبا	Флин-Флон
سینٹ-گنیز-و-مرلے	Сен-Женьез-о-Мерль
سینٹ-بزیلے-دے-لا-روکھے	Сен-Базиль-де-ла-Рош
سینٹ-ہلیری-لیس-کوربس	Сент-Илер-ле-Курб
سینٹ-ےشنت	Сен-Мексан (Коррез)
سینٹ-پاردو-لا-کرویسلے	Сен-Парду-ла-Круазий
سینٹ-مارٹن-لا-مانے	Сен-Мартен-ла-Меан
سین-سلواڈور	Сен-Сальвадур
سینٹ-کرگیس-لا-لوتھڑے	Сен-Сирг-ла-Лутр
سین-رومانس	Сен-Роман (Изер)
طب جگر	Гепатология
لاس میرینڈاڈیس	Мериндадес
جابروں	Жабрён
سینٹ-مرد-دے-لپلو	Сен-Мер-де-Лапло
عرمیرا ضلع	Эрмера (округ)
سینٹ-مارشل-دے-گمل	Сен-Марсьяль-де-Жимель
سین-پریسٹ-دے-گمل	Сен-Приест-де-Жимель
لاباسٹیڈ-بیووویر	Лабастид-Бовуар
سینٹ-بونٹ-اولووزے	Сен-Бонне-Авалуз
کامیرون	Германский Камерун
آرتوکس	Артуш
پیری، جارجیا	Перри (Джорджия)
ٹومب رایڈر آخری انکشاف	Tomb Raider: The Last Revelation
نیگومبو	Негомбо
لا شاپیل-یوون	Ла-Шапель-Ивон
سینٹ-ایٹیینے-ا-ارنس	Сент-Этьен-а-Арн
سینٹ-غصلیں	Сен-Гилен
ماہاجانگا صوبہ	Махадзанга (провинция)
بیضائی دانت	Яйцевой зуб
لاکاٹورو	Лакаторо
بلند ترین پہاڑوں کی فہرست	Список высочайших вершин Земли
سین-ستر	Сен-Сатюр
لا کورونی، شارینٹی	Ла-Курон (Шаранта)
حساب کا بنیادی مسئلہ اثباتی	Основная теорема арифметики
سین-سرنین-سور-رانکے	Сен-Сернен-сюр-Ранс
سینٹ-ہلیری، اسیری	Сент-Илер (Изер)
یکم اگست 2008 کا سورج گرہن	Солнечное затмение 1 августа 2008 года
سینٹ-بات	Сен-Беа
لا مالاشیری	Ла-Малашер
وردنگ	Уэртинг
این پی ار	National Public Radio
سریکاکولم	Шрикакулам
سیفن-بودن	Зайфен-Боден
لاروقویوییلی	Лароквьей
پدم وبھوشن	Падма Вибхушан
اسلامی جمہوریہ	Исламская республика
سال، مکلنبرگ-وورپوممرن	Заль (Передняя Померания)
لا بیرلییری	Ла-Берльер
یے لموس دے ارربہ	Еламос-де-Арриба
لیلیٰ مجنوں	Лейли и Маджнун
لا سیو دورگیل	Сео-де-Уржель
تجرید	Абстракция
سینٹ-گرمئر، ترن	Сен-Жермье (Тарн)
کبیربینی	Макроскопический масштаб
سینٹ-علوی، این	Сент-Элуа (Эн)
سینٹ-ارنولٹ-این -یولنس	Сент-Арну-ан-Ивелин
یسپرٹل	Исперталь
سین-رومین، چارےنتے	Сен-Ромен (Шаранта)
تحریضی متعدد فعولی جذعی خلیہ	Индуцированные стволовые клетки
شمالی ڈیون	Норт-Девон
دورا بالتیا	Дора-Бальтеа
صوبہ سیلیسیا	Провинция Силезия
حائل (شہر)	Хаиль (город)
سینٹ-چرٹیر	Сен-Шартье
بطن بین جراحت	Лапароскопия
جاونٹز	Йефениц
سینٹ-گنو	Сен-Жену
سینٹ-مارٹن-سوس-گوگخو	Сен-Мартен-су-Вигуру
ڈرو بیریمور	Бэрримор, Дрю
لاس ویگاس، نیو میکسیکو	Лас-Вегас (Нью-Мексико)
ماچو پیچو	Мачу-Пикчу
لا کریوسی	Ла-Крёз
سینٹ-جست، کنٹل	Сен-Жюст (Канталь)
سینٹ-مارٹن-دے-لا-کلوزے	Сен-Мартен-де-ла-Клюз
جیدھوف	Яидхоф
اگنی کورت-اے-شلس	Аньикур-э-Сешель
شفشاون	Шефшауен
اطالیہ قومی فٹ بال ٹیم	Сборная Италии по футболу
جپونس	Японс
تلنگانہ	Телангана
سینٹ-گرانڈ-دے-وا	Сен-Жеран-де-Во
ویل پوائنٹ	WellPoint
سینٹ-فلورینٹ، ہوتے-کورسے	Сен-Флоран
سینٹ-برتھلمے، اسیری	Сен-Бартелеми (Изер)
لابیسیریتی	Лабесрет
لا سالی، منیسوٹا	Ла-Салл (город, Миннесота)
وسطی شبیلی	Средняя Шабелле
سین-پریسٹ-لا-پلانے	Сен-Приест-ла-Плен
جانگدا، ماتو گروسو	Жангада (Мату-Гросу)
ارمنت	Гермонтис
بی بی خانم مسجد	Биби Ханум
سینٹ-مارٹن-دے-فونٹنے	Сен-Мартен-де-Фонтене
آبادیات پاکستان	Население Пакистана
مظہر منتقلی	Перенос
سین-رمے، این	Сен-Реми (Эн)
نبطیہ ضلع	Набатия (район)
یلن سٹی	Илань (Илань)
سینٹ-البن، این	Сент-Альбан (Эн)
طوس	Тус
آخذات	Рецептор (значения)
سین-پال-لیس-دیورانس	Сен-Поль-ле-Дюранс
لاڈیویل	Ладивиль
لندن کے لئے نقل و حمل	Transport for London
قپچاق، قبیلہ	Кыпчаки
یوبے اسٹیٹ	Йобе
جکرکی	Жакараси
مسجد عمرو بن العاص	Мечеть Амра ибн аль-Аса
ورکاؤس	Варкаус
مسجد جینے	Великая мечеть Дженне
جلھے	Жале
فہرست ممالک بلحاظ آمدن مساوات	Список стран по показателям неравенства доходов
لاکوگوٹی-کاڈول	Лакугот-Кадуль
آرمینیا چرچ	Армянская апостольская церковь
لاجوکس، جورا، فرانکی	Лажу (Юра)
فہرست انگلستان کی رسمی کاؤنٹیاں	Список церемониальных графств Англии
سچسنھوسن (تھرنگا)	Заксенхаузен (Тюрингия)
یچینگ کاؤنٹی	Ичэн (Линьфэнь)
اشعالیت	Ревматизм
بھنگ	Бханг
دہشور	Дахшур
شوال	Шавваль
فجر	Фаджр
اسعدآباد (کنر)	Асадабад
ماولامیئن	Моламьяйн
سینٹ-گیورگس-دے-کوممیرس	Сен-Жорж-де-Комье
نہضۃ العلماء	Нахдатул Улама
لاوتیم ضلع	Лаутен
حیاتیاتی نصف حیات	Период полувыведения
یونکق	Йонк (коммуна)
سینٹ-جلیں -مومونٹ	Сен-Жюльен-Момон
سرود	Сарод
سینٹ-گرمین-لیس-صناعیلے	Сен-Жермен-ле-Сенайи
لانڈیلیس-اے-کوپیگنی	Ландель-э-Купиньи
کینبی، مینیسوٹا	Канби (город, Миннесота)
سین-ڑوش، ترن	Сент-Круа (Тарн)
سینٹ-مارٹن-لے-نوش	Сен-Мартен-ле-Вину
سینٹ-کورن	Сен-Сивран
ورنداون	Вриндавана
شمالی دارفور	Северный Дарфур
سینٹ-آندرے-لیس-ورگرس	Сент-Андре-ле-Верже
سینٹ-ایگنان، آرڈینس	Сент-Эньян (Арденны)
معاون طرزیات	Технические средства реабилитации
آزادی تنظیم	Свобода ассоциаций
کردامیر ضلع	Кюрдамирский район
ہندسیاتی طرزیات	Инженер-технолог
سنجینٹا	Syngenta
نفتچالا ضلع	Нефтечалинский район
سویٹزر لینڈ میں میناروں پر پابندی	Запрет на строительство минаретов в Швейцарии
جیکب ہرمان (ریاضی دان)	Герман, Якоб
گرمکھی	Гурмукхи
سعودی عرب کے شہر	Города Саудовской Аравии
ڈیجیٹل ایکوپمنٹ کارپوریشن	Digital Equipment Corporation
محافظات تونس	Административное деление Туниса
معاکسہ (بصارت)	Контраст
اشعاعی حیاتیات	Радиобиология
چٹان جبل الطارق	Гибралтарская скала
قرابتدار	Когнаты (лингвистика)
اورال اقتصادی علاقہ	Уральский экономический район
لا بوکا	Ла-Бока
لیوپودو	Леополдов
انسداد	Окклюзия
بوساگا	Бусога
شاہی جغرافیائی جمعیت	Королевское географическое общество
سینٹ-جلیں -سر-گروں نے	Сен-Жюльен-сюр-Гарон
ترناؤ، سٹیریا	Турнау (Штирия)
سچو	Захау (Гарделеген)
باہچے، عثمانیہ	Бахче
لگزمبرگ (صوبہ)	Люксембург (кантон)
پیاے	Пьи
لہجہ (لسانيات)	Акцент (выговор)
ریمیش (صوبہ)	Ремих (кантон)
کنگ لاؤ (مارٹل کامبیٹ)	Кун Лао
دیکیرش (صوبہ)	Дикирх (кантон)
سینٹ-کلیمنٹ، آرڈیچے	Сен-Клеман (Ардеш)
سوئٹزر لینڈ میں اسلام	Ислам в Швейцарии
دھاندلی	Нарушения на выборах
ناندیڑ ضلع	Нандед (округ)
افتون، مینیسوٹا	Афтон (город, Миннесота)
لانوڈیری	Ланодьер
تومیساتو، چیبا	Томисато
اوٹاگو	Отаго (регион)
ماچائر رابھارتیگ	Махаря-Раурти
سین-شمے	Сен-Максим
لا روشیت، ہوٹیس-الپیس	Ла-Рошет (Верхние Альпы)
ماچاکوس	Мачакос
لاباسٹیڈ-دی-لیویس	Лабастид-де-Левис
سینٹ-گرمین-دو-کرولٹ	Сен-Жермен-дю-Криу
شاہی بورو گرینچ	Гринвич (боро Лондона)
نقدی	Наличные деньги
وادی ذہب لکویرہ	Вади-эд-Дахаб-эль-Кувира
تراویح	Таравих
رچلینڈ، واشنگٹن	Ричланд (Вашингтон)
لا روشےفوکولڈ، چارینٹی	Ла-Рошфуко
سین-پیری-دولیرون	Сен-Пьер-д’Олерон
برنولی عدد	Числа Бернулли
چؤشی، چیبا	Тёси
لافری	Лаффре
اواریاساہی، ایچی	Овариасахи
شنشیرو، ایچی	Синсиро
گاماگوری	Гамагори
دیوانیہ	Эд-Дивания
مکران	Мекран
جزیرہ ہرمز	Ормуз (остров)
اسفرہ	Исфара
ارجیش	Эрджиш
جامع مسجد شیخ زايد	Мечеть шейха Зайда
جارج ٹاؤن، جزیرہ اسینشن	Джорджтаун (остров Вознесения)
عسکری فضاگاہ	Военный аэродром
حوتیات	Кетология
دائسین، اکیتا	Дайсен (Акита)
ییٹا، توچگی	Яита
ہیراکاوا، اوموری	Хиракава
دریائے انگودا	Ингода
آسمانی لالٹین	Китайский фонарик
خانیت خوقند	Кокандское ханство
جگربرگ	Ягерберг
کاتسورا، چیبا	Кацуура (город)
اچٹڈورف	Ухтдорф
جنسڑودہ	Янисрода
لاڑکانہ	Ларкана
نیسشین، ایچی	Ниссин
ییزو، شزوکا	Яидзу
آزادی عرضداشت	Петиция
تاترا - 815	Tatra T815
تریپہنا	Трипена
جزائر اوکیناوا	Окинавские острова
سچسندورف، سیکسنی-عنہالٹ	Заксендорф (Барби)
مانپو	Манпхо
ہوانگہائے	Хванхэдо
ہویچون	Хыйчхон
آرقالیق	Аркалык
آسٹریا میں مذہب	Религия в Австрии
قلعہ لیختینستائن	Лихтенштайн (замок в Австрии)
آسٹریائی آرچڈچی	Эрцгерцогство Австрия
ادے رنس	Удернс
سلطنت ویتنام	Вьетнамская империя
آسٹریا میں اسلام	Ислам в Австрии
Professional	Профессионал
سالکرایس	Зале (район)
یوناگنی، وکانوا	Йонагуни (посёлок)
جیبٹز	Ябец
کوریا کے علاقہ جات	Регионы Кореи
اچٹسپرنگ	Ухтспринге
جہرسٹدت	Ярштедт
لا سینیا	Ла-Сения
گلیڈسٹون، کوئنزلینڈ	Гладстон (Квинсленд)
آرتا، جبوتی	Арта (город, Джибути)
ارتا علاقہ	Арта (регион)
German Papiermark	Бумажная марка
سیچی شہر	Цыси (город)
توچیم	Тухайм
دریائے تاپتی	Тапти (река)
رانی شریان	Бедренная артерия
کارٹون نیٹ ورک	Cartoon Network
آرتھر اینتھونی میکڈانل	Макдонелл, Артур Энтони
بھٹنڈہ	Батхинда
سینٹ-گیورگس-سر-موسے	Сен-Жорж-сюр-Мёз
مربع کلومیٹر	Квадратный километр
فہرست ممالک بلحاظ آبادی	Список стран по населению
کظری غدہ	Надпочечники
عُضو	Орган (биология)
کارنیل رونالڈ ویسٹ	Уэст, Корнел
برسانا	Барсана
نظام سیالہ	Лимфатическая система
سات نئے عجائبات عالم	Новые семь чудес света
کواننام	Кваннам (регион)
فہرست قومی شعار بلحاظ ممالک	Список национальных девизов
سانتا ایزابیل جزیرہ	Санта-Исабель (остров)
تومین، جیلن	Тумэнь
لونگجینگ، جیلن	Лунцзин
یوزھونگ ضلع	Юйчжун
یانجی	Яньцзи
سین-اڈے	Сент-Од
سینٹ-ہوبرٹ، بیلجیم	Сент-Юбер
مغربی جرمنی	Федеративная Республика Германии (до 1990)
سینٹ-لگر، بیلجیم	Сен-Леже (Бельгия)
2030ء کی دہائی	2030-е годы
یونگچوان ضلع	Юнчуань
ماکیرا	Сан-Кристобаль (остров, Соломоновы Острова)
کرسٹس	Колледж Христа (Кембридж)
یودوک کاؤنٹی	Йодок
ہایجو	Хэджу
کمچائک	Кимчхэк
منظم کثیر الاضلاع	Правильный многоугольник
ینبیاں کوریا اوٹونوموس پریفیکچر	Яньбянь-Корейский автономный округ
آزاد ہند سرکار	Азад Хинд
پسنی	Пасни
بستی ضلع	Басти (округ)
آزاد سمندر	Мировой океан
حجر اسود	Чёрный камень
سیالویہ	Лимфоциты
ایشیاء کے ممالک	Список государств и зависимых территорий Азии
ابراہیم محمد الحمیدی	Хамди, Ибрагим Мохаммед
آیزو 639-1	ISO 639-1
فوجی قانون	Военное положение
کپتان (ایسوسی ایشن فٹ بال)	Капитан (футбол)
قرینہ (مافوق الفطرت)	Суккуб
توکچون	Токчхон
سؤنچون	Сунчхон (КНДР)
کائچون	Кэчхон
زوبکووکے سلوسکے کاؤنٹی	Зомбковицкий повят
کووینٹرے پیٹ مور	Пэтмор, Ковентри
مجمع النجوم کا رقبہ	Список созвездий по площади
بان ہوواے سائے	Хуайсай
آروائخیر	Арвайхээр
آریہ سماج	Арья-самадж
نندتا داس	Дас, Нандита
ابن الشاطر	Ибн аш-Шатир
جنوبی بحر الکاہل تعہد	Южный Тихоокеанский мандат
Old Taiwan dollar	Тайваньский доллар
مصطفی کمال پاشا (شہر)	Мустафакемальпаша
کیمبرج بے، نُناوُت	Кеймбридж-Бей
راسخ الاعتقادی بلحاظ ملک	Православие по странам
کگ لک تک، نناوت	Куглуктук
جاسک	Джаск
آلابرق	Динамо-машина
خمینی‌شہر	Хомейнишехр
جیرفت	Джирофт (город)
لاگری	Лаагри
قائن	Кайен
خورموج	Хормудж
سی این جی	Компримированный природный газ
پارس‌آباد	Парсабад
وینتیان صوبہ	Вьентьян (провинция)
گرووایور	Гуруваюр
جاروا-جانی پریش	Ярва-Яаани (волость)
نوشہر	Ноушехр
نایین	Наин
فردوس	Фердоус (город)
کاشمر	Кашмер
مھران	Мехран
اقلید	Эклид
کیرول کوئیگلی	Куигли, Кэрролл
بیجار	Биджар
پاوه	Паве
کامیاران	Камьяран
کانہاگڑ	Канхангад
اوز	Эваз (Иран)
ایزدخواست	Изед-Хаст
برازجان	Боразджан
اسلام‌آباد غرب	Исламабаде-Герб
خنج	Хондж
Coop.	.coop
خمین	Хомейн
لار، ایران	Лар (Иран)
گناباد	Гонабад
لنگرود	Ленгеруд
نجف آباد	Неджефабад
محافظہ بلقاء	Эль-Балка (мухафаза)
محافظہ اربد	Ирбид (мухафаза)
محافظہ زرقاء	Эз-Зарка (мухафаза)
جاروسواو	Ярослав (город)
سلطنت اشانتی	Ашанти (государство)
آلاتی خوانا کیٹلاگ معیار	MARC
ارتقائے کبیر	Макроэволюция
لا کروئی-آ-بویس	Ла-Круа-о-Буа
لا مونسیل	Ла-Монсель
انٹرنیشنل کرکٹ کونسل	Международный совет крикета
کینڈی ضلع	Канди (округ)
ہامبانتوتا ضلع	Хамбантота (округ)
اطالوی جمہوریہ (نیپولین)	Итальянская республика (1802—1805)
ڈربی (گھڑ دوڑ)	Дерби (конный спорт)
خسر	Тёща
سان اگناسیو، بیلیز	Сан-Игнасио (Белиз)
ایشیز	Эшес
اشفاق پرویز کیانی	Кайани, Ашфак Парвез
ایشلنڈ، اوہائیو	Ашленд (Огайо)
یونین پیسیفک	Union Pacific Railroad
عثمانی زمانہ تعطل	Османское междуцарствие
وراڈیرو	Варадеро
مخطط معطیہ	Дейтаграмма
شاہ بحرین	Список монархов Бахрейна
آکلینڈ علاقہ	Окленд (регион)
سپرنگفیلڈ، مینیسوٹا	Спрингфилд (город, Миннесота)
کوتاباتو شہر	Котабато (город)
تاریخ پاکستان	История Пакистана
ریاضی کے ہزار سالہ انعامی مسائل	Задачи тысячелетия
منشور	Хартия
مرکزی عملی اکائی ثقبہ	Список разъёмов микропроцессоров
آہنی مائع	Ферромагнитная жидкость
ملمس مصفوفہ	Матрица смежности
حورس کے چار بیٹے	Четыре сына Хора
مشرقی ضلع (ہانگ کانگ)	Восточный округ Гонконга
Unitary matrix	Унитарная матрица
ضلع کانگڑا	Кангра (округ)
رگ وید	Ригведа
پیمانیت	Масштабируемость
معرۃ النعمان	Мааррет-эн-Нууман
Jobs.	.jobs
سبنیتا، برنس	Сабанета
سینٹ-آندرے-لیز-للے	Сент-Андре-ле-Лилль
ضلع کوہستان	Кохистан (округ)
سامتسے ضلع	Самце (дзонгхаг)
تسیرانگ ضلع	Циранг (дзонгхаг)
سامدروپ جونگخار ضلع	Самдруп-Джонгхар (дзонгхаг)
وانگدو پھودرانگ ضلع	Вангди-Пходранг (дзонгхаг)
کالوتارا ضلع	Калутара (округ)
ترونگسا ضلع	Тронгса (дзонгхаг)
سارپانگ ضلع	Сарпанг (дзонгхаг)
باری، صومالیہ	Бари (Сомали)
ایشیائی کھیل 1954	Летние Азиатские игры 1954
ایشیائی کھیل 1958	Летние Азиатские игры 1958
ایشیائی کھیل 1978	Летние Азиатские игры 1978
سینٹ-اندےش	Сент-Андё
ایشیائی کھیل 1982	Летние Азиатские игры 1982
ایشیائی کھیل 1990	Летние Азиатские игры 1990
ایشیائی کھیل 1994	Летние Азиатские игры 1994
ایشیائی کھیل 1998	Летние Азиатские игры 1998
سام نوا ضلع	Самныа
مملکت زولو	Страна зулусов
شوجی نکامورا	Накамура, Сюдзи
خود مختار جمہوریہ شمالی اپیروس	Автономная Республика Северного Эпира
بیمیجی، مینیسوٹا	Бемиджи
بیور	Бевар
لندن بورو سدرک	Саутуарк (боро Лондона)
واجیر	Ваджир
جی ایس 1	GS1
خوود (شہر)	Ховд
لانزویلا	Лансуэла
پ	Пе (буква персидского алфавита)
سینٹ-گیورگس، فرنچ گیانا	Сен-Жорж (Французская Гвиана)
دیوریا ضلع	Деория (округ)
ایریک کانویل	Канюэль, Эрик
ابن جوزی	Абуль-Фарадж ибн аль-Джаузи
15 (ضد ابہام)	15 (значения)
روہنٹن مستری	Мистри, Рохинтон
ثقبہ 7	Socket 7
حکیم اللہ محسود	Мехсуд, Хакимулла
طاہر القادری	Кадри, Тахир
آستر	Есфирь
ابن سعد البغدادی	Ибн Сад аль-Багдади
ملک راج آنند	Ананд, Мулк Радж
لا فیریری، کوٹیس-دارمور	Ла-Ферьер (Кот-д’Армор)
گل نمدا	Гайлардия
سینٹ-مارٹن-دس-پیٹس	Сен-Мартен-де-Пюи
سبونرس	Сабоннер
گرداب	Вихрь (гидродинамика)
ضلع فاتح	Фатих
راشد بن سعید آل مکتوم	Рашид ибн Саид аль-Мактум
سین-پال-دے-ورسے	Сен-Поль-де-Варс
سینٹ-کلیمنٹ-دس-بلینس	Сен-Клеман-де-Бален
جگقارا	Жагуакара
سینٹ-مارسیل-کمپس	Сен-Марсель-Камп
زستاپونی	Зестафони
منوبہ	Мануба (вилайет)
کرس فینی گن	Финнеган, Крис
یونیزاوا، یاماگاتا	Йонедзава
سوکا	Сока
یتسھیرو، کمموٹو	Яцусиро (город)
سچائی کی انجیل	Евангелие Истины
جے پرکاش نرائن	Нараян, Джаяпракаш
سینٹ-چمنت، کنٹل	Сен-Шаман (Канталь)
سینٹ-جلیں -گلنے	Сен-Жюльен-Голен
ایکالینن	Икаалинен
داگانا ضلع	Дагана (дзонгхаг)
محافظہ کرک	Эль-Карак (мухафаза)
سکوۓ	Сакуэ
کارینا	Каарина
یلیویسکا	Юливиеска
جنید بغدادی	Аль-Джунайд аль-Багдади
نجم الدین ایوب	Наджм ад-Дин Айюб ибн Шади
آیزو 3166-2:BG	ISO 3166-2:BG
آیزو 3166-2:AT	ISO 3166-2:AT
سمینتھا ریان	Саманта Райан
جنگ صفین	Сиффинская битва
سینٹ-مارٹن-ڈان	Сен-Мартен-Дон
سینٹ-جلیں -لے-پلڑیں	Сен-Жюльен-ле-Пелерен
سینٹ-ہلیری-دو-ہرکووٹ	Сен-Илер-дю-Аркуё
مصوفہ معاونتی ترتاش التفاظ/تائین	Матрично-активированная лазерная десорбция/ионизация
توسنیمی	Туусниеми
برنزویل، مینیسوٹا	Бернсвилл (город, Миннесота)
ومبلڈن، لندن	Уимблдон
چکوری ہئیت	Квадратичная форма
عثمانلی	Османели
لشکر طیبہ	Лашкаре-Тайба
صور، عمان	Сур (Оман)
نورستانی قوم	Нуристанцы
نوقطب شمالی ماحولیاتی خطہ	Неарктика
جزیرہ سیباتک	Себатик
برگاما	Бергама
سینٹ-گونو	Сен-Гуэно
برج مملکت	Kingdom Tower
افتخار محمد چوہدری	Чоудхри, Ифтихар Мухаммад
شاطبہ	Хатива
لؤگا علاقہ	Луга (область)
کولدا علاقہ	Колда (область)
عاطف دوداکووچ	Дудакович, Атиф
سینٹ-لارنٹ، چر	Сен-Лоран (Шер)
عصابہ علاقہ	Ассаба
ہاکہا	Хакха
حمداللہ مستوفی	Хамдаллах Казвини
سین-سون، وین	Сен-Савен (Вьенна)
ویتوی	Ситуэ
خطبہ	Хутба
بوتو	Буто (древний город)
ٹینبریج	Тинбридж
دریائے ہگلی	Хугли (река)
سینٹ-میڈرڈ، ہوتے-گروں نے	Сен-Медар (Верхняя Гаронна)
توسن	Тюссон
یونیسف	ЮНИСЕФ
آیزو 3166-2:AF	ISO 3166-2:AF
کیشیوادا، اوساکا	Кисивада
سگنس-یت-گودولت	Сань-э-Гудуле
اسپانیا	Византийская Испания
لامیرڈ	Ламерд
سر رچرڈ ڈول	Долл, Ричард
ژزقازغان	Жезказган
اڑن قالین	Ковёр-самолёт
کلارکز گروو، مینیسوٹا	Кларкс-Гроув (город, Миннесота)
فرق مساوات	Рекуррентное уравнение
سینٹ-دسرے	Сен-Дезире
خواجہ معین الدین چشتی	Муинуддин Чишти
سینٹ-کروسٹوفے-این -ایسنس	Сен-Кристоф-ан-Уазан
سینٹ-ادرین	Сент-Адриен (Франция)
لابویرڈا	Лабуэрда
سین-ڑوش، اسنے	Сент-Круа (Эна)
لا فولی	Ла-Фоли
کیورو	Кеуруу
19 (ضد ابہام)	19 (значения)
شوارزچائلڈ میٹرک	Метрика Шварцшильда
جان بل	Джон Булль
