Aprika	Африка
Cigudosa	Сигудоса
Candilichera	Кандиличера
Ausejo de la Sierra	Аусехо-де-ла-Сьерра
Carabantes	Карабантес (Сория)
Soliedra	Сольедра
Taroda	Тарода
Nepas	Непас
Valtajeros	Вальтахерос
Arévalo de la Sierra	Аревало-де-ла-Сьерра
Pozalmuro	Посальмуро
Cabrejas del Pinar	Кабрехас-дель-Пинар
Villasayas	Вильясаяс
Cubilla	Кубилья
Castillejo de Robledo	Кастильехо-де-Робледо
Escobosa de Almazán	Эскобоса-де-Альмасан
Estepa de San Juan	Эстепа-де-Сан-Хуан
Carrascosa de la Sierra	Карраскоса-де-ла-Сьерра
Las Aldehuelas	Лас-Альдеуэлас
Bayubas de Arriba	Баюбас-де-Арриба
Borobia	Боробия
Bliecos	Бльекос
Buberos	Буберос
Muriel Viejo	Мурьель-Вьехо
Oncala	Онкала
Fuentecambrón	Фуэнтекамброн
Cabrejas del Campo	Кабрехас-дель-Кампо
Frechilla de Almazán	Фречилья-де-Альмасан
Valdelagua del Cerro	Вальделагуа-дель-Серро
Ciria	Сирия (Сория)
Buitrago	Буитраго
Talveila	Тальвейла
Salduero	Сальдуэро
Fuentes de Magaña	Фуэнтес-де-Маганья
Viana de Duero	Вьяна-де-Дуэро
Tardelcuende	Тарделькуэнде
Duruelo de la Sierra	Дуруэло-де-ла-Сьерра
Bayubas de Abajo	Баюбас-де-Абахо
Fuentearmegil	Фуэнтеармехиль
Fuentelmonge	Фуэнтельмонхе
Rollamienta	Рольямьента
Villar del Ala	Вильяр-дель-Ала
Velilla de los Ajos	Велилья-де-лос-Ахос
Momblona	Момблона
Fresno de Caracena	Фресно-де-Карасена
Valdegeña	Вальдехенья
Velamazán	Веламасан
Torlengua	Торленгуа
Fuentecantos	Фуэнтекантос
Carrascosa de Abajo	Карраскоса-де-Абахо
Pinilla del Campo	Пинилья-дель-Кампо
Serón de Nágima	Серон-де-Нахима
Blacos	Блакос
Valdeavellano de Tera	Вальдеавельяно-де-Тера
Narros	Наррос
Valdeprado	Вальдепрадо
Borjabad	Борхабад
Fuentelsaz de Soria	Фуэнтельсас-де-Сория
San Leonardo de Yagüe	Сан-Леонардо-де-Ягуэ
Muriel de la Fuente	Мурьель-де-ла-Фуэнте
Villar del Río	Вильяр-дель-Рио
Valderrodilla	Вальдерродилья
Espejón	Эспехон
Liceras	Лисерас
Matalebreras	Маталебрерас
Quintana Redonda	Кинтана-Редонда
Nafría de Ucero	Нафрия-де-Усеро
Sotillo del Rincón	Сотильо-дель-Ринкон
Torrubia de Soria	Торрубия-де-Сория
Noviercas	Новьеркас
Tajueco	Тахуэко
Valdenebro	Вальденебро
Villaciervos	Вильясьервос
Villanueva de Gormaz	Вильянуэва-де-Гормас
Yelo (Spen)	Ело (Испания)
Montenegro de Cameros	Монтенегро-де-Камерос
Ucero	Усеро
Langa de Duero	Ланга-де-Дуэро
Quiñonería	Киньонерия
Villar del Campo	Вильяр-дель-Кампо
Portillo de Soria	Портильо-де-Сория
Gormaz	Гормас
Santa Cruz de Yanguas	Санта-Крус-де-Янгуас
Villaseca de Arciel	Вильясека-де-Арсьель
Reznos	Реснос
Cueva de Ágreda	Куэва-де-Агреда
Nolay	Нолай
Cirujales del Río	Сирухалес-дель-Рио
Caracena	Карасена (Сория)
Cubo de la Solana	Кубо-де-ла-Солана
Miño de San Esteban	Миньо-де-Сан-Эстебан
Fuentestrún	Фуэнтеструн
Espeja de San Marcelino	Эспеха-де-Сан-Марселино
Matamala de Almazán	Матамала-де-Альмасан
La Póveda de Soria	Ла-Поведа-де-Сория
Los Rábanos	Лос-Рабанос
Quintanas de Gormaz	Кинтанас-де-Гормас
Velilla de la Sierra	Велилья-де-ла-Сьерра
Valdemaluque	Вальдемалуке
San Felices	Сан-Фелисес
Renieblas	Реньеблас
Morón de Almazán	Морон-де-Альмасан
Los Villares de Soria	Лос-Вильярес-де-Сория
Torreblacos	Торреблакос
Vizmanos (Soria)	Висманос
Tejado	Техадо
Retortillo de Soria	Ретортильо-де-Сория
Herrera de Soria	Эррера-де-Сория
Deza	Деса
Monteagudo de las Vicarías	Монтеагудо-де-лас-Викариас
La Riba de Escalote	Ла-Риба-де-Эскалоте
Montejo de Tiermes	Монтехо-де-Тьермес
La Losilla	Ла-Лосилья
Recuerda	Рекуэрда
Tajahuerce	Тахауэрсе
Santa María de las Hoyas	Санта-Мария-де-лас-Ойяс
Fuentepinilla	Фуэнтепинилья
Golmayo	Гольмайо
Rioseco de Soria	Риосеко-де-Сория
Gómara, Soria	Гомара
Barca, Soria	Барка (Сория)
Niu Ailan	Новая Ирландия (провинция)
Kinsale	Кинсейл
Cihuela	Сиуэла
Pilosopi long Wes	Западная философия
Trabadelo	Трабадело
Hospital de Órbigo	Оспиталь-де-Орбиго
Villafranca del Bierzo	Вильяфранка-дель-Бьерсо
Sepik	Сепик (река)
Westen Provins	Западная провинция (Папуа — Новая Гвинея)
Sauten Hailans	Саутерн-Хайлендс
Westen Hailans	Уэстерн-Хайлендс
Isten Hailans	Истерн-Хайлендс
Morobe	Моробе
Buñol	Буньоль
Enga	Энга
Manus	Манус (провинция)
Sentral Provins	Центральная провинция (Папуа — Новая Гвинея)
Milen Be	Милн-Бей
Gulf Provins	Галф (провинция)
Villadangos del Páramo	Вильядангос-дель-Парамо
Vega de Valcarce	Вега-де-Валькарсе
Valverde de la Virgen	Вальверде-де-ла-Вирхен
Olmedillo de Roa (Burgos)	Ольмедильо-де-Роа
Calzada del Coto	Кальсада-дель-Кото
Valdesamario	Вальдесамарио
Val de San Lorenzo	Валь-де-Сан-Лоренсо
Villaquilambre	Вильякиламбре
Valdemora	Вальдемора
Espinosa del Camino (Burgos)	Эспиноса-дель-Камино
Villares de Órbigo	Вильярес-де-Орбиго
Orbaneja Riopico (Burgos)	Орбанеха-Риопико
Nebreda (Burgos)	Небреда
Paul L. Smith	Смит, Пол Лоуренс
Galbarros (Burgos)	Гальбаррос
Tony Ramos	Тони Рамос
Riego de la Vega	Риего-де-ла-Вега
Benuza	Бенуса
Villamanín	Вильяманин
Molinos de Duero	Молинос-де-Дуэро
Vozmediano	Восмедьяно
Hinojosa del Campo	Инохоса-дель-Кампо
Budka Suflera	Budka Suflera
Mendi	Менди (Папуа — Новая Гвинея)
Vanimo	Ванимо
Kavieng	Кавиенг
Maun Hagen	Маунт-Хаген
Kokopo	Кокопо
Popondetta	Попондетта
Lorengau	Лоренгау
Wewak	Вевак
Rello	Рельо
Casey Kasem	Кейсем, Кейси
Rebollar	Ребольяр (Сория)
Garray	Гаррай
Iglesias (Burgos)	Иглесиас (Бургос)
Plak bilong Ista Ailan	Флаг Острова Пасхи
Bembibre	Бембибре
Takuu	Такуу
Ples balus	Аэропорт
Pat Carroll	Кэрролл, Пэт
Kerema (taun)	Керема
Tim Conway	Конуэй, Тим
Lamington (maunten)	Ламингтон (вулкан)
Nesenel Kapitol Distrik	Национальный столичный округ (Папуа — Новая Гвинея)
Cármenes	Карменес
Palacios del Sil	Паласьос-дель-Силь
Cabrillanes	Кабрильянес
Grup:Siamani	Категория:Германия
Grup:Itali	Категория:Италия
Grup:Ol Yunaitet Stet	Категория:США
Grup:Kanada	Категория:Канада
Grup:Yunaitet Kingdom	Категория:Великобритания
Grup:Spen	Категория:Испания
Grup:Siapan	Категория:Япония
Grup:Ostrelia	Категория:Австралия
Grup:India	Категория:Индия
Grup:Isrel	Категория:Израиль
Grup:Ijip	Категория:Египет
Grup:Niu Silan	Категория:Новая Зеландия
La Bañeza	Ла-Баньеса
Carracedelo	Карраседело
Carucedo	Каруседо
Corullón	Корульон
Castrocontrigo	Кастроконтриго
Fabero	Фаберо
Grup:Indonisia	Категория:Индонезия
Grup:Irak	Категория:Ирак
Grup:Polan	Категория:Польша
Grup:Saut Koria	Категория:Южная Корея
Grup:Tailan	Категория:Таиланд
Grup:Yukren	Категория:Украина
Grup:Vietnam	Категория:Вьетнам
Grup:Ol pisin	Категория:Птицы
Grup:Ol Sayor	Категория:Растения
Grup:Save long Laip	Категория:Биология
Grup:Kemistri	Категория:Химия
Grup:Histori	Категория:История
Grup:Save long giraun	Категория:География
Grup:Sosaiti	Категория:Общество
Grup:Lotu	Категория:Религия
Grup:Saiens	Категория:Наука
Grup:Giraun	Категория:Земля
Mun	Мун
Vegas del Condado	Вегас-дель-Кондадо
Borrenes	Борренес
Santovenia de la Valdoncina	Сантовения-де-ла-Вальдонсина
La Pola de Gordón	Ла-Пола-де-Гордон
Villablino	Вильяблино
Torre del Bierzo	Торре-дель-Бьерсо
Vega de Espinareda	Вега-де-Эспинареда
Barjas	Бархас
Cistierna	Систьерна
Jurisdicción de Lara (Burgos)	Хурисдиксьон-де-Лара
Arganza (León)	Арганса
Valdevimbre	Вальдевимбре
Villaturiel	Вильятурьель
Valdepolo	Вальдеполо
Gumiel de Mercado (Burgos)	Гумьель-де-Меркадо
Oquillas (Burgos)	Окильяс
Villamañán	Вильяманьян
Puente de Domingo Flórez	Пуэнте-де-Доминго-Флорес
Olmillos de Muñó (Burgos)	Ольмильос-де-Муньо
Encío (Burgos)	Энсио
Ibeas de Juarros (Burgos)	Ибеас-де-Хуаррос
Urdiales del Páramo	Урдьялес-дель-Парамо
Sena de Luna	Сена-де-Луна
Oña (Burgos)	Онья
Grisaleña (Burgos)	Грисаленья
Zazuar (Burgos)	Сасуар
Zarzosa de Río Pisuerga (Burgos)	Сарсоса-де-Рио-Писуэрга
Zael (Burgos)	Саэль (Испания)
Lerma (Burgos)	Лерма (Испания)
Villaquejida	Вильякехида
Sariegos	Сарьегос
Corbillos de los Oteros	Корбильос-де-лос-Отерос
Vega de Infanzones	Вега-де-Инфансонес
Peranzanes	Перансанес
Sabero	Саберо
Candín (León)	Кандин
Valderrueda	Вальдерруэда
Puebla de Lillo	Пуэбла-де-Лильо
Soto y Amío	Сото-и-Амио
Laguna de Negrillos	Лагуна-де-Негрильос
Villarejo de Órbigo	Вильярехо-де-Орбиго
La Vecilla	Ла-Весилья
San Andrés del Rabanedo	Сан-Андрес-дель-Рабанедо
Villazala	Вильясала
Villamontán de la Valduerna	Вильямонтан-де-ла-Вальдуэрна
Nava de Roa (Burgos)	Нава-де-Роа
Villasabariego	Вильясабарьего
Oencia	Оэнсия
Encinedo	Энсинедо
Zuñeda (Burgos)	Суньеда
Escobar de Campos	Эскобар-де-Кампос
Destriana	Дестриана
Villagatón	Вильягатон
Laguna Dalga	Лагуна-Дальга
Iglesiarrubia (Burgos)	Иглесьяррубия
Gumiel de Izán (Burgos)	Гумьель-де-Исан
Posada de Valdeón	Посада-де-Вальдеон
Valderrey	Вальдеррей
Joarilla de las Matas	Хоарилья-де-лас-Матас
Neila (Burgos)	Нейла
Santiago Millas	Сантьяго-Мильяс
Turcia	Турсия
Prioro	Приоро
Valdelugueros	Вальделугерос
Santas Martas	Сантас-Мартас
Vegaquemada	Вегакемада
Pobladura de Pelayo García	Побладура-де-Пелайо-Гарсия
Navas de Bureba (Burgos)	Навас-де-Буреба
Vegacervera	Вегасервера
San Adrián del Valle	Сан-Адриан-дель-Валье
Valdefuentes del Páramo	Вальдефуэнтес-дель-Парамо
Jaramillo Quemado (Burgos)	Харамильо-Кемадо
Jaramillo de la Fuente (Burgos)	Харамильо-де-ла-Фуэнте
La Gallega (Burgos)	Ла-Гальега
Villabraz	Вильябрас
Villamejil	Вильямехиль
Villaornate y Castro	Вильяорнате-и-Кастро
Valverde-Enrique	Вальверде-Энрике
Villaobispo de Otero	Вильяобиспо-де-Отеро
Oseja de Sajambre	Осеха-де-Сахамбре
Villazanzo de Valderaduey	Вильясансо-де-Вальдерадуэй
Villanueva de las Manzanas	Вильянуэва-де-лас-Мансанас
Villamandos	Вильямандос
Villamol	Вильямоль
Villaselán	Вильяселан
Villamoratiel de las Matas	Вильяморатьель-де-лас-Матас
Toral de los Guzmanes	Тораль-де-лос-Гусманес
Benavides	Бенавидес
Junta de Villalba de Losa (Burgos)	Хунта-де-Вильяльба-де-Лоса
Estépar (Burgos)	Эстепар
Carrizo	Каррисо
Vallecillo	Вальесильо
Espinosa de Cervera (Burgos)	Эспиноса-де-Сервера
Úrbel del Castillo (Burgos)	Урбель-дель-Кастильо
Grijalba (Burgos)	Грихальба
Balboa (León)	Бальбоа (Леон)
Ranko Matasović	Матасович, Ранко
Villadecanes	Вильядеканес
Regina Duarte	Дуарте, Режина
Grup:Ol pes bilong kliaim ol link	Категория:Многозначные термины
Grup:Pilosopi	Категория:Философия
Grup:Saikolosi	Категория:Психология
Grup:Budisim	Категория:Буддизм
Grup:Kristen	Категория:Христианство
Grup:Islam	Категория:Ислам
Isar (Burgos)	Исар
Pangu Pati	Партия Пангу
Histori long Papua Niugini	История Папуа — Новой Гвинеи
Benedicta Boccoli	Бенедикта Бокколи
Carolina Ferraz	Феррас, Каролина
Wabag	Вабаг
Thiago Lacerda	Тьяго Ласерда
Conrad Bain	Бэйн, Конрад
Grup:Ol pes i liklik tumas	Категория:Незавершённые статьи
Grup:Ol planet	Категория:Планеты
Grup:Kontinen	Категория:Континенты
Lenny Henry	Генри, Ленни
Templet:Footer SolarSystem	Шаблон:Солнечная система
Templet:T	Шаблон:Tl
Templet:Babel bokis	Шаблон:Userbox
Susan Egan	Иган, Сьюзан
Templet:Wikipediatokples	Шаблон:Wikipedialang
Grup:Ol kantri	Категория:Страны
Grup:Ekonomikis	Категория:Экономика
Wikipedia:Administrators	Википедия:Администраторы
Grup:Manmeri	Категория:Люди
Wikipedia:AutoWikiBrowser	Википедия:AutoWikiBrowser
Grup:Politikis	Категория:Политика
Grup:Saiens bilong ai	Категория:Оптика
Ijip	Египет
Templet:Bot	Шаблон:Bot
Kanada	Канада
Grup:Hangari	Категория:Венгрия
Grup:Estonia	Категория:Эстония
Grup:Gris	Категория:Греция
Grup:Latvia	Категория:Латвия
Grup:Aislan	Категория:Исландия
Grup:Lituwenia	Категория:Литва
Grup:Slovakia	Категория:Словакия
Wikipedia:Copyrights	Википедия:Авторские права
Templet:Flagicon	Шаблон:Флаг
Grup:Ol kantri long Yurop	Категория:Страны Европы
Grup:Yurop	Категория:Европа
Templet:Template doc	Шаблон:Doc
Grup:Yusa tokples	Категория:Википедия:Участники по языкам
Wikipedia:Faipela lo	Википедия:Пять столпов
Sung Jae-gi	Сон Джэги
Bulmakau	Крупный рогатый скот
Templet:Softredirect	Шаблон:Soft redirect
Templet:Delete	Шаблон:К быстрому удалению
Grup:Ol tokples	Категория:Языки
Grup:Grama	Категория:Грамматика
Solija	Солдат
Grup:Ol siti na taun bilong kantri	Категория:Населённые пункты по странам
Templet:Navbox	Шаблон:Navbox
Bikpela magani	Кенгуру
Templet:Shortcut	Шаблон:Shortcut
Nina Andrycz	Андрыч, Нина
Templet:!-	Шаблон:!-
Templet:!!	Шаблон:!!
Templet:Tnavbar	Шаблон:Tnavbar
Templet:Unicode	Шаблон:Unicode
Templet:Small	Шаблон:Small
Templet:Clear	Шаблон:Clear
Templet:Color	Шаблон:Color
Templet:Nowrap	Шаблон:Nobr
Templet:Anchor	Шаблон:Якорь
Wikipedia:Ol pes i mas stap long Wikipedia	Википедия:Список статей, которые должны быть во всех языковых версиях
Grup:Elektroniks	Категория:Электроника
Templet:Babel	Шаблон:Babel
Templet:Commons	Шаблон:Commons
Templet:Reflist	Шаблон:Примечания
Templet:Stub	Шаблон:Заготовка
Templet:User ar-1	Шаблон:User ar-1
Templet:User ast-1	Шаблон:User ast-1
Templet:User az	Шаблон:User az
Templet:Yusa eo-1	Шаблон:User eo-1
Templet:See also	Шаблон:См. также
Templet:User da	Шаблон:User da
Templet:User ca-1	Шаблон:User ca-1
Templet:User cs-1	Шаблон:User cs-1
Templet:User eo-3	Шаблон:User eo-3
Templet:User de	Шаблон:User de
Templet:User de-1	Шаблон:User de-1
Templet:User el	Шаблон:User el
Templet:User es	Шаблон:User es
Templet:User de-3	Шаблон:User de-3
Templet:User en-3	Шаблон:User en-3
Templet:User en-1	Шаблон:User en-1
Templet:User en-2	Шаблон:User en-2
Templet:User eo-2	Шаблон:User eo-2
Templet:User en-4	Шаблон:User en-4
Templet:User en-0	Шаблон:User en-0
Templet:User en	Шаблон:User en
Templet:User de-2	Шаблон:User de-2
Templet:User es-1	Шаблон:User es-1
Templet:User fa	Шаблон:User fa
Templet:User fr-1	Шаблон:User fr-1
Grup:Laip	Категория:Жизнь
Templet:User hu-N	Шаблон:User hu
Templet:User sk	Шаблон:User sk
Templet:User tr-2	Шаблон:User tr-2
Templet:User fr-2	Шаблон:User fr-2
Templet:User ja	Шаблон:User ja
Templet:User ja-1	Шаблон:User ja-1
Templet:User it-1	Шаблон:User it-1
Templet:User fr	Шаблон:User fr
Templet:Unsigned	Шаблон:Unsigned
Templet:Country data Tajikistan	Шаблон:Флагификация/Таджикистан
Grup:Azerbaijan	Категория:Азербайджан
Grup:Esia	Категория:Азия
Grup:Castile na León	Категория:Кастилия и Леон
Templet:Country data Kuwait	Шаблон:Флагификация/Кувейт
Templet:Mod	Шаблон:Mod
Templet:User es-2	Шаблон:User es-2
Templet:NewUser	Шаблон:Приветствие
Templet:Ref-ru	Шаблон:Ref-ru
Templet:WikipediaSista	Шаблон:Сообщество Википедии
Templet:Country data Belgium	Шаблон:Флагификация/Бельгия
Templet:Country data Slovakia	Шаблон:Флагификация/Словакия
Templet:Country data El Salvador	Шаблон:Флагификация/Сальвадор
Templet:Country data Panama	Шаблон:Флагификация/Панама
Templet:Country data Tunisia	Шаблон:Флагификация/Тунис
Templet:Country data Czech Republic	Шаблон:Флагификация/Чехия
Templet:Country data Cuba	Шаблон:Флагификация/Куба
Templet:Country data Indonesia	Шаблон:Флагификация/Индонезия
Templet:Country data Senegal	Шаблон:Флагификация/Сенегал
Templet:Country data Madagascar	Шаблон:Флагификация/Мадагаскар
Templet:Country data Albania	Шаблон:Флагификация/Албания
Templet:Country data Macau	Шаблон:Флагификация/Макао
Templet:Country data Kenya	Шаблон:Флагификация/Кения
Templet:Country data Republic of China	Шаблон:Флагификация/Китайская Республика
Templet:Country data Nicaragua	Шаблон:Флагификация/Никарагуа
Templet:Country data Honduras	Шаблон:Флагификация/Гондурас
Templet:Country data Uzbekistan	Шаблон:Флагификация/Узбекистан
Templet:Country data Dominican Republic	Шаблон:Флагификация/Доминиканская Республика
Templet:Country data Togo	Шаблон:Флагификация/Того
Templet:Country data Guatemala	Шаблон:Флагификация/Гватемала
Grup:Lingwistikis	Категория:Лингвистика
Templet:Country data Haiti	Шаблон:Флагификация/Гаити
Templet:Country data Mali	Шаблон:Флагификация/Мали
Templet:Country data Iceland	Шаблон:Флагификация/Исландия
Templet:Country data Poland	Шаблон:Флагификация/Польша
Templet:ITA	Шаблон:ITA
Templet:Country data Bulgaria	Шаблон:Флагификация/Болгария
Templet:Country data Bosnia and Herzegovina	Шаблон:Флагификация/БиГ
Templet:Cc-by-sa-3.0	Шаблон:CC-BY-SA-3.0
Grup:Yusa fr-1	Категория:User fr-1
Templet:Country data Norway	Шаблон:Флагификация/Норвегия
Templet:Country data South Africa	Шаблон:Флагификация/ЮАР
Templet:Country data Trinidad and Tobago	Шаблон:Флагификация/Тринидад и Тобаго
Templet:Country data Sri Lanka	Шаблон:Флагификация/Шри-Ланка
Templet:Country data Mexico	Шаблон:Флагификация/Мексика
Templet:Country data Greece	Шаблон:Флагификация/Греция
Templet:Country data Luxembourg	Шаблон:Флагификация/Люксембург
Templet:Country data Saudi Arabia	Шаблон:Флагификация/Саудовская Аравия
Templet:Country data Croatia	Шаблон:Флагификация/Хорватия
Templet:Country data United Arab Emirates	Шаблон:Флагификация/ОАЭ
Templet:Country data U.S. Virgin Islands	Шаблон:Флагификация/Виргинские Острова (США)
Templet:Country data Morocco	Шаблон:Флагификация/Марокко
Templet:Collapsible list	Шаблон:Collapsible list
Templet:Country data Ostrelia	Шаблон:Флагификация/Австралия
Templet:Country data France	Шаблон:Флагификация/Франция
Templet:Ambox	Шаблон:Ambox
Templet:Steady	Шаблон:Нет изменений
Templet:Infobokis Kantri	Шаблон:Государство
Templet:Column-count	Шаблон:Column-count
Templet:Country data Laos	Шаблон:Флагификация/Лаос
Templet:Fi icon	Шаблон:Ref-fi
Templet:Collapsible option	Шаблон:Опция скрытия
Templet:Str left	Шаблон:Str left
Templet:Country data Nepal	Шаблон:Флагификация/Непал
Templet:Country data Finland	Шаблон:Флагификация/Финляндия
Templet:Country data Japan	Шаблон:Флагификация/Япония
Templet:Country data Netherlands	Шаблон:Флагификация/Нидерланды
Templet:Cite journal	Шаблон:Cite journal
Templet:Country data Azerbaijan	Шаблон:Флагификация/Азербайджан
Templet:User es-0	Шаблон:User es-0
Templet:Country data Libya	Шаблон:Флагификация/Ливия
Grup:Yusa en-4	Категория:User en-4
Grup:Yusa en	Категория:User en
Grup:Yusa en-2	Категория:User en-2
Templet:Infobokis	Шаблон:Карточка
Templet:Yusa eo	Шаблон:User eo
Templet:User zh	Шаблон:User zh
Templet:Navbox/core	Шаблон:Navbox/core
Templet:Template other	Шаблон:Template other
Templet:Legend	Шаблон:Легенда
Templet:Country data Italy	Шаблон:Флагификация/Италия
Templet:Ombox	Шаблон:Ombox
Templet:Cc-by-2.5	Шаблон:CC-BY-2.5
Templet:Pp-template	MediaWiki:Protectedpagetext
Templet:·	Шаблон:·
Templet:Ol daireksion	Шаблон:Стороны света
Templet:Wiktionary	Шаблон:Викисловарь
Templet:Mbox templates	Шаблон:Mbox templates
Templet:Country data Sweden	Шаблон:Флагификация/Швеция
Templet:Ref-lang	Шаблон:Ref-lang
Grup:Egrikalsa	Категория:Сельское хозяйство
Templet:Infobokis Setelmen	Шаблон:НП
Templet:User ru	Шаблон:User ru
Templet:IPA	Шаблон:IPA1
Grup:Ol planet bilong Sola Sistem	Категория:Планеты Солнечной системы
Templet:Country data Costa Rica	Шаблон:Флагификация/Коста-Рика
Templet:Country data India	Шаблон:Флагификация/Индия
Grup:Language user templates	Категория:Шаблоны участников:По языкам
Templet:Rellink	Шаблон:Rellink
Templet:MONTHNAME	Шаблон:MONTHNAME
Templet:Commons category-inline	Шаблон:Commonscat-inline
Templet:Cc-by-sa-2.5	Шаблон:CC-BY-SA-2.5
Templet:Country data European Union	Шаблон:Флагификация/Европейский союз
Templet:Country data Portugal	Шаблон:Флагификация/Португалия
Templet:MONTHNUMBER	Шаблон:MONTHNUMBER
Templet:Taxobox colour	Шаблон:Taxobox color
Grup:Kantri data bilong ol plak templet	Категория:Шаблоны:Флагификация
Templet:Namespace detect	Шаблон:Namespace detect
Templet:PD-USGov	Шаблон:PD-USGov
Templet:Fmbox	Шаблон:Fmbox
Templet:Country data China	Шаблон:Флагификация/Китай
Templet:Country data Inglan	Шаблон:Флагификация/Англия
Templet:Country data Turkey	Шаблон:Флагификация/Турция
Templet:Country data Switzerland	Шаблон:Флагификация/Швейцария
Templet:Tok-cs	Шаблон:Lang-cs
Templet:Country data Philippines	Шаблон:Флагификация/Филиппины
Templet:Country data Malaysia	Шаблон:Флагификация/Малайзия
Templet:Country data Zimbabwe	Шаблон:Флагификация/Зимбабве
Templet:Infobokis Plak	Шаблон:Карточка флага
Templet:Infobokis Planet	Шаблон:Карточка планеты
Grup:Politikis long kontinen	Категория:Политика по регионам
Templet:Ethnologue	Шаблон:Ethnologue
Templet:Infobokis Websait	Шаблон:Карточка сайта
Templet:SCO	Шаблон:SCO
Templet:Documentation subpage	Шаблон:Docpage
Templet:CcTLD	Шаблон:Национальные домены верхнего уровня
Templet:POL	Шаблон:POL
Templet:Div col	Шаблон:Кол
Templet:Tok-de	Шаблон:Lang-de
Templet:Cc-by-3.0	Шаблон:CC-BY-3.0
Templet:Tok-la	Шаблон:Lang-la
Templet:Harim stori	Шаблон:Слушать статью
Templet:Unreferenced	Шаблон:Нет ссылок
Templet:Year nav	Шаблон:Навигация для года
Grup:Ples balus long Vietnam	Категория:Аэропорты Вьетнама
Templet:Emergency-bot-shutoff	Шаблон:Аварийное выключение бота
Templet:User pl-1	Шаблон:User pl-1
Templet:Prettytable	Шаблон:Prettytable
Templet:Cc-by-1.0	Шаблон:CC-BY-1.0
Templet:Transl	Шаблон:Transl
Templet:Infobokis kantri bilong bipo	Шаблон:Историческое государство
Templet:Redirect	Шаблон:Перенаправление
Templet:Age in days	Шаблон:Days between
Templet:Cc-by-sa-2.0	Шаблон:CC-BY-SA-2.0
Templet:JULIANDAY	Шаблон:JULIANDAY
Templet:Infobokis Kontinen	Шаблон:Материк
Templet:User de-0	Шаблон:User de-0
Templet:Ol de bilong dispela wik	Шаблон:Неделя
Templet:Nobold	Шаблон:Nobold
Templet:Gregorian serial date	Шаблон:GSD
Grup:Yusa ja-N	Категория:User ja-N
Templet:Cc-by-sa-2.5,2.0,1.0	Шаблон:CC-BY-SA-2.5,2.0,1.0
Templet:Tok-ru	Шаблон:Lang-ru
Templet:Br separated entries	Шаблон:Br separated entries
Templet:FebrueriKalendar	Шаблон:Календарь на февраль
Templet:Disambig	Шаблон:Неоднозначность
Templet:Country data Hong Kong	Шаблон:Флагификация/Гонконг
Grup:Niuspepa	Категория:Газеты
Templet:Para	Шаблон:Para
Templet:User no	Шаблон:User no
Templet:Tok-en	Шаблон:Lang-en
Templet:PD-user	Шаблон:PD-user
Templet:Mp	Шаблон:Mp
Templet:Country data Qatar	Шаблон:Флагификация/Катар
Templet:User it-2	Шаблон:User it-2
Templet:Ref-de	Шаблон:Ref-de
Templet:Geological range	Шаблон:Диапазон времени
Templet:Country data Israel	Шаблон:Флагификация/Израиль
Templet:Nts	Шаблон:Nts
Templet:Country data Pakistan	Шаблон:Флагификация/Пакистан
Templet:Country data Ghana	Шаблон:Флагификация/Гана
Templet:Country data Romania	Шаблон:Флагификация/Румыния
Templet:Country data South Korea	Шаблон:Флагификация/Республика Корея
Templet:Ileksen-tebol	Шаблон:Election table
Templet:Convert	Шаблон:Convert
Templet:InterWiki	Шаблон:Языковой раздел
Templet:FranPesolIntawiki	Шаблон:Интервики на заглавной
Templet:Coord	Шаблон:Coord
Templet:Europe topic	Шаблон:Страны Европы
Grup:Yusa sk	Категория:User sk
Grup:Yusa eo	Категория:User eo
Grup:Yusa fr	Категория:User fr
Grup:Yusa hu-N	Категория:User hu-N
Grup:Yusa ja	Категория:User ja
Grup:Yusa th	Категория:User th
Grup:Yusa fr-3	Категория:User fr-3
Grup:Yusa ja-3	Категория:User ja-3
Grup:Yusa pl-1	Категория:User pl-1
Grup:Yusa hu-4	Категория:User hu-4
Grup:Yusa fr-2	Категория:User fr-2
Grup:Yusa hu-2	Категория:User hu-2
Grup:Yusa it-2	Категория:User it-2
Grup:Yusa ja-2	Категория:User ja-2
Grup:Yusa fr-N	Категория:User fr-N
Grup:Yusa ru-N	Категория:User ru-N
Grup:Ol kapitol bilong Osenia	Категория:Столицы Океании
Grup:Yusa ca	Категория:User ca
Grup:Yusa ca-1	Категория:User ca-1
Grup:Ailan	Категория:Острова
Grup:Quang Binh provins	Категория:Куангбинь
Grup:Yusa sk-N	Категория:User sk-N
Grup:Yusa de	Категория:User de
Grup:Yusa de-2	Категория:User de-2
Grup:Yusa de-3	Категория:User de-3
Grup:Yusa de-N	Категория:User de-N
Grup:Yusa el	Категория:User el
Grup:Yusa el-N	Категория:User el-N
Grup:Yusa en-0	Категория:User en-0
Grup:Yusa en-3	Категория:User en-3
Grup:Yusa en-N	Категория:User en-N
Grup:Yusa eo-1	Категория:User eo-1
Grup:Yusa eo-2	Категория:User eo-2
Grup:Yusa eo-3	Категория:User eo-3
Grup:Yusa eo-4	Категория:User eo-4
Grup:Yusa es	Категория:User es
Grup:Yusa es-1	Категория:User es-1
Grup:Yusa eu	Категория:User eu
Grup:Yusa eu-1	Категория:User eu-1
Grup:Yusa hsb	Категория:User hsb
