Africa	Африка
Henricus Campbell-Bannerman	Кэмпбелл-Баннерман, Генри
Ahmed Zewail	Зевейл, Ахмед
Virna Lisi	Лизи, Вирна
Micatio Sinensis	Камень, ножницы, бумага
Ioannes Christianus Bach	Бах, Иоганн Христиан
Circulus terrae	Район Германии
Superfluidum	Сверхтекучесть
Andreas Wajda	Вайда, Анджей
Unitarianismus	Унитарианская церковь
Martinus Chalfie	Чалфи, Мартин
Galfridus Linus Goldblum	Голдблюм, Джефф
Mixticius	Метис
Iacobus Batcheller Sumner	Самнер, Джеймс Бетчеллер
Georgius Porter	Портер, Джордж
Regnum Dei	Царство небесное
Svenus Magnus Oen Carlsen	Карлсен, Магнус
Second Life	Second Life
Saxo Grammaticus	Саксон Грамматик
Monica Vitti	Моника Витти
Ísafjörður	Исафьордюр
Iulia Masina	Мазина, Джульетта
Stregnesia	Стренгнес
Sudermannia	Сёдерманланд (лен)
Silvana Mangano	Мангано, Сильвана
Columbus	Колумбус
Maria Angela Melato	Мелато, Марианджела
Alida Valli	Валли, Алида
Candice Bergen	Берген, Кэндис
Saul Perlmutter	Перлмуттер, Сол
Alania (regio)	Осетия
Abdoulaye Wade	Вад, Абдулай
Index urbium Estoniae	Города Эстонии
Pier Angeli	Пьер Анджели
Evelyn Waugh	Во, Ивлин
Claudia Cardinale	Кардинале, Клаудия
Gulielmus "Comes" Basie	Бэйси, Каунт
Fasti consulum rei publicae	Список магистратов-эпонимов Римской республики
Foraminifera	Фораминиферы
Leymah Gbowee	Гбови, Лейма
Charon	Харон
Robertus Enke	Энке, Роберт
42 Isis	(42) Изида
43 Ariadne	(43) Ариадна
Fredrikstad	Фредрикстад
Alameda Comitatus	Аламида (округ)
55 Pandora	(55) Пандора
Rudolphus Friedrichs	Фридрихс, Рудольф
Peter Pan	Питер Пэн (персонаж)
Georgius Grosz	Гросс, Георг
Sepalum	Чашелистик
Paralysis	Паралич
Robertus Emerson Lucas	Лукас, Роберт
Gulielmus Friedemann Bach	Бах, Вильгельм Фридеман
Regnum Northanhymbrorum	Нортумбрия
Ulfilas	Вульфила
Lopadusa	Лампедуза
Hammerfest	Хаммерфест
Lingua Graeca antiqua communis	Койне
Manuel Neuer	Нойер, Мануэль
Principatus Lippiae	Липпе-Детмольд
Evangelium secundum Marcum	Евангелие от Марка
Tønsberg	Тёнсберг
Skia	Скай
Leikanger	Лейкангер
Comitatus Letrimensis	Литрим (графство)
Akranes	Акранес
Sebastea	Сивас
Laurentius Onsager	Онзагер, Ларс
Petrus Pires	Пиреш, Педру
Leonidas Kantorovič	Канторович, Леонид Витальевич
Fervefactorium	Чайник
Anna-Maria Ravnopolska-Dean	Равнопольская-Дин, Анна-Мария Йорданова
Carolus Barth	Барт, Карл
8 Flora	(8) Флора
7 Iris	(7) Ирида
6 Hebe	(6) Геба
16 Psyche	(16) Психея
20 Massalia	(20) Массалия
15 Eunomia	(15) Эвномия
14 Irene	(14) Ирена
9 Metis	(9) Метида
13 Egeria	(13) Эгерия
21 Lutetia	(21) Лютеция
11 Parthenope	(11) Парфенопа
Sodalitas Romana	Римский клуб
Hominini	Гоминини
Rotatio	Вращение
63 Ausonia	(63) Аузониа
87 Sylvia	(87) Сильвия
107 Camilla	(107) Камилла
Siphonarius	Пожарный
66 Maja	(66) Майя
67 Asia	(67) Асия
Marcus Rosenberg	Русенберг, Маркус
Pelasgi	Пеласги
Reges Spartae	Цари Спарты
Radiolaria	Радиолярии
Iacobus Belushi	Белуши, Джеймс
Eris (discretiva)	Эрида (значения)
Alexander Haig	Хейг, Александр
Thomas J. Sargent	Сарджент, Томас
Bailey Comitatus	Бейли (округ, Техас)
Armstrong Comitatus (Texia)	Армстронг (округ, Техас)
Aransas Comitatus	Аранзас (округ, Техас)
Gelatio	Отвердевание
Thalia	Талия (муза)
Sarpsborg	Сарпсборг
Gjøvik	Йёвик
Kern Comitatus	Керн (округ)
San Bernardino Comitatus	Сан-Бернардино (округ)
Contra Costa Comitatus	Контра-Коста
Franciscus Cavalli	Кавалли, Франческо
Sonoma Comitatus	Сонома (округ)
Alpine Comitatus	Алпайн (округ)
Mendocino Comitatus	Мендосино (округ)
El Dorado Comitatus	Эль-Дорадо (округ)
San Mateo Comitatus	Сан-Матео (округ, Калифорния)
Santa Barbara Comitatus	Санта-Барбара (округ)
Riverside Comitatus	Риверсайд (округ)
Marin Comitatus	Марин (округ)
Ventura Comitatus	Вентура (округ)
Sacramento Comitatus	Сакраменто (округ)
Napa Comitatus	Напа (округ)
Didacopolis Comitatus	Сан-Диего (округ)
Curia Romana	Римская курия
Ioannes Bunyan	Баньян, Джон
Dionantum	Динан (Бельгия)
Petrus Wrangel	Врангель, Пётр Николаевич
Michael Praetorius	Преториус, Михаэль
Spartacus (pellicula)	Спартак (фильм, 1960)
Mauricius Utrillo	Утрилло, Морис
Antonius Denikin	Деникин, Антон Иванович
Alexander VI	Александр VI
46 Hestia	(46) Гестия
Theudericus IV	Теодорих IV
25 Phocaea	(25) Фокея
29 Amphitrite	(29) Амфитрита
Pandora (discretiva)	Пандора (значения)
Sabini	Сабины
24 Themis	(24) Фемида
Gregorius Peck	Пек, Грегори
Bandera Comitatus	Бандера (округ, Техас)
Atascosa Comitatus	Атаскоса (округ, Техас)
Angelina Comitatus	Анджелина (округ, Техас)
Austin Comitatus	Остин (округ, Техас)
Anderson Comitatus (Texia)	Андерсон (округ, Техас)
Bee Comitatus	Би (округ, Техас)
Albany Comitatus (Novum Eboracum)	Олбани (округ, Нью-Йорк)
Cook Comitatus (Illinoesia)	Кук (округ, Иллинойс)
Rhea	Рея (мифология)
Bosque Comitatus	Боске (округ, Техас)
Bell Comitatus (Texia)	Белл (округ, Техас)
Bastrop Comitatus	Бастроп (округ, Техас)
Sanctus Iacobus (Caput Viride)	Сантьягу (Кабо-Верде)
Meditatio	Медитация
Pelagiae insulae	Пелагские острова
El Paso Comitatus (Texia)	Эль-Пасо (округ, Техас)
San Joaquin Comitatus	Сан-Хоакин (округ)
Baylor Comitatus	Бейлор (округ, Техас)
Andrews Comitatus	Андрус (округ, Техас)
Iosephus Tartini	Тартини, Джузеппе
Susumu Tonegawa	Тонегава, Судзуми
Culberson Comitatus	Калберсон (округ, Техас)
Bowie Comitatus	Буи (округ, Техас)
Orange Comitatus (Novum Eboracum)	Оранж (округ, Нью-Йорк)
Big Horn Comitatus (Vyomina)	Биг-Хорн (округ, Вайоминг)
Lepus paschalis	Пасхальный заяц
Numeri Graeci	Греческая система счисления
Viola odorata	Фиалка душистая
Whig	Виги
Deminutivum	Диминутив
Pluto (canis fictus)	Плуто
Ghostbusters	Охотники за привидениями
Burnet Comitatus	Бернет (округ, Техас)
Adams Comitatus (Mississippia)	Адамс (округ, Миссисипи)
Archer Comitatus	Арчер (округ, Техас)
Adams Comitatus (Illinoesia)	Адамс (округ, Иллинойс)
Hall Comitatus (Texia)	Холл (округ, Техас)
Burleson Comitatus	Берлесон (округ, Техас)
Callahan Comitatus	Каллахан (округ, Техас)
Camp Comitatus	Кэмп (округ, Техас)
Cherokee Comitatus (Texia)	Чероки (округ, Техас)
Coke Comitatus	Кок (округ, Техас)
Alexander Comitatus (Illinoesia)	Александр (округ, Иллинойс)
Borden Comitatus	Борден (округ, Техас)
Hamilton Smith	Смит, Хамилтон
252 Clementina	(252) Клементина
Amalthea (discretiva)	Амальтея
Fluxus	Флуксус
Clemens Marot	Маро, Клеман
Maria Steenburgen	Стинбёрген, Мэри
Carrie Fisher	Фишер, Кэрри
Comanche Comitatus (Texia)	Команчи (округ, Техас)
Crockett Comitatus (Texia)	Крокетт (округ, Техас)
Dickens Comitatus	Диккенс (округ, Техас)
Mandal	Мандал
Vardø	Вардё
Kongsberg	Конгсберг
Røros	Рёрус
Sandefjord	Саннефьорд
Parlamentum Norvegiae	Стортинг
Moss	Мосс (Норвегия)
Hitra	Хитра
Voss (Norvegia)	Восс (коммуна)
Haugesund	Хёугесунн
Fridericostadium	Халден
Horten (Norvegia)	Хортен
Arthurus Tatum	Тэйтум, Арт
Megapolis (Germania)	Мекленбург
Guido Reni	Рени, Гвидо
Victor Dyk	Дык, Виктор
Canicopolis	Килкенни (город)
The Great Dictator	Великий диктатор
Elverum	Эльверум
Cass Comitatus (Texia)	Касс (округ, Техас)
Carson Comitatus	Карсон (округ, Техас)
Brewster Comitatus	Брустер (округ, Техас)
Briscoe Comitatus	Бриско (округ, Техас)
Brown Comitatus (Texia)	Браун (округ, Техас)
Comal Comitatus	Комаль (округ, Техас)
Loving Comitatus	Ловинг (округ, Техас)
Orange Comitatus (Texia)	Ориндж (округ, Техас)
Boreas	Борей
Childebertus III	Хильдеберт III
Rosa Anna Arquette	Аркетт, Розанна
Caesar	Цезарь (значения)
Chilpericus II	Хильперик II
Adamus Bremensis	Адам Бременский
Dagobertus III	Дагоберт III
Denton Comitatus	Дентон (округ, Техас)
Hardin Comitatus (Texia)	Хардин (округ, Техас)
Gregg Comitatus	Грегг (округ, Техас)
Crosby Comitatus	Кросби (округ, Техас)
Beaver Comitatus (Uta)	Бивер (округ, Юта)
Delta Comitatus (Texia)	Дельта (округ, Техас)
Glasscock Comitatus	Гласскок (округ, Техас)
Zapata Comitatus	Запата (округ, Техас)
Dallam Comitatus	Даллам (округ, Техас)
Hamilton Comitatus (Texia)	Гамильтон (округ, Техас)
Gray Comitatus (Texia)	Грей (округ, Техас)
Hardeman Comitatus (Texia)	Хардимэн (округ, Техас)
Claudius Pizarro	Писарро, Клаудио
Angelus Charisteas	Харистеас, Ангелос
Ephori	Эфоры
Albany Comitatus (Vyomina)	Олбани (округ, Вайоминг)
Crane Comitatus	Крейн (округ, Техас)
Donley Comitatus	Донли (округ, Техас)
Grayson Comitatus (Texia)	Грейсон (округ, Техас)
Ricardus M. Johnson	Джонсон, Ричард Ментор
Askim	Ашим
Hobøl	Хубёль
Kristiansund	Кристиансунн
Berlevåg	Берлевог
Odda	Одда
Kongsvinger	Конгсвингер
Crook Comitatus (Vyomina)	Крук (округ, Вайоминг)
Calhoun Comitatus (Mississippia)	Калхун (округ, Миссисипи)
Bureau Comitatus	Бюро (округ)
Bond Comitatus	Бонд (округ, Иллинойс)
Gulielmus Busch	Буш, Вильгельм
Renatus Dulbecco	Дульбекко, Ренато
Thomas Steitz	Стейц, Томас
Petrus Diamond	Даймонд, Питер
Aegates insulae	Эгадские острова
Christophorus Pissarides	Писсаридес, Кристофер
Sergius Haroche	Арош, Серж
Cornelius Nepos	Корнелий Непот
Albius Tibullus	Альбий Тибулл
Ruina	Руины
Thelonius Monk	Монк, Телониус
Limestone Comitatus (Texia)	Лаймстоун (округ, Техас)
Cottle Comitatus	Коттл (округ, Техас)
DuPage Comitatus	Ду-Пейдж (округ)
Clay Comitatus (Texia)	Клей (округ, Техас)
Cooke Comitatus	Кук (округ, Техас)
Box Elder Comitatus	Бокс-Элдер (округ, Юта)
Hansford Comitatus	Хэнсфорд (округ, Техас)
Humboldt Comitatus (California)	Гумбольдт (округ, Калифорния)
San Benito Comitatus	Сан-Бенито (округ)
Madera Comitatus	Мадера (округ)
Baker Comitatus (Oregonia)	Бейкер (округ, Орегон)
Inyo Comitatus	Иньо (округ)
Nevada Comitatus (California)	Невада (округ, Калифорния)
Merced Comitatus	Мерсед (округ)
Modoc Comitatus	Модок (округ)
Yolo Comitatus	Йоло (округ)
Dale Mortensen	Мортенсен, Дэйл
Christophorus A. Sims	Симс, Кристофер
Realgar	Реальгар
Childress Comitatus	Чилдресс (округ, Техас)
Boone Comitatus (Illinoesia)	Бун (округ, Иллинойс)
Brown Comitatus (Illinoesia)	Браун (округ, Иллинойс)
The Blues Brothers	Братья Блюз (фильм)
Teutoburgiensis saltus	Тевтобургский лес
Cochran Comitatus	Кокран (округ, Техас)
Coryell Comitatus	Корьел (округ, Техас)
Cache Comitatus	Кэш (округ, Юта)
Concho Comitatus	Кончо (округ, Техас)
Deaf Smith Comitatus	Деф-Смит (округ, Техас)
Ector Comitatus	Эктор (округ, Техас)
Coleman Comitatus	Колмен (округ, Техас)
Castro Comitatus	Кастро (округ, Техас)
Gaines Comitatus	Гейнз (округ, Техас)
Hasvik	Хасвик
Chippewa Comitatus (Minnesota)	Чиппева (округ, Миннесота)
Benton Comitatus (Minnesota)	Бентон (округ, Миннесота)
Dagobertus I	Дагоберт I
Franciscus Hadrianus Boieldieu	Буальдьё, Франсуа-Адриен
138 Tolosa	(138) Тулуза
149 Medusa	(149) Медуза
73 Klytia	(73) Клития
81 Terpsichore	(81) Терпсихора
181 Eucharis	(181) Эвхарида
83 Beatrix	(83) Беатрис
230 Athamantis	(230) Афаманта
51 Nemausa	(51) Немауза
231 Vindobona	(231) Виндобона
Pleiades (discretiva)	Плеяды
88 Thisbe	(88) Фисба
Magister equitum	Magister equitum
Paretymologia	Народная этимология
Columbus Circle	Коламбус-сёркл
Adams Comitatus (Ohium)	Адамс (округ, Огайо)
Fisher Comitatus	Фишер (округ, Техас)
Douglas Comitatus (Minnesota)	Дуглас (округ, Миннесота)
Aitkin Comitatus	Эйткин (округ, Миннесота)
Lovitium	Лович
Galanthus nivalis	Подснежник белоснежный
Madison Square	Мэдисон-сквер
163 Erigone	(163) Эригона
80 Sappho	(80) Сапфо
44 Nysa	(44) Ниса
Gulielmus Franciscus Giauque	Джиок, Уильям Фрэнсис
Scaccarium	Шахматная доска
Eduardus C. Kendall	Кендалл, Эдуард
Iulius Axelrod	Аксельрод, Джулиус
Gunnar Nordahl	Нордаль, Гуннар
Ellis Comitatus (Texia)	Эллис (округ, Техас)
Champaign Comitatus (Illinoesia)	Шампейн (округ, Иллинойс)
Basilius Surikov	Суриков, Василий Иванович
328 Gudrun	(328) Гудрун
180 Garumna	(180) Гарумна
673 Edda	(673) Эдда
286 Iclea	(286) Иклея
Hudspeth Comitatus	Хадспет (округ, Техас)
Jackson Comitatus (Texia)	Джексон (округ, Техас)
Nedre Eiker	Недре-Эйкер
Ioannes Pieterszoon Sweelinck	Свелинк, Ян Питерсзон
Anscharius (archiepiscopus Hamburgensis-Bremensis)	Ансгар
Petasus cylindricus	Цилиндр (головной убор)
Øvre Eiker	Эвре-Эйкер
170 Maria	(170) Мария
Douglas Comitatus (Illinoesia)	Дуглас (округ, Иллинойс)
Llano Comitatus	Ллано (округ, Техас)
Blue Earth Comitatus	Блу-Эрт (округ, Миннесота)
255 Oppavia	(255) Оппавия
Gulielmus Paxton	Пэкстон, Билл
Hill Comitatus (Texia)	Хилл (округ, Техас)
Shelby Comitatus (Texia)	Шелби (округ, Техас)
Zavala Comitatus	Савала (округ, Техас)
Tarrant Comitatus	Тэррент (округ, Техас)
Clay Comitatus (Illinoesia)	Клей (округ, Иллинойс)
Medina Comitatus (Texia)	Медина (округ, Техас)
Travis Comitatus	Тревис (округ, Техас)
Steinkjer	Стейнхьер
Cory Doctorow	Доктороу, Кори
Boa Vista (Caput Viride)	Боавишта (остров)
Kaufman Comitatus	Кауфман (округ, Техас)
Beltrami Comitatus	Белтрами (округ, Миннесота)
Anoka Comitatus	Анока (округ, Миннесота)
Erath Comitatus	Эрат (округ, Техас)
Camden Comitatus (Georgia)	Кэмден (округ, Джорджия)
Crawford Comitatus (Illinoesia)	Крофорд (округ, Иллинойс)
Cass Comitatus (Illinoesia)	Касс (округ, Иллинойс)
Floyd Comitatus (Texia)	Флойд (округ, Техас)
Clark Comitatus (Illinoesia)	Кларк (округ, Иллинойс)
Cumberland Comitatus (Illinoesia)	Камберленд (округ, Иллинойс)
Clinton Comitatus (Illinoesia)	Клинтон (округ, Иллинойс)
Effingham Comitatus (Illinoesia)	Эффингем (округ, Иллинойс)
Freestone Comitatus	Фристоун (округ, Техас)
Knox Comitatus (Texia)	Нокс (округ, Техас)
Jasper Comitatus (Texia)	Джаспер (округ, Техас)
Natrona Comitatus	Натрона (округ, Вайоминг)
Winnebago Comitatus (Illinoesia)	Уиннебейго (округ, Иллинойс)
Franklin Comitatus (Texia)	Франклин (округ, Техас)
Campbell Comitatus (Vyomina)	Кэмпбелл (округ, Вайоминг)
Benton Comitatus (Mississippia)	Бентон (округ, Миссисипи)
Dawson Comitatus (Texia)	Досон (округ, Техас)
Cottonwood Comitatus	Коттонвуд (округ, Миннесота)
Metis (discretiva)	Метида
449 Hamburga	(449) Гамбурга
Anscharius Lafontaine	Лафонтен, Оскар
506 Marion	(506) Марион
Laonastes	Лаосская скальная крыса
Santa Clara Comitatus	Санта-Клара (округ)
Attalus I	Аттал I Сотер
Foard Comitatus	Форд (округ, Техас)
Fayette Comitatus (Texia)	Фейетт (округ, Техас)
Schleicher Comitatus	Шлейхер (округ, Техас)
King Comitatus (Texia)	Кинг (округ, Техас)
Rusk Comitatus (Texia)	Раск (округ, Техас)
Parker Comitatus	Паркер (округ, Техас)
Ringerike	Рингерике
Gulielmus Lassell	Лассел, Уильям
Alaricus II (rex Visigothorum)	Аларих II
Regnum Orientalium Saxonum	Эссекс (королевство)
Theodoricus I (rex Visigothorum)	Теодорих I
Athalaricus (rex Ostrogothorum)	Аталарих
Brown Comitatus (Minnesota)	Браун (округ, Миннесота)
Harrison Comitatus (Texia)	Харрисон (округ, Техас)
Geraldus Rafferty	Рафферти, Джерри
Gulielmus Lipscomb	Липскомб, Уильям Нанн
Tjalling Koopmans	Купманс, Тьяллинг
Kent Comitatus (Texia)	Кент (округ, Техас)
Kinney Comitatus	Кинни (округ, Техас)
Radix (linguistica)	Корень (лингвистика)
Namsos	Намсус
Ustiuga	Великий Устюг
Communitas Taizé	Тэзе (община)
Punctum criticum	Критическая точка (термодинамика)
Ioannes Barry	Барри, Джон
Gemini (discretiva)	Джемини
Ofra Haza	Хаза, Офра
Albinea	Альбинея
Rockland Comitatus	Рокленд (округ, Нью-Йорк)
Baniolum	Баньоло-ин-Пьяно
Baisium	Баизо
Taurus	Taurus
Bibianum (Aemilia-Romania)	Биббьяно
Beruptum	Боретто
Brixellum	Брешелло
Busiana	Бузана
Domus de Bosco	Кадельбоско-ди-Сопра
Campaniola	Кампаньола-Эмилия
Campicinum	Кампеджине
Stultus	Гуфи
Endothelium	Эндотелий
Canusia (Aemilia-Romania)	Каносса
Carpinetum (Aemilia-Romania)	Карпринети
Casalis Grandis	Казальгранде
Casina (Italia)	Казина
Castrum Olerianum	Кастелларано
Synodus	Синод
Castrum Novum (Provincia Regiensis)	Кастельново-ди-Сотто
Castrum Novum in Montibus	Кастельново-не-Монти
Dallas Comitatus (Texia)	Даллас (округ, Техас)
Curviacum	Кавриаго
Culagna	Колланья
Collin Comitatus	Коллин (округ, Техас)
Corrigium	Корреджо (город)
Franciscus Sherwood Rowland	Роуланд, Шервуд
Fabricum	Фаббрико
Gataticum	Гаттатико
Gualterium	Гуальтьери
Guastalla	Гвасталла
Ligonchium	Лигонкьо
Monticulum (Aemilia-Romania)	Монтеккьо-Эмилия
Nuvellaria	Новеллара
Povilium	Повильо
Holsatia	Гольштейн
Quatuor Castella	Куаттро-Кастелла
Ramacetum	Рамизето
Fanum Sancti Georgii ad Rivum	Рио-Саличето
Rolum	Роло
Herberia	Рубьера
Fanum Sancti Martini ad Rivum	Сан-Мартино-ин-Рио
Castrum Sancti Pauli in Caviliano	Сан-Поло-д’Энца
Fanum Sanctae Eulaliae (Aemilia-Romania)	Сант-Иларио-д’Энца
Alcorn Comitatus	Олкорн (округ, Миссисипи)
Scandianum	Скандиано
Clay Comitatus (Mississippia)	Клей (округ, Миссисипи)
Thoanum	Тоано
Vectum	Ветто
Vezanum (Aemilia-Romania)	Веццано-суль-Кростоло
Vianum (Aemilia-Romania)	Виано
Daggett Comitatus	Даггетт (округ, Юта)
Villa in Montanis	Вилла-Миноццо
Erie Comitatus (Ohium)	Эри (округ, Огайо)
Wise Comitatus (Texia)	Уайз (округ, Техас)
Korpiklaani	Korpiklaani
Padengis	Паденге-суль-Гарда
Paternum (Langobardia)	Падерно-Франчакорта
Paiscum Lovenum	Паиско-Ловено
Paitonum	Пайтоне
Palatiolum (Langobardia)	Палаццоло-суль-Ольо
Paraticum	Паратико
Paspardum	Паспардо
Passiranum	Пассирано
Pavonum	Павоне-дель-Мелла
McLennan Comitatus	Мак-Леннан (округ, Техас)
Pertica Summa	Пертика-Альта
Mason Comitatus (Texia)	Мейсон (округ, Техас)
Howard Comitatus (Texia)	Хауард (округ, Техас)
Karnes Comitatus	Карнс (округ, Техас)
Pertica Ima	Пертика-Басса
Rockwall Comitatus	Рокуолл (округ, Техас)
Pessagium	Пеццаце
Planum Camunnorum	Пьян-Камуно
Planum Cognum	Пьянконьо
McLean Comitatus (Illinoesia)	Маклейн (округ, Иллинойс)
Pisoneae	Пизонье
Maui Comitatus	Мауи (округ, Гавайи)
Pollavenum	Полавено
Polponacium	Польпенацце-дель-Гарда
Pompeianum	Помпьяно
Cass Comitatus (Minnesota)	Касс (округ, Миннесота)
Pons Caralli	Понкарале
Dalegnum	Понте-ди-Леньо
Mula	Малл
Pons Vicus	Понтевико
Paranthropus	Парантропы
Pons Ollii	Понтольо
Posolengum	Поццоленго
Pratum Alboinum	Пральбоино
Praeseliae	Презелье
Galfridus V (comes Andegavensis)	Жоффруа V Плантагенет
Prestenum	Престине
Tibicen Hamelae	Гамельнский крысолов
Iura (insula Scotiae)	Джура
Kauai Comitatus	Кауаи (округ, Гавайи)
Goionum	Превалле
Provalium (Vallis Sabia)	Провальо-Валь-Саббия
Provalium (Francia Curta)	Провальо-д’Изео
St. Louis Comitatus (Minnesota)	Сент-Луис (округ, Миннесота)
Pueniagum	Пуэньяго-суль-Гарда
Becker Comitatus	Бекер (округ, Миннесота)
Brown Comitatus (Ohium)	Браун (округ, Огайо)
Fayette Comitatus (Illinoesia)	Фейетт (округ, Иллинойс)
Quinzanum	Квинцано-д’Ольо
Fannin Comitatus (Texia)	Фэннин (округ, Техас)
Remetellum	Ремеделло
Reciatum	Редзато
Rocca Franca	Роккафранка
DeKalb Comitatus (Illinoesia)	Де-Калб (округ, Иллинойс)
Hale Comitatus (Texia)	Хейл (округ, Техас)
Rodengum-Saianum	Роденго-Саяно
Roncadellae	Ронкаделле
Calhoun Comitatus (Illinoesia)	Калхун (округ, Иллинойс)
Rovatum	Ровато
Volcianum	Роэ-Вольчано
Collingsworth Comitatus	Коллингсворт (округ, Техас)
Rudianum	Рудьяно
Sabium	Саббьо-Кьезе
Garza Comitatus	Гарза (округ, Техас)
DeWitt Comitatus (Illinoesia)	ДеУитт (округ, Иллинойс)
Christian Comitatus (Illinoesia)	Кристиан (округ, Иллинойс)
Dakota Comitatus (Minnesota)	Дакота (округ, Миннесота)
Salis Maresini	Сале-Маразино
Salodium	Сало (Италия)
Fanum Sancti Felicis (Langobardia)	Сан-Феличе-дель-Бенако
Fanum Sancti Gervasii (Provincia Brixiana)	Сан-Джервазио-Брешано
Gilchrist Comitatus	Гилкрист (округ, Флорида)
Fanum Sancti Pauli (Langobardia)	Сан-Паоло (коммуна)
Hunt Comitatus	Хант (округ, Техас)
Fanum Sancti Zenonis (Provincia Brixiana)	Сан-Дзено-Навильо
Saretia	Сареццо
Saviorum	Савьоре-дель-Адамелло
San Jacinto Comitatus	Сан-Хасинто (округ, Техас)
Sellerum	Селлеро
Senigha	Сенига
Jim Wells Comitatus	Джим-Уэллс (округ, Техас)
Scurry Comitatus	Скарри (округ, Техас)
Wheeler Comitatus (Texia)	Уилер (округ, Техас)
Upshur Comitatus (Texia)	Апшур (округ, Техас)
Lubbock Comitatus	Лаббок (округ, Техас)
Bellarea-Hygia Maris	Беллария-Иджеа-Марина
Castrum Illicis	Кастельдельчи
Catholica (Italia)	Каттолика
Corlianum	Кориано
Gemmanum	Джеммано
Maiolum	Майоло
Misianum Hadriaticum	Мизано-Адриатико
Menard Comitatus (Texia)	Менард (округ, Техас)
Mons Damarum	Мондаино
Castrum Montis Colombi	Монте-Коломбо
Clay Comitatus (Minnesota)	Клей (округ, Миннесота)
Mons Floris	Монтефьоре-Конка
Marescalcus	Маршал
Somervell Comitatus	Сомервелл (округ, Техас)
Reagan Comitatus	Рейган (округ, Техас)
Mons Gredulfus	Монтегридольфо
Mons Scutulus	Монтескудо
Morcianum (Aemilia-Romania)	Морчано-ди-Романья
Ben Hill Comitatus	Бен-Хилл (округ, Джорджия)
Nova Feretrana	Новафельтрия
Pinna Billorum	Пеннабилли
Podium Hibernorum	Поджо-Берни
Vicus Popilius	Риччоне
Emanuel (comitatus)	Эмануэль (округ, Джорджия)
Fanum Sancti Lauditii	Салудечо
Castrum Sancti Clementis	Сан-Клементе (Италия)
Salomon Schweigger	Швайгер, Соломон
Coweta (comitatus)	Ковета (округ, Джорджия)
Castrum Mariniani	Сан-Джованни-ин-Мариньяно
Civitas Sancti Leonis	Сан-Лео
Fanum Sanctae Agathae Feretranae	Сант-Агата-Фельтрия
Civitas Sancti Archangeli Romandiolae	Сантарканджело-ди-Романья
Thalamellum	Таламелло
Turriana	Торриана
Veruculum	Веруккьо
Taygete (Atlantis)	Тайгета (плеяда)
Serlis	Серле
Sirmio	Сирмионе
Soianum	Сояно-дель-Лаго
Sonicum	Сонико
Sulzanum	Сульцано
Andrias japonicus	Японская исполинская саламандра
Clarke Comitatus (Georgia)	Кларк (округ, Джорджия)
Monica Bleibtreu	Бляйбтрой, Моника
Hemphill Comitatus	Хемпхилл (округ, Техас)
Tabernulae (Langobardia)	Таверноле-суль-Мелла
Themus	Тему (муниципалитет)
Randall Comitatus	Рэндолл (округ, Техас)
Tignalis	Тиньяле
Turbulum Casalium	Торболе-Казалья
Civitas insularis	Островное государство
Tuscolanum-Madernum	Тосколано-Мадерно
Lucas Comitatus (Ohium)	Лукас (округ, Огайо)
Hopkins Comitatus (Texia)	Хопкинс (округ, Техас)
Travalliatum	Травальято
Marion Comitatus (Texia)	Мэрион (округ, Техас)
Tremosinum	Тремозине
Trenzanum	Тренцано
Trevisium	Тревизо-Брешано
Coles Comitatus	Коулс (округ)
Uragum	Ураго-д’Ольо
Valentinus Inzko	Инцко, Валентин
Valles (Italia)	Валлио-Терме
McCulloch Comitatus	Мак-Калох (округ, Техас)
Vallis Vestini (municipium)	Вальвестино
Carolus Fridericus Gulielmus Claus	Клаус, Карл Фридрих Вильгельм
Verola	Веролануова
Alphonsus Maria Stickler	Штиклер, Альфонс Мария
Verola Vetus	Веролавеккья
Pax Samarobrivensis	Амьенский мир
Vestonum	Вестоне
Iustus inter gentes	Праведники мира
Villa Carsina	Вилла-Карчина
Villa Clara	Виллакьяра
Villa Nova (Provincia Brixiana)	Виллануова-суль-Клизи
Vionum	Вионе
Douglas Comitatus (Kansia)	Дуглас (округ, Канзас)
Visanum	Визано
Boarnum	Вобарно
Sanctus Antonius (Caput Viride)	Санту-Антан
Zonum (Provincia Brixiana)	Дзоне
712 Boliviana	(712) Боливиана
792 Metcalfia	(792) Меткалфия
444 Gyptis	(444) Гиптида
Alexander Moissi	Моисси, Александр
306 Unitas	(306) Юнитас
886 Washingtonia	(886) Вашингтония
971 Alsatia	(971) Альсатия
747 Winchester	(747) Винчестер
325 Heidelberga	(325) Хайдельберга
Wilburgus	Уилбур
Mitchell Comitatus (Texia)	Митчелл (округ, Техас)
Amite Comitatus	Эймит (округ, Миссисипи)
Edwards Comitatus (Illinoesia)	Эдвардс (округ, Иллинойс)
Carroll Comitatus (Mississippia)	Кэррол (округ, Миссисипи)
Kendall Comitatus (Illinoesia)	Кендалл (округ, Иллинойс)
Oldham Comitatus (Texia)	Олдем (округ, Техас)
Reeves Comitatus	Ривз (округ, Техас)
Oberharmersbach	Оберхармерсбах
Newton Comitatus (Texia)	Ньютон (округ, Техас)
Bonaparte (familia)	Бонапарты
Lipscomb Comitatus	Липскомб (округ, Техас)
Navarro Comitatus	Наварро (округ, Техас)
Linguae Italoromanicae	Итало-романские языки
